Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,1,1,0.02314
105,1,1,11.32530
215,1,1,1.08935
325,1,1,1.09112
425,1,1,1.07784
535,1,1,1.09242
665,1,1,0.82598
1729,1,1,0.07887
1835,1,1,10.90896
1945,1,1,1.31725
2045,1,1,1.07661
2165,1,1,0.79573
2285,1,1,1.09687
2395,1,1,1.42475
2505,1,1,0.98124
2605,1,1,1.07731
5825,1,1,0.03350
5976,1,1,22.85841
6085,1,1,1.53512
6195,1,1,0.98211
6295,1,1,1.07473
6405,1,1,1.09151
6505,1,1,1.07811
6615,1,1,1.09515
6745,1,1,0.82438
6846,1,1,1.19384
6966,1,1,0.89858
7075,1,1,1.43003
7175,1,1,1.07576
7285,1,1,1.09052
7425,1,1,0.76716
7535,1,1,1.42114
7645,1,1,1.09414
8768,1,1,0.09598
8906,1,1,8.71278
9046,1,1,1.02865
9155,1,1,1.42377
9256,1,1,0.83404
9365,1,1,1.31853
9465,1,1,1.07400
9575,1,1,1.08976
9675,1,1,1.07731
9816,1,1,0.76852
10882,1,1,0.05619
10985,1,1,11.82220
11095,1,1,1.09283
11236,1,1,0.76387
11366,1,1,1.10915
11475,1,1,1.43107
11576,1,1,1.07137
11685,1,1,1.09456
11795,1,1,1.09024
11896,1,1,0.59543
12005,1,1,1.42401
12146,1,1,0.67984
12246,1,1,1.31712
12355,1,1,1.42541
12465,1,1,0.98117
15618,1,1,0.03041
17729,1,1,1.58327
17866,1,1,16.88503
17975,1,1,1.31980
18096,1,1,0.89112
18205,1,1,1.20847
18315,1,1,1.09181
18416,1,1,0.83329
18516,1,1,0.95822
18626,1,1,1.42042
18726,1,1,1.07776
18846,1,1,0.89660
18966,1,1,0.89676
19075,1,1,1.42720
19175,1,1,1.07852
19285,1,1,1.09012
19386,1,1,1.07534
19526,1,1,0.68284
19636,1,1,1.53023
19746,1,1,1.08837
19855,1,1,0.98391
19956,1,1,1.07471
20066,1,1,1.09022
21186,1,1,0.06419
21286,1,1,12.34303
21397,1,1,0.75266
21506,1,1,1.43405
21616,1,1,0.98285
21736,1,1,0.79429
21837,1,1,0.95536
21946,1,1,1.54125
22055,1,1,1.09077
23170,1,1,0.04302
23276,1,1,11.76966
23385,1,1,1.09156
23486,1,1,1.07693
23595,1,1,1.09100
23696,1,1,1.07274
23817,1,1,0.79485
23957,1,1,1.02383
24057,1,1,1.19717
24187,1,1,0.92543
24307,1,1,1.19978
24416,1,1,1.31539
24516,1,1,1.07477
24627,1,1,0.64863
24747,1,1,1.19888
24856,1,1,1.32096
24966,1,1,1.09197
28098,1,1,0.00765
28206,1,1,31.72622
28336,1,1,0.92122
28446,1,1,1.19894
28556,1,1,1.09356
28656,1,1,1.07619
28766,1,1,1.09247
28877,1,1,0.64440
28986,1,1,1.54484
29107,1,1,0.79396
29207,1,1,0.95452
30338,1,1,0.10602
31490,1,1,1.08118
31626,1,1,8.98074
31757,1,1,1.10286
31866,1,1,1.31332
31967,1,1,0.83530
32087,1,1,0.99976
32217,1,1,1.10143
32337,1,1,1.10170
32446,1,1,1.31342
32556,1,1,1.09236
32656,1,1,1.07555
32757,1,1,1.07605
32866,1,1,1.09049
32967,1,1,0.95693
33076,1,1,1.09497
34114,1,1,0.02309
34216,1,1,11.71170
35266,1,1,0.01142
35366,1,1,12.04542
35467,1,1,1.07749
35587,1,1,0.79566
36738,1,1,0.12490
36846,1,1,11.43024
36956,1,1,1.08919
37057,1,1,1.07566
37167,1,1,1.09104
37276,1,1,1.09047
