Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,2,1,1.06467
0,3,1,1.06467
0,5,1,1.06467
0,8,1,1.06467
0,10,1,1.06467
109,2,1,1.09982
109,3,1,1.09982
109,5,1,1.09982
109,8,1,1.09982
109,10,1,1.09982
209,2,1,1.07750
209,3,1,1.07750
209,5,1,1.07750
209,8,1,1.07750
209,10,1,1.07750
310,2,1,1.07470
310,3,1,1.07470
310,5,1,1.07470
310,8,1,1.07470
310,10,1,1.07470
410,2,1,1.07719
410,3,1,1.07719
410,5,1,0.95750
410,8,1,1.07719
410,10,1,0.95750
519,2,1,1.09485
519,3,1,0.98536
519,5,1,1.09485
519,8,1,1.09485
519,10,1,1.09485
620,2,1,1.07443
620,3,1,1.07443
620,5,1,1.07443
620,8,1,1.07443
620,10,1,1.07443
729,2,1,0.98179
729,3,1,1.09088
729,5,1,1.09088
729,8,1,0.98179
729,10,1,1.09088
840,2,1,1.08901
840,3,1,1.08901
840,5,1,1.08901
840,8,1,1.08901
840,10,1,1.08901
940,2,1,1.07823
940,3,1,1.07823
940,5,1,1.07823
940,8,1,1.07823
940,10,1,1.07823
1049,2,1,1.09048
1049,3,1,1.09048
1049,5,1,1.09048
1049,8,1,1.09048
1049,10,1,1.09048
1150,2,1,1.07232
1150,3,1,1.07232
1150,5,1,0.95317
1150,8,1,1.07232
1150,10,1,0.95317
1259,2,1,1.09674
1259,3,1,0.98707
1259,5,1,1.09674
1259,8,1,1.09674
1259,10,1,1.09674
1359,2,1,1.07713
1359,3,1,1.07713
1359,5,1,1.07713
1359,8,1,1.07713
1359,10,1,1.07713
1461,2,1,0.94757
1461,3,1,1.06601
1461,5,1,1.06601
1461,8,1,1.06601
1461,10,1,1.06601
1569,2,1,1.10385
1569,3,1,1.10385
1569,5,1,1.10385
1569,8,1,0.99347
1569,10,1,1.10385
1671,2,1,1.05665
1671,3,1,1.05665
1671,5,1,1.05665
1671,8,1,1.05665
1671,10,1,1.05665
1780,2,1,1.10263
1780,3,1,1.10263
1780,5,1,1.10263
1780,8,1,1.10263
1780,10,1,1.10263
1890,2,1,1.09164
1890,3,1,1.09164
1890,5,1,0.98247
1890,8,1,1.09164
1890,10,1,0.98247
1990,2,1,1.07498
1990,3,1,0.95554
1990,5,1,1.07498
1990,8,1,1.07498
1990,10,1,1.07498
2100,2,1,1.09127
2100,3,1,1.09127
2100,5,1,1.09127
2100,8,1,1.09127
2100,10,1,1.09127
2210,2,1,0.98129
2210,3,1,1.09032
2210,5,1,1.09032
2210,8,1,0.98129
2210,10,1,1.09032
2320,2,1,1.09113
2320,3,1,1.09113
2320,5,1,1.09113
2320,8,1,1.09113
2320,10,1,1.09113
2420,2,1,1.07646
2420,3,1,1.07646
2420,5,1,1.07646
2420,8,1,1.07646
2420,10,1,1.07646
2520,2,1,1.07711
2520,3,1,1.07711
2520,5,1,1.07711
2520,8,1,1.07711
2520,10,1,1.07711
2630,2,1,1.09280
2630,3,1,1.09280
2630,5,1,0.98352
2630,8,1,1.09280
2630,10,1,0.98352
2730,2,1,1.07847
2730,3,1,0.95864
2730,5,1,1.07847
2730,8,1,1.07847
2730,10,1,1.07847
2830,2,1,1.07443
2830,3,1,1.07443
2830,5,1,1.07443
2830,8,1,1.07443
2830,10,1,1.07443
2931,2,1,1.06439
2931,3,1,1.06439
2931,5,1,1.06439
2931,8,1,1.06439
2931,10,1,1.06439
3041,2,1,0.97973
3041,3,1,1.08859
3041,5,1,1.08859
3041,8,1,0.97973
3041,10,1,1.08859
3142,2,1,1.07663
3142,3,1,1.07663
3142,5,1,1.07663
3142,8,1,1.07663
3142,10,1,1.07663
3252,2,1,1.09019
3252,3,1,1.09019
3252,5,1,1.09019
3252,8,1,1.09019
3252,10,1,1.09019
3352,2,1,1.07687
3352,3,1,1.07687
3352,5,1,1.07687
3352,8,1,1.07687
3352,10,1,1.07687
3460,2,1,1.10720
3460,3,1,1.10720
3460,5,1,0.99648
3460,8,1,1.10720
3460,10,1,0.99648
3562,2,1,1.05826
3562,3,1,0.94068
3562,5,1,1.05826
3562,8,1,1.05826
3562,10,1,1.05826
3662,2,1,1.07477
3662,3,1,1.07477
3662,5,1,1.07477
3662,8,1,1.07477
3662,10,1,1.07477
3772,2,1,0.98045
3772,3,1,1.08939
3772,5,1,1.08939
3772,8,1,1.08939
3772,10,1,1.08939
3880,2,1,1.11477
3880,3,1,1.11477
3880,5,1,1.11477
3880,8,1,1.00329
3880,10,1,1.11477
3981,2,1,1.06740
3981,3,1,1.06740
3981,5,1,1.06740
3981,8,1,1.06740
3981,10,1,1.06740
4090,2,1,1.09989
4090,3,1,1.09989
4090,5,1,1.09989
4090,8,1,1.09989
4090,10,1,1.09989
4191,2,1,1.06086
4191,3,1,1.06086
4191,5,1,0.94299
4191,8,1,1.06086
4191,10,1,0.94299
4301,2,1,1.09789
4301,3,1,0.98810
4301,5,1,1.09789
4301,8,1,1.09789
4301,10,1,1.09789
4410,2,1,1.09371
4410,3,1,1.09371
4410,5,1,1.09371
4410,8,1,1.09371
4410,10,1,1.09371
4520,2,1,0.98480
4520,3,1,0.98480
4520,5,1,0.98480
4520,8,1,0.98480
4520,10,1,0.98480
4630,2,1,1.09033
4630,3,1,1.19936
4630,5,1,1.19936
4630,8,1,1.09033
4630,10,1,1.19936
4740,2,1,1.08847
4740,3,1,1.08847
4740,5,1,1.08847
4740,8,1,1.08847
4740,10,1,1.08847
4841,2,1,1.06867
4841,3,1,1.06867
4841,5,1,1.06867
4841,8,1,1.06867
4841,10,1,0.94993
4950,2,1,1.09562
4950,3,1,0.98606
4950,5,1,0.98606
4950,8,1,1.09562
4950,10,1,1.09562
5050,2,1,1.07629
5050,3,1,1.07629
5050,5,1,1.07629
5050,8,1,1.07629
5050,10,1,1.07629
5160,2,1,0.98504
5160,3,1,1.09449
5160,5,1,1.09449
5160,8,1,1.09449
5160,10,1,1.09449
5260,2,1,1.07555
5260,3,1,1.07555
5260,5,1,1.07555
5260,8,1,0.95604
5260,10,1,1.07555
5370,2,1,1.09229
5370,3,1,1.09229
5370,5,1,1.09229
5370,8,1,1.09229
5370,10,1,1.09229
5470,2,1,1.07075
5470,3,1,1.07075
5470,5,1,1.07075
5470,8,1,1.07075
5470,10,1,1.07075
5570,2,1,1.07728
5570,3,1,1.07728
5570,5,1,1.07728
5570,8,1,1.07728
5570,10,1,1.07728
5680,2,1,1.08991
5680,3,1,1.08991
5680,5,1,0.98092
5680,8,1,1.08991
5680,10,1,0.98092
5790,2,1,1.09517
5790,3,1,0.98565
5790,5,1,1.09517
5790,8,1,1.09517
5790,10,1,1.09517
5890,2,1,0.95651
5890,3,1,1.07607
5890,5,1,1.07607
5890,8,1,1.07607
5890,10,1,1.07607
6000,2,1,1.09361
6000,3,1,1.09361
6000,5,1,1.09361
6000,8,1,0.98425
6000,10,1,1.09361
6102,2,1,1.05046
6102,3,1,1.05046
6102,5,1,1.05046
6102,8,1,1.05046
6102,10,1,1.05046
6210,2,1,1.11614
6210,3,1,1.11614
6210,5,1,1.11614
6210,8,1,1.11614
6210,10,1,1.11614
6310,2,1,1.07582
6310,3,1,1.07582
6310,5,1,1.07582
6310,8,1,1.07582
6310,10,1,1.07582
6410,2,1,1.07526
6410,3,1,1.07526
6410,5,1,1.07526
6410,8,1,1.07526
6410,10,1,0.95579
6520,2,1,1.09586
6520,3,1,0.98627
6520,5,1,0.98627
6520,8,1,1.09586
6520,10,1,1.09586
6631,2,1,0.96604
6631,3,1,1.07338
6631,5,1,1.07338
6631,8,1,1.07338
6631,10,1,1.07338
6740,2,1,1.10594
6740,3,1,1.10594
6740,5,1,1.10594
6740,8,1,0.99535
6740,10,1,1.10594
6840,2,1,1.07773
6840,3,1,1.07773
6840,5,1,1.07773
6840,8,1,1.07773
6840,10,1,1.07773
6941,2,1,1.06417
6941,3,1,1.06417
6941,5,1,1.06417
6941,8,1,1.06417
6941,10,1,1.06417
7050,2,1,1.10194
7050,3,1,1.10194
7050,5,1,1.10194
7050,8,1,1.10194
7050,10,1,1.10194
7160,2,1,1.09099
7160,3,1,0.98189
7160,5,1,0.98189
7160,8,1,1.09099
7160,10,1,0.98189
7261,2,1,1.06493
7261,3,1,1.06493
7261,5,1,1.06493
7261,8,1,1.06493
7261,10,1,1.06493
7372,2,1,0.97443
7372,3,1,1.08270
7372,5,1,1.08270
7372,8,1,1.08270
7372,10,1,1.08270
7482,2,1,1.08809
7482,3,1,1.08809
7482,5,1,1.08809
7482,8,1,0.97928
7482,10,1,1.08809
7590,2,1,1.10422
7590,3,1,1.10422
7590,5,1,1.10422
7590,8,1,1.10422
7590,10,1,1.10422
7700,2,1,1.09596
7700,3,1,1.09596
7700,5,1,1.09596
7700,8,1,1.09596
7700,10,1,1.09596
7800,2,1,1.07737
7800,3,1,1.07737
7800,5,1,0.95767
7800,8,1,1.07737
7800,10,1,0.95767
7902,2,1,1.05076
7902,3,1,0.93401
7902,5,1,1.05076
7902,8,1,1.05076
7902,10,1,1.05076
8010,2,1,1.11674
8010,3,1,1.11674
8010,5,1,1.11674
8010,8,1,1.11674
8010,10,1,1.11674
8120,2,1,0.98028
8120,3,1,1.08920
8120,5,1,1.08920
8120,8,1,0.98028
8120,10,1,1.08920
8222,2,1,1.05555
8222,3,1,1.05555
8222,5,1,1.05555
8222,8,1,1.05555
8222,10,1,1.05555
8330,2,1,1.11213
8330,3,1,1.11213
8330,5,1,1.11213
8330,8,1,1.11213
8330,10,1,1.11213
8430,2,1,1.07654
8430,3,1,1.07654
8430,5,1,1.07654
8430,8,1,1.07654
8430,10,1,1.07654
8540,2,1,1.08827
8540,3,1,1.08827
8540,5,1,0.97944
8540,8,1,1.08827
8540,10,1,0.97944
8651,2,1,1.08120
8651,3,1,0.97308
8651,5,1,1.08120
8651,8,1,1.08120
8651,10,1,1.08120
8760,2,1,0.98828
8760,3,1,1.09809
8760,5,1,1.09809
8760,8,1,1.09809
8760,10,1,1.09809
8870,2,1,1.08822
8870,3,1,1.08822
8870,5,1,1.08822
8870,8,1,0.97940
8870,10,1,1.08822
8971,2,1,1.07062
8971,3,1,1.07062
8971,5,1,1.07062
8971,8,1,1.07062
8971,10,1,1.07062
9079,2,1,1.10349
9079,3,1,1.10349
9079,5,1,1.10349
9079,8,1,1.10349
9079,10,1,0.99314
9180,2,1,1.07411
9180,3,1,1.07411
9180,5,1,1.07411
9180,8,1,1.07411
9180,10,1,1.07411
9292,2,1,1.07167
9292,3,1,0.96451
9292,5,1,0.96451
9292,8,1,1.07167
9292,10,1,1.07167
9400,2,1,0.99760
9400,3,1,1.10844
9400,5,1,1.10844
9400,8,1,1.10844
9400,10,1,1.10844
9500,2,1,1.07530
9500,3,1,1.07530
9500,5,1,1.07530
9500,8,1,0.95582
9500,10,1,1.07530
9610,2,1,1.09099
9610,3,1,1.09099
9610,5,1,1.09099
9610,8,1,1.09099
9610,10,1,1.09099
9713,2,1,1.04950
9713,3,1,1.04950
9713,5,1,1.04950
9713,8,1,1.04950
9713,10,1,1.04950
9820,2,1,1.12058
9820,3,1,1.12058
9820,5,1,1.12058
9820,8,1,1.12058
9820,10,1,1.12058
9920,2,1,1.07815
9920,3,1,1.07815
9920,5,1,1.07815
9920,8,1,1.07815
9920,10,1,0.95836
10020,2,1,1.07819
10020,3,1,1.07819
10020,5,1,0.95839
10020,8,1,1.07819
10020,10,1,1.07819
10120,2,1,1.07546
10120,3,1,0.95597
10120,5,1,1.07546
10120,8,1,1.07546
10120,10,1,1.07546
10220,2,1,1.07686
10220,3,1,1.07686
10220,5,1,1.07686
10220,8,1,1.07686
10220,10,1,1.07686
10320,2,1,1.07848
10320,3,1,1.07848
10320,5,1,1.07848
10320,8,1,1.07848
10320,10,1,1.07848
10432,2,1,0.96452
10432,3,1,1.07169
10432,5,1,1.07169
10432,8,1,0.96452
10432,10,1,1.07169
10541,2,1,1.10207
10541,3,1,1.10207
10541,5,1,1.10207
10541,8,1,1.10207
10541,10,1,1.10207
10650,2,1,1.09884
10650,3,1,1.09884
10650,5,1,1.09884
10650,8,1,1.09884
10650,10,1,1.09884
10750,2,1,1.07360
10750,3,1,1.07360
10750,5,1,1.07360
10750,8,1,1.07360
10750,10,1,0.95431
10850,2,1,1.07851
10850,3,1,0.95867
10850,5,1,0.95867
10850,8,1,1.07851
10850,10,1,1.07851
10960,2,1,1.08847
10960,3,1,1.08847
10960,5,1,1.08847
10960,8,1,1.08847
10960,10,1,1.08847
11062,2,1,0.94278
11062,3,1,1.06062
11062,5,1,1.06062
11062,8,1,1.06062
11062,10,1,1.06062
11170,2,1,1.10708
11170,3,1,1.10708
11170,5,1,1.10708
11170,8,1,0.99637
11170,10,1,1.10708
11273,2,1,1.05396
11273,3,1,1.05396
11273,5,1,1.05396
11273,8,1,1.05396
11273,10,1,1.05396
11380,2,1,1.11618
11380,3,1,1.11618
11380,5,1,1.11618
