Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,1,1,0.11915
0,4,1,0.35746
0,2,1,0.11915
0,3,1,0.11915
0,5,1,0.11915
1,6,1,0.11951
1,7,1,0.00000
1,9,1,0.23902
1,10,1,0.11951
1,8,1,0.11951
108,1,1,0.22067
108,4,1,0.11034
108,2,1,0.11034
108,3,1,0.11034
108,5,1,0.22067
113,6,1,0.21363
113,7,1,0.32045
113,9,1,0.10682
113,10,1,0.10682
113,8,1,0.10682
208,1,1,0.11947
208,4,1,0.11947
208,2,1,0.11947
208,3,1,0.11947
208,5,1,0.11947
220,6,1,0.22317
220,7,1,0.11159
220,9,1,0.11159
220,10,1,0.11159
220,8,1,0.11159
310,1,1,0.11792
310,4,1,0.00000
310,2,1,0.11792
310,3,1,0.23583
310,5,1,0.11792
321,6,1,0.00000
321,7,1,0.11916
321,9,1,0.11916
321,10,1,0.23832
321,8,1,0.11916
419,1,1,0.10990
419,4,1,0.21980
419,2,1,0.10990
419,3,1,0.10990
419,5,1,0.10990
431,6,1,0.21811
431,7,1,0.10906
431,9,1,0.10906
431,10,1,0.10906
431,8,1,0.10906
522,1,1,0.11711
522,4,1,0.23421
522,2,1,0.23421
522,3,1,0.11711
522,5,1,0.11711
541,6,1,0.10906
541,7,1,0.10906
541,9,1,0.21812
541,10,1,0.10906
541,8,1,0.10906
629,1,1,0.11120
629,4,1,0.11120
629,2,1,0.11120
629,3,1,0.11120
629,5,1,0.11120
642,6,1,0.11903
642,7,1,0.11903
642,9,1,0.11903
642,10,1,0.11903
642,8,1,0.23806
741,1,1,0.10761
741,4,1,0.10761
741,2,1,0.10761
741,3,1,0.21523
741,5,1,0.21523
743,6,1,0.23683
743,7,1,0.11842
743,9,1,0.23683
743,10,1,0.11842
743,8,1,0.11842
849,1,1,0.22205
849,4,1,0.11103
849,2,1,0.11103
849,3,1,0.00000
849,5,1,0.11103
851,6,1,0.11087
851,7,1,0.22173
851,9,1,0.00000
851,10,1,0.11087
851,8,1,0.11087
949,1,1,0.11975
949,4,1,0.00000
949,2,1,0.11975
949,3,1,0.23951
949,5,1,0.11975
961,6,1,0.00000
961,7,1,0.10910
961,9,1,0.10910
961,10,1,0.10910
961,8,1,0.10910
1049,1,1,0.11957
1049,4,1,0.11957
1049,2,1,0.00000
1049,3,1,0.11957
1049,5,1,0.11957
1062,6,1,0.23723
1062,7,1,0.11861
1062,9,1,0.11861
1062,10,1,0.23723
1062,8,1,0.11861
1149,1,1,0.11976
1149,4,1,0.11976
1149,2,1,0.23952
1149,3,1,0.11976
1149,5,1,0.11976
1172,6,1,0.10865
1172,7,1,0.10865
1172,9,1,0.21729
1172,10,1,0.10865
1172,8,1,0.10865
1250,1,1,0.11809
1250,4,1,0.23617
1250,2,1,0.11809
1250,3,1,0.11809
1250,5,1,0.11809
1273,6,1,0.11916
1273,7,1,0.11916
1273,9,1,0.11916
1273,10,1,0.11916
1273,8,1,0.23832
1351,1,1,0.11922
1351,4,1,0.11922
1351,2,1,0.23844
1351,3,1,0.11922
1351,5,1,0.23844
1381,6,1,0.11056
1381,7,1,0.11056
1381,9,1,0.22113
1381,10,1,0.11056
1381,8,1,0.11056
1460,1,1,0.21985
1460,4,1,0.21985
1460,2,1,0.10992
1460,3,1,0.10992
1460,5,1,0.00000
1481,6,1,0.23960
1481,7,1,0.23960
1481,9,1,0.00000
1481,10,1,0.11980
1481,8,1,0.11980
1570,1,1,0.10923
1570,4,1,0.00000
1570,2,1,0.10923
1570,3,1,0.21845
1570,5,1,0.21845
1581,6,1,0.00000
1581,7,1,0.00000
1581,9,1,0.23935
1581,10,1,0.11967
1581,8,1,0.23935
1681,6,1,0.23944
1681,7,1,0.23944
1681,9,1,0.00000
1681,10,1,0.11972
1681,8,1,0.00000
1682,1,1,0.10687
1682,4,1,0.21374
1682,2,1,0.10687
1682,3,1,0.00000
1682,5,1,0.10687
1791,1,1,0.10987
1791,4,1,0.00000
1791,2,1,0.10987
1791,3,1,0.21973
1791,5,1,0.10987
1791,6,1,0.10916
1791,7,1,0.10916
1791,9,1,0.21831
1791,10,1,0.21831
1791,8,1,0.10916
1892,6,1,0.11887
1892,7,1,0.11887
1892,9,1,0.00000
1892,10,1,0.11887
1892,8,1,0.11887
1899,1,1,0.11091
1899,4,1,0.33272
1899,2,1,0.22181
1899,3,1,0.11091
1899,5,1,0.11091
1999,1,1,0.11971
1999,4,1,0.11971
1999,2,1,0.11971
1999,3,1,0.11971
1999,5,1,0.11971
2001,6,1,0.10941
2001,7,1,0.21882
2001,9,1,0.32822
2001,10,1,0.10941
2001,8,1,0.21882
2111,1,1,0.10722
2111,4,1,0.10722
2111,2,1,0.10722
2111,3,1,0.10722
2111,5,1,0.10722
2111,6,1,0.10912
2111,7,1,0.10912
2111,9,1,0.10912
2111,10,1,0.10912
2111,8,1,0.10912
2219,1,1,0.11045
2219,4,1,0.11045
2219,2,1,0.11045
2219,3,1,0.22089
2219,5,1,0.22089
2221,6,1,0.10921
2221,7,1,0.10921
2221,9,1,0.10921
2221,10,1,0.10921
2221,8,1,0.10921
2320,1,1,0.23851
2320,4,1,0.11926
2320,2,1,0.11926
2320,3,1,0.11926
2320,5,1,0.11926
2322,6,1,0.23634
2322,7,1,0.11817
2322,9,1,0.11817
2322,10,1,0.11817
2322,8,1,0.11817
2429,1,1,0.10931
2429,4,1,0.10931
2429,2,1,0.10931
2429,3,1,0.21861
2429,5,1,0.10931
2431,6,1,0.11045
2431,7,1,0.11045
2431,9,1,0.11045
2431,10,1,0.22089
2431,8,1,0.11045
2530,1,1,0.11937
2530,4,1,0.11937
2530,2,1,0.23873
2530,3,1,0.00000
2530,5,1,0.11937
2532,6,1,0.00000
2532,7,1,0.11877
2532,9,1,0.11877
2532,10,1,0.23753
2532,8,1,0.23753
2631,1,1,0.23790
2631,4,1,0.11895
2631,2,1,0.11895
2631,3,1,0.00000
2631,5,1,0.23790
2643,6,1,0.00000
2643,7,1,0.32199
2643,9,1,0.10733
2643,10,1,0.00000
2643,8,1,0.21466
2739,1,1,0.11020
2739,4,1,0.22039
2739,2,1,0.11020
2739,3,1,0.00000
2739,5,1,0.11020
2752,6,1,0.00000
2752,7,1,0.00000
2752,9,1,0.22109
2752,10,1,0.11055
2752,8,1,0.11055
2839,1,1,0.11969
2839,4,1,0.11969
2839,2,1,0.23937
2839,3,1,0.47874
2839,5,1,0.11969
2861,6,1,0.43703
2861,7,1,0.10926
2861,9,1,0.10926
2861,10,1,0.21851
2861,8,1,0.10926
2949,1,1,0.10900
2949,4,1,0.10900
2949,2,1,0.00000
2949,3,1,0.10900
2949,5,1,0.21801
2962,6,1,0.11980
2962,7,1,0.11980
2962,9,1,0.11980
2962,10,1,0.00000
2962,8,1,0.11980
3050,1,1,0.11965
3050,4,1,0.11965
3050,2,1,0.23930
3050,3,1,0.11965
3050,5,1,0.11965
3063,6,1,0.23556
3063,7,1,0.11778
3063,9,1,0.11778
3063,10,1,0.35334
3063,8,1,0.23556
3150,1,1,0.23949
3150,4,1,0.23949
3150,2,1,0.11974
3150,3,1,0.23949
3150,5,1,0.11974
3171,6,1,0.11119
3171,7,1,0.22237
3171,9,1,0.11119
