Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,6,1,0.11936
0,8,1,0.11936
0,7,1,0.23873
0,9,1,0.11936
0,10,1,0.23873
7,1,1,0.21779
7,2,1,0.21779
7,4,1,0.21779
7,3,1,0.10889
7,11,1,0.32668
109,1,1,0.11838
109,2,1,0.23677
109,4,1,0.11838
109,3,1,0.23677
109,11,1,0.23677
111,6,1,0.10796
111,8,1,0.10796
111,7,1,0.10796
111,9,1,0.21591
111,10,1,0.10796
217,1,1,0.33037
217,2,1,0.11012
217,4,1,0.33037
217,3,1,0.33037
217,11,1,0.11012
220,6,1,0.11020
220,8,1,0.11020
220,7,1,0.11020
220,9,1,0.22040
220,10,1,0.22040
318,1,1,0.11945
318,2,1,0.23890
318,4,1,0.23890
318,3,1,0.11945
318,11,1,0.35834
320,6,1,0.35929
320,8,1,0.23953
320,7,1,0.35929
320,9,1,0.11976
320,10,1,0.11976
427,1,1,0.21882
427,2,1,0.32823
427,4,1,0.10941
427,3,1,0.21882
427,11,1,0.10941
430,6,1,0.10871
430,8,1,0.21742
430,7,1,0.10871
430,9,1,0.21742
430,10,1,0.10871
538,1,1,0.21717
538,2,1,0.10859
538,4,1,0.21717
538,3,1,0.10859
538,11,1,0.21717
540,6,1,0.21884
540,8,1,0.21884
540,7,1,0.10942
540,9,1,0.10942
540,10,1,0.32826
640,6,1,0.00000
640,8,1,0.11922
640,7,1,0.11922
640,9,1,0.11922
640,10,1,0.11922
647,1,1,0.21860
647,2,1,0.10930
647,4,1,0.21860
647,3,1,0.32790
647,11,1,0.10930
741,6,1,0.23835
741,8,1,0.11918
741,7,1,0.11918
741,9,1,0.23835
741,10,1,0.11918
748,1,1,0.11867
748,2,1,0.23734
748,4,1,0.11867
748,3,1,0.11867
748,11,1,0.11867
850,6,1,0.10979
850,8,1,0.10979
850,7,1,0.32938
850,9,1,0.10979
850,10,1,0.10979
858,1,1,0.10925
858,2,1,0.10925
858,4,1,0.10925
858,3,1,0.10925
858,11,1,0.21850
950,6,1,0.23968
950,8,1,0.23968
950,7,1,0.11984
950,9,1,0.11984
950,10,1,0.11984
967,1,1,0.10942
967,2,1,0.10942
967,4,1,0.10942
967,3,1,0.10942
967,11,1,0.21885
1050,6,1,0.11966
1050,8,1,0.11966
1050,7,1,0.11966
1050,9,1,0.11966
1050,10,1,0.11966
1077,1,1,0.10894
1077,2,1,0.21789
1077,4,1,0.10894
1077,3,1,0.10894
1077,11,1,0.10894
1150,6,1,0.11945
1150,8,1,0.11945
1150,7,1,0.00000
1150,9,1,0.11945
1150,10,1,0.11945
1178,1,1,0.11965
1178,2,1,0.11965
1178,4,1,0.23930
1178,3,1,0.11965
1178,11,1,0.11965
1260,6,1,0.10873
1260,8,1,0.10873
1260,7,1,0.21747
1260,9,1,0.10873
1260,10,1,0.21747
1278,1,1,0.23964
1278,2,1,0.11982
1278,4,1,0.00000
1278,3,1,0.23964
1278,11,1,0.11982
1361,6,1,0.11958
1361,8,1,0.11958
1361,7,1,0.00000
1361,9,1,0.23917
1361,10,1,0.11958
1387,1,1,0.10928
1387,2,1,0.10928
1387,4,1,0.32783
1387,3,1,0.10928
1387,11,1,0.10928
1470,6,1,0.11002
1470,8,1,0.11002
1470,7,1,0.22004
1470,9,1,0.00000
1470,10,1,0.11002
1488,1,1,0.23878
1488,2,1,0.11939
1488,4,1,0.11939
1488,3,1,0.11939
1488,11,1,0.11939
1570,6,1,0.11945
1570,8,1,0.11945
1570,7,1,0.23891
1570,9,1,0.35836
1570,10,1,0.11945
1597,1,1,0.10921
1597,2,1,0.10921
1597,4,1,0.10921
1597,3,1,0.10921
1597,11,1,0.21843
1680,6,1,0.21821
1680,8,1,0.21821
1680,7,1,0.10911
1680,9,1,0.00000
1680,10,1,0.10911
1707,1,1,0.10899
1707,2,1,0.21797
1707,4,1,0.10899
1707,3,1,0.10899
1707,11,1,0.10899
1790,6,1,0.10903
1790,8,1,0.10903
1790,7,1,0.10903
1790,9,1,0.21806
1790,10,1,0.10903
1818,1,1,0.21671
1818,2,1,0.10835
1818,4,1,0.10835
1818,3,1,0.21671
1818,11,1,0.10835
1890,6,1,0.11893
1890,8,1,0.11893
1890,7,1,0.11893
1890,9,1,0.11893
1890,10,1,0.35680
1927,1,1,0.10961
1927,2,1,0.21923
1927,4,1,0.21923
1927,3,1,0.21923
1927,11,1,0.10961
2000,6,1,0.10964
2000,8,1,0.21927
2000,7,1,0.10964
2000,9,1,0.10964
2000,10,1,0.10964
2028,1,1,0.11921
2028,2,1,0.11921
2028,4,1,0.11921
2028,3,1,0.11921
2028,11,1,0.23842
2100,6,1,0.23960
2100,8,1,0.11980
2100,7,1,0.11980
2100,9,1,0.23960
2100,10,1,0.11980
2137,1,1,0.10950
2137,2,1,0.10950
2137,4,1,0.21899
2137,3,1,0.10950
2137,11,1,0.21899
2200,6,1,0.23939
2200,8,1,0.11970
2200,7,1,0.35909
2200,9,1,0.11970
2200,10,1,0.11970
2238,1,1,0.23873
2238,2,1,0.35809
2238,4,1,0.11936
2238,3,1,0.23873
2238,11,1,0.11936
2300,6,1,0.11981
2300,8,1,0.23962
2300,7,1,0.11981
2300,9,1,0.23962
2300,10,1,0.11981
2338,1,1,0.11953
2338,2,1,0.11953
2338,4,1,0.11953
2338,3,1,0.11953
2338,11,1,0.11953
2410,6,1,0.10839
2410,8,1,0.10839
2410,7,1,0.10839
2410,9,1,0.10839
2410,10,1,0.32517
2447,1,1,0.21882
2447,2,1,0.10941
2447,4,1,0.21882
2447,3,1,0.21882
2447,11,1,0.21882
2521,6,1,0.21593
2521,8,1,0.21593
2521,7,1,0.21593
2521,9,1,0.10796
2521,10,1,0.10796
2557,1,1,0.21831
2557,2,1,0.10916
2557,4,1,0.21831
2557,3,1,0.10916
2557,11,1,0.10916
2630,6,1,0.11069
2630,8,1,0.22138
2630,7,1,0.11069
2630,9,1,0.33208
2630,10,1,0.22138
2657,1,1,0.11949
2657,2,1,0.23898
2657,4,1,0.11949
2657,3,1,0.23898
2657,11,1,0.23898
2740,6,1,0.32629
2740,8,1,0.21753
2740,7,1,0.21753
2740,9,1,0.10876
2740,10,1,0.10876
2768,1,1,0.10849
2768,2,1,0.10849
2768,4,1,0.21698
2768,3,1,0.10849
2768,11,1,0.21698
2849,6,1,0.10936
2849,8,1,0.10936
2849,7,1,0.21872
2849,9,1,0.10936
2849,10,1,0.10936
2877,1,1,0.21947
2877,2,1,0.21947
2877,4,1,0.10973
2877,3,1,0.10973
2877,11,1,0.10973
2960,6,1,0.10884
2960,8,1,0.10884
2960,7,1,0.10884
2960,9,1,0.21769
2960,10,1,0.21769
2977,1,1,0.23930
2977,2,1,0.11965
2977,4,1,0.11965
2977,3,1,0.23930
2977,11,1,0.11965
3060,6,1,0.11940
3060,8,1,0.23880
3060,7,1,0.11940
3060,9,1,0.11940
3060,10,1,0.23880
3077,1,1,0.11965
3077,2,1,0.23930
3077,4,1,0.35895
3077,3,1,0.23930
3077,11,1,0.23930
3170,6,1,0.10889
3170,8,1,0.10889
3170,7,1,0.10889
3170,9,1,0.21779
3170,10,1,0.10889
3178,1,1,0.23884
3178,2,1,0.23884
3178,4,1,0.11942
3178,3,1,0.23884
3178,11,1,0.11942
3280,6,1,0.21863
3280,8,1,0.21863
3280,7,1,0.32794
3280,9,1,0.21863
3280,10,1,0.10931
3287,1,1,0.21861
3287,2,1,0.21861
3287,4,1,0.21861
3287,3,1,0.10931
3287,11,1,0.32792
3388,1,1,0.23822
3388,2,1,0.23822
3388,4,1,0.11911
3388,3,1,0.23822
3388,11,1,0.11911
3392,6,1,0.31877
3392,8,1,0.21251
3392,7,1,0.10626
3392,9,1,0.10626
3392,10,1,0.21251
3497,1,1,0.21943
3497,2,1,0.10972
3497,4,1,0.32915
3497,3,1,0.32915
3497,11,1,0.21943
3500,6,1,0.11149
3500,8,1,0.11149
3500,7,1,0.22299
3500,9,1,0.11149
3500,10,1,0.22299
3598,1,1,0.11920
3598,2,1,0.23840
3598,4,1,0.11920
3598,3,1,0.11920
3598,11,1,0.11920
3600,6,1,0.11981
3600,8,1,0.23962
3600,7,1,0.11981
3600,9,1,0.23962
3600,10,1,0.23962
3700,6,1,0.11977
3700,8,1,0.00000
3700,7,1,0.11977
3700,9,1,0.23955
3700,10,1,0.11977
3708,1,1,0.10922
3708,2,1,0.10922
3708,4,1,0.10922
3708,3,1,0.10922
3708,11,1,0.32767
3810,6,1,0.32746
3810,8,1,0.21831
3810,7,1,0.32746
3810,9,1,0.10915
3810,10,1,0.10915
3817,1,1,0.21817
3817,2,1,0.21817
3817,4,1,0.21817
3817,3,1,0.10909
3817,11,1,0.10909
3910,6,1,0.11947
3910,8,1,0.23894
3910,7,1,0.11947
3910,9,1,0.23894
3910,10,1,0.11947
3918,1,1,0.11943
3918,2,1,0.11943
3918,4,1,0.11943
3918,3,1,0.35829
3918,11,1,0.11943
4020,6,1,0.10928
4020,8,1,0.10928
4020,7,1,0.10928
4020,9,1,0.10928
4020,10,1,0.32784
4027,1,1,0.21858
4027,2,1,0.21858
4027,4,1,0.21858
4027,3,1,0.10929
4027,11,1,0.21858
4127,1,1,0.11975
4127,2,1,0.11975
4127,4,1,0.23951
4127,3,1,0.11975
4127,11,1,0.11975
4130,6,1,0.21780
4130,8,1,0.21780
4130,7,1,0.10890
4130,9,1,0.10890
4130,10,1,0.10890
4228,1,1,0.23768
4228,2,1,0.11884
4228,4,1,0.11884
4228,3,1,0.11884
4228,11,1,0.23768
4230,6,1,0.11948
4230,8,1,0.11948
4230,7,1,0.35843
4230,9,1,0.23895
4230,10,1,0.11948
4330,6,1,0.11963
4330,8,1,0.11963
4330,7,1,0.11963
4330,9,1,0.23926
4330,10,1,0.11963
4338,1,1,0.10977
4338,2,1,0.21955
4338,4,1,0.10977
4338,3,1,0.21955
4338,11,1,0.10977
4430,6,1,0.23935
4430,8,1,0.35903
4430,7,1,0.11968
4430,9,1,0.11968
4430,10,1,0.23935
4438,1,1,0.11962
4438,2,1,0.23923
4438,4,1,0.11962
4438,3,1,0.23923
4438,11,1,0.23923
4540,6,1,0.21944
4540,8,1,0.10972
4540,7,1,0.10972
4540,9,1,0.10972
4540,10,1,0.10972
4547,1,1,0.21897
4547,2,1,0.10948
4547,4,1,0.21897
4547,3,1,0.10948
4547,11,1,0.10948
4640,6,1,0.11908
4640,8,1,0.11908
4640,7,1,0.23815
4640,9,1,0.11908
4640,10,1,0.23815
4647,1,1,0.11946
4647,2,1,0.11946
4647,4,1,0.23892
4647,3,1,0.11946
4647,11,1,0.11946
4750,6,1,0.10929
4750,8,1,0.10929
4750,7,1,0.10929
4750,9,1,0.21858
4750,10,1,0.10929
4757,1,1,0.21847
4757,2,1,0.10923
4757,4,1,0.10923
4757,3,1,0.10923
4757,11,1,0.10923
4851,6,1,0.11903
4851,8,1,0.11903
4851,7,1,0.11903
4851,9,1,0.00000
4851,10,1,0.11903
4857,1,1,0.11951
4857,2,1,0.11951
4857,4,1,0.11951
4857,3,1,0.23903
4857,11,1,0.23903
4960,6,1,0.10976
4960,8,1,0.10976
4960,7,1,0.21953
4960,9,1,0.32929
4960,10,1,0.10976
4968,1,1,0.10886
4968,2,1,0.32659
4968,4,1,0.10886
4968,3,1,0.10886
4968,11,1,0.10886
5068,1,1,0.23966
5068,2,1,0.11983
5068,4,1,0.11983
5068,3,1,0.11983
5068,11,1,0.23966
5070,6,1,0.10883
5070,8,1,0.21766
5070,7,1,0.10883
5070,9,1,0.00000
5070,10,1,0.43532
5177,1,1,0.21799
5177,2,1,0.10899
5177,4,1,0.32698
5177,3,1,0.32698
5177,11,1,0.10899
5180,6,1,0.21810
5180,8,1,0.10905
5180,7,1,0.10905
5180,9,1,0.21810
5180,10,1,0.21810
5278,1,1,0.11977
5278,2,1,0.11977
5278,4,1,0.11977
5278,3,1,0.00000
5278,11,1,0.11977
5280,6,1,0.23929
5280,8,1,0.11964
5280,7,1,0.11964
5280,9,1,0.11964
5280,10,1,0.11964
5388,1,1,0.10898
5388,2,1,0.10898
5388,4,1,0.10898
5388,3,1,0.21796
5388,11,1,0.21796
5390,6,1,0.10886
5390,8,1,0.21772
5390,7,1,0.10886
5390,9,1,0.10886
5390,10,1,0.21772
5488,1,1,0.11977
5488,2,1,0.35931
5488,4,1,0.11977
5488,3,1,0.11977
5488,11,1,0.11977
5500,6,1,0.10899
5500,8,1,0.10899
5500,7,1,0.21797
5500,9,1,0.21797
5500,10,1,0.10899
5597,1,1,0.10904
5597,2,1,0.10904
5597,4,1,0.10904
5597,3,1,0.10904
5597,11,1,0.21808
5601,6,1,0.11899
5601,8,1,0.23797
5601,7,1,0.23797
5601,9,1,0.23797
5601,10,1,0.23797
5698,1,1,0.23950
5698,2,1,0.11975
5698,4,1,0.23950
5698,3,1,0.23950
5698,11,1,0.11975
5710,6,1,0.22018
5710,8,1,0.11009
5710,7,1,0.11009
5710,9,1,0.11009
5710,10,1,0.44037
5798,1,1,0.23861
5798,2,1,0.11930
5798,4,1,0.23861
5798,3,1,0.11930
5798,11,1,0.11930
5810,6,1,0.23810
5810,8,1,0.11905
5810,7,1,0.23810
5810,9,1,0.11905
5810,10,1,0.23810
5907,1,1,0.10949
5907,2,1,0.10949
5907,4,1,0.10949
5907,3,1,0.21898
5907,11,1,0.21898
5920,6,1,0.10922
5920,8,1,0.21844
5920,7,1,0.10922
5920,9,1,0.10922
5920,10,1,0.10922
6008,1,1,0.11978
6008,2,1,0.11978
6008,4,1,0.11978
6008,3,1,0.00000
6008,11,1,0.00000
6021,6,1,0.11830
6021,8,1,0.23659
6021,7,1,0.11830
6021,9,1,0.23659
6021,10,1,0.23659
6108,1,1,0.11877
6108,2,1,0.11877
6108,4,1,0.11877
6108,3,1,0.23754
6108,11,1,0.23754
6122,6,1,0.23881
6122,8,1,0.11941
6122,7,1,0.11941
6122,9,1,0.11941
6122,10,1,0.23881
6218,1,1,0.10980
6218,2,1,0.32939
6218,4,1,0.10980
6218,3,1,0.10980
6218,11,1,0.10980
6230,6,1,0.11039
6230,8,1,0.11039
6230,7,1,0.11039
6230,9,1,0.22078
6230,10,1,0.33117
6318,1,1,0.23928
6318,2,1,0.00000
6318,4,1,0.11964
6318,3,1,0.23928
6318,11,1,0.11964
6340,6,1,0.10926
6340,8,1,0.10926
6340,7,1,0.32778
6340,9,1,0.10926
6340,10,1,0.21852
6418,1,1,0.11981
6418,2,1,0.23962
6418,4,1,0.23962
6418,3,1,0.11981
6418,11,1,0.11981
6441,6,1,0.11898
6441,8,1,0.11898
6441,7,1,0.11898
6441,9,1,0.11898
6441,10,1,0.35694
6528,1,1,0.10862
6528,2,1,0.10862
6528,4,1,0.10862
6528,3,1,0.10862
6528,11,1,0.10862
6550,6,1,0.10914
6550,8,1,0.21829
6550,7,1,0.10914
6550,9,1,0.10914
6550,10,1,0.21829
6638,1,1,0.10912
6638,2,1,0.10912
6638,4,1,0.10912
6638,3,1,0.10912
6638,11,1,0.10912
6660,6,1,0.21881
6660,8,1,0.21881
6660,7,1,0.10940
6660,9,1,0.10940
6660,10,1,0.21881
6748,1,1,0.10931
6748,2,1,0.21861
6748,4,1,0.10931
6748,3,1,0.10931
6748,11,1,0.32792
6770,6,1,0.10846
6770,8,1,0.10846
6770,7,1,0.10846
6770,9,1,0.10846
6770,10,1,0.21691
6857,1,1,0.10930
6857,2,1,0.10930
6857,4,1,0.21861
6857,3,1,0.10930
6857,11,1,0.10930
6880,6,1,0.10966
6880,8,1,0.10966
6880,7,1,0.10966
6880,9,1,0.32898
6880,10,1,0.21932
6958,1,1,0.35516
6958,2,1,0.11839
6958,4,1,0.23677
6958,3,1,0.11839
6958,11,1,0.11839
6980,6,1,0.23852
6980,8,1,0.11926
6980,7,1,0.11926
6980,9,1,0.11926
6980,10,1,0.11926
7068,1,1,0.10930
7068,2,1,0.10930
7068,4,1,0.10930
7068,3,1,0.32790
7068,11,1,0.10930
7090,6,1,0.21798
7090,8,1,0.21798
7090,7,1,0.32697
7090,9,1,0.21798
7090,10,1,0.21798
7178,1,1,0.10948
7178,2,1,0.21897
7178,4,1,0.10948
7178,3,1,0.10948
7178,11,1,0.21897
7200,6,1,0.10925
7200,8,1,0.10925
7200,7,1,0.10925
7200,9,1,0.10925
7200,10,1,0.43699
7278,1,1,0.11969
7278,2,1,0.23938
7278,4,1,0.11969
7278,3,1,0.11969
7278,11,1,0.23938
7300,6,1,0.23929
7300,8,1,0.11964
7300,7,1,0.11964
7300,9,1,0.11964
7300,10,1,0.23929
7378,1,1,0.11981
7378,2,1,0.11981
7378,4,1,0.23962
7378,3,1,0.11981
7378,11,1,0.11981
7410,6,1,0.10862
7410,8,1,0.32585
7410,7,1,0.21724
7410,9,1,0.32585
7410,10,1,0.21724
7478,1,1,0.23919
7478,2,1,0.11960
7478,4,1,0.11960
7478,3,1,0.11960
7478,11,1,0.11960
7520,6,1,0.21790
7520,8,1,0.10895
7520,7,1,0.21790
7520,9,1,0.10895
7520,10,1,0.10895
7588,1,1,0.10929
7588,2,1,0.10929
7588,4,1,0.21858
7588,3,1,0.21858
7588,11,1,0.10929
7630,6,1,0.21909
7630,8,1,0.10954
7630,7,1,0.10954
7630,9,1,0.10954
7630,10,1,0.43817
7688,1,1,0.23955
7688,2,1,0.11977
7688,4,1,0.11977
7688,3,1,0.11977
7688,11,1,0.11977
7731,6,1,0.00000
7731,8,1,0.11780
7731,7,1,0.23560
7731,9,1,0.11780
7731,10,1,0.23560
7797,1,1,0.10906
7797,2,1,0.32719
7797,4,1,0.10906
7797,3,1,0.21813
7797,11,1,0.32719
8948,6,1,0.00000
8948,8,1,0.00985
8948,7,1,0.00000
8948,9,1,0.00985
8948,10,1,0.03942
8948,1,1,0.01042
8948,2,1,0.00000
8948,4,1,0.01042
8948,3,1,0.01042
8948,11,1,0.00000
9050,6,1,2.10428
9050,8,1,2.22119
9050,7,1,1.87047
9050,9,1,1.87047
9050,10,1,3.85785
9058,1,1,1.96393
9058,2,1,1.85482
9058,4,1,2.07304
9058,3,1,2.07304
9058,11,1,2.07304
9160,6,1,0.10945
9160,8,1,0.21890
9160,7,1,0.10945
9160,9,1,0.10945
9160,10,1,0.76614
9168,1,1,0.32730
9168,2,1,0.10910
9168,4,1,0.10910
9168,3,1,0.10910
9168,11,1,0.10910
9260,6,1,0.11928
9260,8,1,0.11928
9260,7,1,0.23857
9260,9,1,0.11928
9260,10,1,0.35785
9268,1,1,0.11935
9268,2,1,0.11935
9268,4,1,0.35805
