Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,2,1,0.95567
110,2,1,1.08618
220,2,1,0.87230
330,2,1,0.65519
430,2,1,1.67506
530,2,1,1.19634
640,2,1,1.09256
750,2,1,0.98298
850,2,1,1.07033
960,2,1,1.20158
1070,2,1,0.54528
1180,2,1,1.20124
1290,2,1,1.08889
1400,2,1,1.08772
1510,2,1,1.08703
1620,2,1,1.20373
1720,2,1,1.07697
1830,2,1,0.98032
1930,2,1,1.19616
2040,2,1,1.09229
2150,2,1,1.08806
2250,2,1,0.83876
2350,2,1,1.31220
2460,2,1,1.09488
2560,2,1,1.07719
2670,2,1,0.87137
2780,2,1,1.31086
2890,2,1,0.97917
3000,2,1,0.87174
3100,2,1,1.43795
3200,2,1,0.71903
3310,2,1,1.31132
3410,2,1,0.59603
3510,2,1,1.31787
3610,2,1,1.31708
3720,2,1,0.65473
3830,2,1,1.41736
3930,2,1,0.83547
4040,2,1,1.09053
4150,2,1,1.30758
4260,2,1,0.98346
4360,2,1,1.19442
4460,2,1,0.59823
4570,2,1,1.19829
4680,2,1,1.31020
4790,2,1,1.08839
4900,2,1,0.54597
5010,2,1,1.52409
5120,2,1,0.87227
5220,2,1,1.31794
5330,2,1,0.65288
5440,2,1,1.19883
5550,2,1,1.19976
5650,2,1,1.19567
5760,2,1,1.19888
5870,2,1,0.65307
5970,2,1,1.43745
6080,2,1,0.65412
6190,2,1,1.09399
6290,2,1,1.31295
6400,2,1,1.08902
6510,2,1,1.30787
6620,2,1,0.76225
6730,2,1,1.30786
6840,2,1,1.09181
6940,2,1,0.95764
7040,2,1,1.19787
7140,2,1,1.07530
7250,2,1,0.65534
7350,2,1,1.31415
7460,2,1,1.20120
7560,2,1,0.83885
7670,2,1,1.19827
7780,2,1,1.20259
7880,2,1,0.71748
7980,2,1,1.07604
8090,2,1,1.09137
8190,2,1,1.43585
8291,2,1,0.71657
8400,2,1,1.19958
8511,2,1,1.08887
8620,2,1,0.76567
8720,2,1,0.95550
8830,2,1,1.20181
8930,2,1,1.31753
9040,2,1,1.19952
9140,2,1,0.83778
9250,2,1,1.30452
9351,2,1,0.71845
9451,2,1,1.19763
9551,2,1,1.19834
9660,2,1,1.09287
9760,2,1,0.59892
9861,2,1,1.31421
9970,2,1,1.09320
10071,2,1,1.31447
10171,2,1,0.83731
10281,2,1,1.30760
10390,2,1,0.76481
10500,2,1,1.30826
10610,2,1,1.19628
10720,2,1,0.65465
10820,2,1,1.43756
10920,2,1,0.71864
11021,2,1,1.19577
11130,2,1,1.20036
11241,2,1,0.76065
11341,2,1,1.43491
11451,2,1,0.76551
11561,2,1,1.30586
11671,2,1,1.19861
11771,2,1,0.71882
11881,2,1,1.09034
11981,2,1,1.19712
12081,2,1,1.19516
12191,2,1,0.54567
12291,2,1,1.31372
12401,2,1,1.20157
12511,2,1,1.20028
12621,2,1,0.98026
12731,2,1,1.08667
12840,2,1,0.87829
12941,2,1,1.31113
13051,2,1,0.87190
13151,2,1,1.31716
13251,2,1,0.95848
13351,2,1,0.83729
13461,2,1,1.20236
13571,2,1,1.08941
13671,2,1,1.07807
13771,2,1,1.19429
13871,2,1,0.83746
13971,2,1,1.43788
14081,2,1,0.76597
14191,2,1,1.19616
14300,2,1,0.87550
14400,2,1,1.31811
14501,2,1,1.19597
14611,2,1,1.08522
14721,2,1,0.65583
14830,2,1,1.31234
14931,2,1,0.83437
15031,2,1,1.19476
15141,2,1,1.31371
15241,2,1,0.83706
15341,2,1,0.71715
15451,2,1,1.30861
15561,2,1,1.30825
15671,2,1,1.09161
15771,2,1,0.83572
15881,2,1,1.09243
15981,2,1,1.19830
16081,2,1,0.71899
16191,2,1,1.30477
16291,2,1,0.71880
16391,2,1,1.43736
16501,2,1,1.09187
16611,2,1,1.19802
16711,2,1,0.71855
16820,2,1,1.31212
16921,2,1,1.19681
17021,2,1,0.71763
17131,2,1,1.19923
17231,2,1,0.71892
17331,2,1,1.19769
17441,2,1,1.30888
17551,2,1,0.76240
17651,2,1,1.43761
17761,2,1,1.19900
17861,2,1,0.83566
17971,2,1,0.54549
18071,2,1,1.55790
18172,2,1,1.42940
18281,2,1,0.65753
18381,2,1,1.43591
18481,2,1,0.83877
18591,2,1,1.09364
18691,2,1,1.31508
18791,2,1,0.71841
18891,2,1,1.31699
19001,2,1,1.09128
19101,2,1,0.71827
19201,2,1,1.31803
19311,2,1,0.76312
19421,2,1,1.09056
19521,2,1,1.43772
19631,2,1,1.19867
19731,2,1,0.71669
19841,2,1,1.19541
19951,2,1,1.09437
20051,2,1,1.19785
20151,2,1,0.83801
20261,2,1,0.87284
20361,2,1,1.43690
20461,2,1,0.71757
20571,2,1,1.31297
20671,2,1,1.07463
20781,2,1,1.19763
20881,2,1,0.83842
20991,2,1,1.20089
21091,2,1,0.59829
21201,2,1,1.42024
21311,2,1,1.08970
21411,2,1,1.07586
21521,2,1,0.98038
21621,2,1,1.31777
21731,2,1,0.54304
21841,2,1,1.20404
21951,2,1,1.30443
