Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,3,1,0.95781
0,5,1,0.95781
0,6,1,1.07754
0,8,1,0.95781
0,11,1,1.19726
0,12,1,0.59863
0,14,1,0.83808
0,17,1,1.07754
0,19,1,1.07754
0,20,1,0.59863
100,3,1,1.07529
100,5,1,0.95581
100,6,1,1.19477
100,8,1,1.19477
100,11,1,1.31424
100,12,1,0.71686
100,14,1,0.59738
100,17,1,1.79215
100,19,1,1.67268
100,20,1,1.31424
202,3,1,0.94660
202,5,1,1.18325
202,6,1,0.59163
202,8,1,0.94660
202,11,1,0.94660
202,12,1,1.53823
202,14,1,1.65656
202,17,1,0.47330
202,19,1,0.47330
202,20,1,0.82828
310,3,1,0.66401
310,5,1,0.99601
310,6,1,1.54935
310,8,1,1.10668
310,11,1,1.10668
310,12,1,1.43868
310,14,1,0.99601
310,17,1,1.21735
310,19,1,1.77069
310,20,1,0.77467
411,3,1,1.66550
411,5,1,0.83275
411,6,1,0.23793
411,8,1,1.54654
411,11,1,0.35689
411,12,1,0.23793
411,14,1,0.83275
411,17,1,1.07068
411,19,1,0.35689
411,20,1,1.42757
520,3,1,0.65659
520,5,1,0.98488
520,6,1,0.98488
520,8,1,0.65659
520,11,1,1.96976
520,12,1,1.42260
520,14,1,1.09431
520,17,1,1.53203
520,19,1,1.42260
520,20,1,1.31317
630,3,1,1.09232
630,5,1,1.09232
630,6,1,0.76463
630,8,1,0.54616
630,11,1,0.32770
630,12,1,0.65539
630,14,1,1.09232
630,17,1,0.32770
630,19,1,0.54616
630,20,1,0.54616
730,3,1,1.19688
730,5,1,0.47875
730,6,1,0.71813
730,8,1,1.43626
730,11,1,0.71813
730,12,1,1.67563
730,14,1,0.83782
730,17,1,1.31657
730,19,1,1.43626
730,20,1,1.07719
830,3,1,1.19520
830,5,1,1.67328
830,6,1,0.95616
830,8,1,1.67328
830,11,1,1.79280
830,12,1,0.83664
830,14,1,0.71712
830,17,1,1.55376
830,19,1,0.95616
830,20,1,1.67328
940,3,1,1.09047
940,5,1,0.98142
940,6,1,2.07188
940,8,1,0.54523
940,11,1,1.09047
940,12,1,0.21809
940,14,1,1.41761
940,17,1,1.09047
940,19,1,0.76333
940,20,1,0.10905
1041,3,1,1.06841
1041,5,1,1.66197
1041,6,1,0.59356
1041,8,1,0.35614
1041,11,1,1.42455
1041,12,1,2.25553
1041,14,1,1.18712
1041,17,1,0.11871
1041,19,1,1.06841
1041,20,1,2.01811
1150,3,1,0.87986
1150,5,1,0.54991
1150,6,1,1.42977
1150,8,1,1.42977
1150,11,1,0.87986
1150,12,1,0.98984
1150,14,1,1.09982
1150,17,1,1.53975
1150,19,1,1.75972
1150,20,1,0.76988
1250,3,1,1.55781
1250,5,1,1.31815
1250,6,1,0.83882
1250,8,1,2.03714
1250,11,1,0.59916
1250,12,1,1.19832
1250,14,1,0.59916
1250,17,1,1.19832
1250,19,1,0.47933
1250,20,1,0.23966
1350,3,1,0.35943
1350,5,1,0.71886
1350,6,1,1.07829
1350,8,1,0.59905
1350,11,1,1.19810
1350,12,1,0.71886
1350,14,1,1.43772
1350,17,1,0.71886
1350,19,1,0.71886
1350,20,1,1.07829
1464,3,1,1.78999
1464,5,1,1.05294
1464,6,1,1.05294
1464,8,1,0.42117
1464,11,1,1.05294
1464,12,1,0.73706
1464,14,1,1.05294
1464,17,1,1.05294
1464,19,1,1.47411
1464,20,1,1.78999
1570,3,1,0.22572
1570,5,1,0.67716
1570,6,1,0.56430
1570,8,1,2.48291
1570,11,1,1.46718
1570,12,1,1.35432
1570,14,1,1.12860
1570,17,1,1.80575
1570,19,1,1.46718
1570,20,1,1.46718
1680,3,1,1.73839
1680,5,1,1.52109
1680,6,1,2.06433
1680,8,1,0.32595
1680,11,1,1.30379
1680,12,1,1.30379
1680,14,1,1.08649
1680,17,1,0.76054
1680,19,1,0.43460
1680,20,1,0.76054
1791,3,1,0.64929
1791,5,1,0.97394
1791,6,1,0.86572
1791,8,1,1.40680
1791,11,1,0.21643
1791,12,1,0.54108
1791,14,1,0.64929
1791,17,1,1.51502
1791,19,1,1.08215
1791,20,1,1.08215
1900,3,1,0.76942
1900,5,1,1.20909
1900,6,1,0.21984
1900,8,1,0.87934
1900,11,1,1.53885
1900,12,1,1.09918
1900,14,1,1.86860
1900,17,1,0.54959
1900,19,1,1.42893
1900,20,1,1.20909
2010,3,1,1.63982
2010,5,1,1.42117
2010,6,1,0.65593
2010,8,1,0.98389
2010,11,1,1.09321
2010,12,1,0.98389
2010,14,1,0.54661
2010,17,1,1.42117
2010,19,1,0.87457
2010,20,1,1.09321
2110,3,1,1.19491
2110,5,1,0.11949
2110,6,1,2.15084
2110,8,1,0.35847
2110,11,1,0.95593
2110,12,1,1.19491
2110,14,1,1.19491
2110,17,1,0.47796
2110,19,1,0.00000
2110,20,1,1.07542
2210,3,1,1.19730
2210,5,1,1.19730
2210,6,1,1.07757
2210,8,1,1.67622
2210,11,1,0.95784
2210,12,1,1.67622
2210,14,1,0.83811
2210,17,1,0.83811
2210,19,1,0.83811
2210,20,1,0.59865
2310,3,1,0.83699
2310,5,1,1.55441
2310,6,1,0.47828
2310,8,1,1.91312
2310,11,1,1.19570
2310,12,1,0.59785
2310,14,1,1.19570
2310,17,1,1.07613
2310,19,1,2.51097
2310,20,1,1.79355
2420,3,1,0.76546
2420,5,1,0.87481
2420,6,1,1.09351
2420,8,1,0.54676
2420,11,1,0.76546
2420,12,1,1.53091
2420,14,1,0.98416
2420,17,1,1.42156
2420,19,1,1.20286
2420,20,1,0.54676
2520,3,1,1.43738
2520,5,1,1.07803
2520,6,1,0.47913
2520,8,1,0.47913
2520,11,1,1.31759
2520,12,1,0.47913
2520,14,1,1.67694
2520,17,1,0.23956
2520,19,1,1.07803
2520,20,1,0.59891
2620,3,1,0.71652
2620,5,1,1.67189
2620,6,1,2.50784
2620,8,1,2.14957
2620,11,1,0.71652
2620,12,1,1.55247
2620,14,1,0.83595
2620,17,1,1.91073
2620,19,1,1.19421
2620,20,1,1.67189
2720,3,1,1.43746
2720,5,1,0.47915
2720,6,1,1.07810
2720,8,1,0.11979
2720,11,1,1.79683
2720,12,1,1.31767
2720,14,1,0.59894
2720,17,1,1.19788
2720,19,1,1.19788
2720,20,1,0.83852
2830,3,1,0.65416
2830,5,1,1.41735
2830,6,1,1.30832
2830,8,1,0.00000
2830,11,1,0.10903
2830,12,1,0.54513
2830,14,1,0.87221
2830,17,1,1.30832
2830,19,1,0.43611
2830,20,1,0.98124
2940,3,1,1.42119
2940,5,1,0.76525
2940,6,1,1.53051
2940,8,1,2.07712
2940,11,1,1.85848
2940,12,1,2.07712
2940,14,1,1.85848
2940,17,1,0.76525
2940,19,1,1.42119
2940,20,1,1.42119
3040,3,1,1.43795
3040,5,1,1.19829
3040,6,1,0.59915
3040,8,1,1.19829
3040,11,1,1.07846
3040,12,1,0.47932
3040,14,1,0.23966
3040,17,1,1.19829
3040,19,1,0.83880
3040,20,1,1.07846
3140,3,1,0.95518
3140,5,1,0.71638
3140,6,1,1.67156
3140,8,1,0.47759
3140,11,1,0.83578
3140,12,1,0.59699
3140,14,1,1.67156
3140,17,1,1.19397
3140,19,1,1.67156
3140,20,1,0.83578
3241,3,1,1.07353
3241,5,1,1.66993
3241,6,1,0.11928
3241,8,1,1.07353
3241,11,1,0.59640
3241,12,1,1.66993
3241,14,1,1.66993
3241,17,1,0.47712
3241,19,1,0.47712
3241,20,1,1.19281
3350,3,1,0.54772
3350,5,1,1.09545
3350,6,1,0.43818
3350,8,1,1.20499
3350,11,1,1.31454
3350,12,1,0.43818
3350,14,1,0.65727
3350,17,1,0.76681
3350,19,1,1.20499
3350,20,1,1.09545
3460,3,1,1.52587
3460,5,1,0.76294
3460,6,1,2.07083
3460,8,1,1.96184
3460,11,1,1.30789
3460,12,1,0.76294
3460,14,1,0.76294
3460,17,1,1.52587
3460,19,1,1.08991
3460,20,1,1.30789
3570,3,1,0.54646
3570,5,1,0.76505
3570,6,1,0.98363
3570,8,1,0.76505
3570,11,1,0.00000
3570,12,1,1.96726
3570,14,1,0.65575
3570,17,1,1.09292
