[UE 16 | RB 1] Throughput = 1.13808 Mbps
[UE 16 | RB 1] Throughput = 1.07775 Mbps
[UE 16 | RB 1] Throughput = 1.02772 Mbps
[UE 16 | RB 1] Throughput = 1.08353 Mbps
[UE 16 | RB 1] Throughput = 1.19932 Mbps
[UE 16 | RB 1] Throughput = 0.91321 Mbps
[UE 16 | RB 1] Throughput = 1.13680 Mbps
[UE 16 | RB 1] Throughput = 1.02839 Mbps
[UE 16 | RB 1] Throughput = 1.07791 Mbps
[UE 16 | RB 1] Throughput = 1.19931 Mbps
[UE 16 | RB 1] Throughput = 0.83813 Mbps
[UE 16 | RB 1] Throughput = 1.25620 Mbps
[UE 16 | RB 1] Throughput = 1.07814 Mbps
[UE 16 | RB 1] Throughput = 1.01863 Mbps
[UE 16 | RB 1] Throughput = 0.95708 Mbps
[UE 16 | RB 1] Throughput = 0.97212 Mbps
[UE 16 | RB 1] Throughput = 1.31798 Mbps
[UE 16 | RB 1] Throughput = 1.01859 Mbps
[UE 16 | RB 1] Throughput = 0.95836 Mbps
[UE 16 | RB 1] Throughput = 1.19746 Mbps
[UE 16 | RB 1] Throughput = 1.07799 Mbps
[UE 16 | RB 1] Throughput = 0.85729 Mbps
[UE 16 | RB 1] Throughput = 1.19799 Mbps
[UE 16 | RB 1] Throughput = 0.83864 Mbps
[UE 16 | RB 1] Throughput = 1.25796 Mbps
[UE 16 | RB 1] Throughput = 0.97055 Mbps
[UE 16 | RB 1] Throughput = 1.14156 Mbps
[UE 16 | RB 1] Throughput = 1.13737 Mbps
[UE 16 | RB 1] Throughput = 1.02853 Mbps
[UE 16 | RB 1] Throughput = 1.19791 Mbps
[UE 16 | RB 1] Throughput = 1.02753 Mbps
[UE 16 | RB 1] Throughput = 1.07831 Mbps
[UE 16 | RB 1] Throughput = 1.02742 Mbps
[UE 16 | RB 1] Throughput = 1.01756 Mbps
[UE 16 | RB 1] Throughput = 1.25672 Mbps
[UE 16 | RB 1] Throughput = 1.07827 Mbps
[UE 16 | RB 1] Throughput = 1.02739 Mbps
[UE 16 | RB 1] Throughput = 1.02717 Mbps
[UE 16 | RB 1] Throughput = 0.95812 Mbps
[UE 16 | RB 1] Throughput = 1.19796 Mbps
[UE 16 | RB 1] Throughput = 1.02735 Mbps
[UE 16 | RB 1] Throughput = 0.46384 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
[UE 16 | RB 1] Throughput = 0.00000 Mbps
