[UE 3 | RB 1] Throughput = 0.92189 Mbps
[UE 12 | RB 1] Throughput = 1.20999 Mbps
[UE 16 | RB 1] Throughput = 0.97951 Mbps
[UE 20 | RB 1] Throughput = 1.15237 Mbps
[UE 3 | RB 1] Throughput = 1.31589 Mbps
[UE 12 | RB 1] Throughput = 0.85819 Mbps
[UE 16 | RB 1] Throughput = 1.08704 Mbps
[UE 20 | RB 1] Throughput = 1.08704 Mbps
[UE 3 | RB 1] Throughput = 1.07536 Mbps
[UE 12 | RB 1] Throughput = 1.25459 Mbps
[UE 16 | RB 1] Throughput = 1.13510 Mbps
[UE 20 | RB 1] Throughput = 1.01562 Mbps
[UE 3 | RB 1] Throughput = 1.02762 Mbps
[UE 12 | RB 1] Throughput = 0.91344 Mbps
[UE 16 | RB 1] Throughput = 1.14180 Mbps
[UE 20 | RB 1] Throughput = 1.14180 Mbps
[UE 3 | RB 1] Throughput = 1.02935 Mbps
[UE 12 | RB 1] Throughput = 1.20091 Mbps
[UE 16 | RB 1] Throughput = 1.02935 Mbps
[UE 20 | RB 1] Throughput = 1.20091 Mbps
[UE 3 | RB 1] Throughput = 1.14247 Mbps
[UE 12 | RB 1] Throughput = 0.97110 Mbps
[UE 16 | RB 1] Throughput = 0.91398 Mbps
[UE 20 | RB 1] Throughput = 0.97110 Mbps
[UE 3 | RB 1] Throughput = 0.77880 Mbps
[UE 12 | RB 1] Throughput = 1.19815 Mbps
[UE 16 | RB 1] Throughput = 1.13825 Mbps
[UE 20 | RB 1] Throughput = 1.07834 Mbps
[UE 3 | RB 1] Throughput = 1.31544 Mbps
[UE 12 | RB 1] Throughput = 1.01648 Mbps
[UE 16 | RB 1] Throughput = 1.25565 Mbps
[UE 20 | RB 1] Throughput = 1.07627 Mbps
[UE 3 | RB 1] Throughput = 1.01739 Mbps
[UE 12 | RB 1] Throughput = 0.95754 Mbps
[UE 16 | RB 1] Throughput = 0.95754 Mbps
[UE 20 | RB 1] Throughput = 1.01739 Mbps
[UE 3 | RB 1] Throughput = 1.14407 Mbps
[UE 12 | RB 1] Throughput = 1.02967 Mbps
[UE 16 | RB 1] Throughput = 1.08687 Mbps
[UE 20 | RB 1] Throughput = 0.62924 Mbps
[UE 3 | RB 1] Throughput = 0.85533 Mbps
[UE 12 | RB 1] Throughput = 1.42555 Mbps
[UE 16 | RB 1] Throughput = 1.14044 Mbps
[UE 20 | RB 1] Throughput = 1.36853 Mbps
[UE 3 | RB 1] Throughput = 1.13045 Mbps
[UE 12 | RB 1] Throughput = 0.79131 Mbps
[UE 16 | RB 1] Throughput = 1.01740 Mbps
[UE 20 | RB 1] Throughput = 0.79131 Mbps
[UE 3 | RB 1] Throughput = 1.03961 Mbps
[UE 12 | RB 1] Throughput = 1.27063 Mbps
[UE 16 | RB 1] Throughput = 1.03961 Mbps
[UE 20 | RB 1] Throughput = 1.55941 Mbps
[UE 3 | RB 1] Throughput = 1.19652 Mbps
[UE 12 | RB 1] Throughput = 0.53843 Mbps
[UE 16 | RB 1] Throughput = 1.01704 Mbps
[UE 20 | RB 1] Throughput = 0.95722 Mbps
[UE 3 | RB 1] Throughput = 0.83788 Mbps
[UE 12 | RB 1] Throughput = 1.19697 Mbps
[UE 16 | RB 1] Throughput = 1.13712 Mbps
[UE 20 | RB 1] Throughput = 1.01742 Mbps
[UE 3 | RB 1] Throughput = 0.71887 Mbps
[UE 12 | RB 1] Throughput = 1.31794 Mbps
