[UE 7 | RB 1] Throughput = 1.07036 Mbps
[UE 7 | RB 1] Throughput = 1.32304 Mbps
[UE 7 | RB 1] Throughput = 0.68432 Mbps
[UE 7 | RB 1] Throughput = 1.48520 Mbps
[UE 7 | RB 1] Throughput = 0.71840 Mbps
[UE 7 | RB 1] Throughput = 1.37429 Mbps
[UE 7 | RB 1] Throughput = 0.97026 Mbps
[UE 7 | RB 1] Throughput = 1.01368 Mbps
[UE 7 | RB 1] Throughput = 1.15061 Mbps
[UE 7 | RB 1] Throughput = 1.13285 Mbps
[UE 7 | RB 1] Throughput = 1.02801 Mbps
[UE 7 | RB 1] Throughput = 1.14412 Mbps
[UE 7 | RB 1] Throughput = 0.95687 Mbps
[UE 7 | RB 1] Throughput = 1.07377 Mbps
[UE 7 | RB 1] Throughput = 1.03302 Mbps
[UE 7 | RB 1] Throughput = 1.14176 Mbps
[UE 7 | RB 1] Throughput = 1.13107 Mbps
[UE 7 | RB 1] Throughput = 1.02669 Mbps
[UE 7 | RB 1] Throughput = 1.03531 Mbps
[UE 7 | RB 1] Throughput = 1.07506 Mbps
[UE 7 | RB 1] Throughput = 1.08707 Mbps
[UE 7 | RB 1] Throughput = 1.19327 Mbps
[UE 7 | RB 1] Throughput = 0.79970 Mbps
[UE 7 | RB 1] Throughput = 1.20461 Mbps
[UE 7 | RB 1] Throughput = 1.07235 Mbps
[UE 7 | RB 1] Throughput = 1.07349 Mbps
[UE 7 | RB 1] Throughput = 1.15038 Mbps
[UE 7 | RB 1] Throughput = 1.00940 Mbps
[UE 7 | RB 1] Throughput = 1.03465 Mbps
[UE 7 | RB 1] Throughput = 1.08672 Mbps
[UE 7 | RB 1] Throughput = 0.95432 Mbps
[UE 7 | RB 1] Throughput = 1.31461 Mbps
[UE 7 | RB 1] Throughput = 0.91560 Mbps
[UE 7 | RB 1] Throughput = 1.03277 Mbps
[UE 7 | RB 1] Throughput = 1.13437 Mbps
[UE 7 | RB 1] Throughput = 1.07772 Mbps
[UE 7 | RB 1] Throughput = 1.08924 Mbps
[UE 7 | RB 1] Throughput = 0.95781 Mbps
[UE 7 | RB 1] Throughput = 1.19496 Mbps
[UE 7 | RB 1] Throughput = 1.07279 Mbps
[UE 7 | RB 1] Throughput = 0.97406 Mbps
[UE 7 | RB 1] Throughput = 1.19850 Mbps
[UE 7 | RB 1] Throughput = 0.95452 Mbps
[UE 7 | RB 1] Throughput = 0.43087 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
