[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.79887 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.35869 Mbps
[UE 4 | RB 1] Throughput = 0.35869 Mbps
[UE 7 | RB 1] Throughput = 1.25541 Mbps
[UE 9 | RB 1] Throughput = 0.17934 Mbps
[UE 10 | RB 1] Throughput = 0.17934 Mbps
[UE 1 | RB 1] Throughput = 0.62825 Mbps
[UE 4 | RB 1] Throughput = 0.85671 Mbps
[UE 7 | RB 1] Throughput = 1.02805 Mbps
[UE 9 | RB 1] Throughput = 0.79959 Mbps
[UE 10 | RB 1] Throughput = 0.79959 Mbps
[UE 1 | RB 1] Throughput = 0.79977 Mbps
[UE 4 | RB 1] Throughput = 0.57127 Mbps
[UE 7 | RB 1] Throughput = 1.02828 Mbps
[UE 9 | RB 1] Throughput = 0.62839 Mbps
[UE 10 | RB 1] Throughput = 0.74264 Mbps
[UE 1 | RB 1] Throughput = 0.77865 Mbps
[UE 4 | RB 1] Throughput = 0.83855 Mbps
[UE 7 | RB 1] Throughput = 1.13803 Mbps
[UE 9 | RB 1] Throughput = 0.83855 Mbps
[UE 10 | RB 1] Throughput = 0.71876 Mbps
[UE 1 | RB 1] Throughput = 0.47833 Mbps
[UE 4 | RB 1] Throughput = 0.65771 Mbps
[UE 7 | RB 1] Throughput = 1.13604 Mbps
[UE 9 | RB 1] Throughput = 0.59792 Mbps
[UE 10 | RB 1] Throughput = 0.83708 Mbps
[UE 1 | RB 1] Throughput = 0.80144 Mbps
[UE 4 | RB 1] Throughput = 0.80144 Mbps
[UE 7 | RB 1] Throughput = 1.03042 Mbps
[UE 9 | RB 1] Throughput = 0.62970 Mbps
[UE 10 | RB 1] Throughput = 0.57245 Mbps
[UE 1 | RB 1] Throughput = 0.65862 Mbps
[UE 4 | RB 1] Throughput = 0.65862 Mbps
[UE 7 | RB 1] Throughput = 0.89812 Mbps
[UE 9 | RB 1] Throughput = 0.83825 Mbps
[UE 10 | RB 1] Throughput = 0.83825 Mbps
[UE 1 | RB 1] Throughput = 0.77895 Mbps
[UE 4 | RB 1] Throughput = 0.89879 Mbps
[UE 7 | RB 1] Throughput = 1.07854 Mbps
[UE 9 | RB 1] Throughput = 0.71903 Mbps
[UE 10 | RB 1] Throughput = 0.65911 Mbps
[UE 1 | RB 1] Throughput = 0.79845 Mbps
[UE 4 | RB 1] Throughput = 0.91252 Mbps
[UE 7 | RB 1] Throughput = 1.14065 Mbps
[UE 9 | RB 1] Throughput = 0.85549 Mbps
[UE 10 | RB 1] Throughput = 0.79845 Mbps
[UE 1 | RB 1] Throughput = 0.89807 Mbps
[UE 4 | RB 1] Throughput = 0.65858 Mbps
[UE 7 | RB 1] Throughput = 1.01781 Mbps
[UE 9 | RB 1] Throughput = 0.83820 Mbps
[UE 10 | RB 1] Throughput = 0.89807 Mbps
[UE 1 | RB 1] Throughput = 0.91473 Mbps
[UE 4 | RB 1] Throughput = 0.91473 Mbps
[UE 7 | RB 1] Throughput = 1.02908 Mbps
[UE 9 | RB 1] Throughput = 0.74322 Mbps
[UE 10 | RB 1] Throughput = 0.62888 Mbps
[UE 1 | RB 1] Throughput = 0.65892 Mbps
[UE 4 | RB 1] Throughput = 0.83862 Mbps
[UE 7 | RB 1] Throughput = 1.07823 Mbps
[UE 9 | RB 1] Throughput = 0.95843 Mbps
[UE 10 | RB 1] Throughput = 0.95843 Mbps
[UE 1 | RB 1] Throughput = 0.95781 Mbps
[UE 4 | RB 1] Throughput = 0.89794 Mbps
[UE 7 | RB 1] Throughput = 1.07753 Mbps
[UE 9 | RB 1] Throughput = 0.77822 Mbps
[UE 10 | RB 1] Throughput = 0.71835 Mbps
[UE 1 | RB 1] Throughput = 1.02700 Mbps
[UE 4 | RB 1] Throughput = 0.96994 Mbps
[UE 7 | RB 1] Throughput = 1.08406 Mbps
[UE 9 | RB 1] Throughput = 0.96994 Mbps
[UE 10 | RB 1] Throughput = 0.85583 Mbps
[UE 1 | RB 1] Throughput = 0.74266 Mbps
[UE 4 | RB 1] Throughput = 1.02829 Mbps
[UE 7 | RB 1] Throughput = 1.14255 Mbps
[UE 9 | RB 1] Throughput = 1.02829 Mbps
[UE 10 | RB 1] Throughput = 0.85691 Mbps
