[UE 7 | RB 1] Throughput = 1.07777 Mbps
[UE 7 | RB 1] Throughput = 1.01819 Mbps
[UE 7 | RB 1] Throughput = 1.08398 Mbps
[UE 7 | RB 1] Throughput = 1.25964 Mbps
[UE 7 | RB 1] Throughput = 1.07741 Mbps
[UE 7 | RB 1] Throughput = 1.07694 Mbps
[UE 7 | RB 1] Throughput = 1.01864 Mbps
[UE 7 | RB 1] Throughput = 0.91151 Mbps
[UE 7 | RB 1] Throughput = 1.31369 Mbps
[UE 7 | RB 1] Throughput = 0.97044 Mbps
[UE 7 | RB 1] Throughput = 1.07738 Mbps
[UE 7 | RB 1] Throughput = 1.07855 Mbps
[UE 7 | RB 1] Throughput = 1.02963 Mbps
[UE 7 | RB 1] Throughput = 0.95665 Mbps
[UE 7 | RB 1] Throughput = 1.25196 Mbps
[UE 7 | RB 1] Throughput = 0.97365 Mbps
[UE 7 | RB 1] Throughput = 1.01834 Mbps
[UE 7 | RB 1] Throughput = 1.07621 Mbps
[UE 7 | RB 1] Throughput = 1.02742 Mbps
[UE 7 | RB 1] Throughput = 1.02898 Mbps
[UE 7 | RB 1] Throughput = 1.07665 Mbps
[UE 7 | RB 1] Throughput = 1.25678 Mbps
[UE 7 | RB 1] Throughput = 1.07824 Mbps
[UE 7 | RB 1] Throughput = 0.97116 Mbps
[UE 7 | RB 1] Throughput = 1.07809 Mbps
[UE 7 | RB 1] Throughput = 1.02812 Mbps
[UE 7 | RB 1] Throughput = 1.07805 Mbps
[UE 7 | RB 1] Throughput = 0.95766 Mbps
[UE 7 | RB 1] Throughput = 1.31655 Mbps
[UE 7 | RB 1] Throughput = 1.08723 Mbps
[UE 7 | RB 1] Throughput = 1.01847 Mbps
[UE 7 | RB 1] Throughput = 1.07774 Mbps
[UE 7 | RB 1] Throughput = 0.96864 Mbps
[UE 7 | RB 1] Throughput = 1.02869 Mbps
[UE 7 | RB 1] Throughput = 1.19826 Mbps
[UE 7 | RB 1] Throughput = 0.85548 Mbps
[UE 7 | RB 1] Throughput = 1.31754 Mbps
[UE 7 | RB 1] Throughput = 0.95655 Mbps
[UE 7 | RB 1] Throughput = 1.19837 Mbps
[UE 7 | RB 1] Throughput = 1.02902 Mbps
[UE 7 | RB 1] Throughput = 1.02977 Mbps
[UE 7 | RB 1] Throughput = 1.07709 Mbps
[UE 7 | RB 1] Throughput = 1.13741 Mbps
[UE 7 | RB 1] Throughput = 1.02875 Mbps
[UE 7 | RB 1] Throughput = 1.01800 Mbps
[UE 7 | RB 1] Throughput = 0.95763 Mbps
[UE 7 | RB 1] Throughput = 1.19850 Mbps
[UE 7 | RB 1] Throughput = 1.07834 Mbps
[UE 7 | RB 1] Throughput = 1.01769 Mbps
[UE 7 | RB 1] Throughput = 0.97108 Mbps
[UE 7 | RB 1] Throughput = 1.02766 Mbps
[UE 7 | RB 1] Throughput = 1.31584 Mbps
[UE 7 | RB 1] Throughput = 1.07810 Mbps
[UE 7 | RB 1] Throughput = 0.97209 Mbps
[UE 7 | RB 1] Throughput = 0.97023 Mbps
[UE 7 | RB 1] Throughput = 1.07796 Mbps
[UE 7 | RB 1] Throughput = 1.07771 Mbps
[UE 7 | RB 1] Throughput = 1.25633 Mbps
[UE 7 | RB 1] Throughput = 0.89744 Mbps
[UE 7 | RB 1] Throughput = 1.19822 Mbps
[UE 7 | RB 1] Throughput = 0.97116 Mbps
[UE 7 | RB 1] Throughput = 1.02861 Mbps
[UE 7 | RB 1] Throughput = 1.01818 Mbps
[UE 7 | RB 1] Throughput = 1.13848 Mbps
[UE 7 | RB 1] Throughput = 1.07831 Mbps
[UE 7 | RB 1] Throughput = 1.02836 Mbps
[UE 7 | RB 1] Throughput = 1.19658 Mbps
[UE 7 | RB 1] Throughput = 0.95712 Mbps
[UE 7 | RB 1] Throughput = 1.02549 Mbps
[UE 7 | RB 1] Throughput = 1.26026 Mbps
[UE 7 | RB 1] Throughput = 1.01711 Mbps
[UE 7 | RB 1] Throughput = 0.91333 Mbps
[UE 7 | RB 1] Throughput = 1.13586 Mbps
[UE 7 | RB 1] Throughput = 0.97246 Mbps
[UE 7 | RB 1] Throughput = 1.19753 Mbps
[UE 7 | RB 1] Throughput = 1.19809 Mbps
[UE 7 | RB 1] Throughput = 1.02812 Mbps
[UE 7 | RB 1] Throughput = 0.96960 Mbps
[UE 7 | RB 1] Throughput = 1.14305 Mbps
[UE 7 | RB 1] Throughput = 1.07628 Mbps
[UE 7 | RB 1] Throughput = 0.96896 Mbps
[UE 7 | RB 1] Throughput = 1.01771 Mbps
[UE 7 | RB 1] Throughput = 1.25520 Mbps
[UE 7 | RB 1] Throughput = 1.14223 Mbps
[UE 7 | RB 1] Throughput = 0.91634 Mbps
[UE 7 | RB 1] Throughput = 1.07672 Mbps
[UE 7 | RB 1] Throughput = 1.02653 Mbps
[UE 7 | RB 1] Throughput = 1.07786 Mbps
[UE 7 | RB 1] Throughput = 1.02803 Mbps
[UE 7 | RB 1] Throughput = 1.01757 Mbps
[UE 7 | RB 1] Throughput = 1.13729 Mbps
[UE 7 | RB 1] Throughput = 1.02937 Mbps
[UE 7 | RB 1] Throughput = 1.01583 Mbps
[UE 7 | RB 1] Throughput = 1.31512 Mbps
[UE 7 | RB 1] Throughput = 1.01637 Mbps
[UE 7 | RB 1] Throughput = 1.02908 Mbps
[UE 7 | RB 1] Throughput = 1.07771 Mbps
[UE 7 | RB 1] Throughput = 0.95843 Mbps
[UE 7 | RB 1] Throughput = 1.25785 Mbps
[UE 7 | RB 1] Throughput = 0.95726 Mbps
[UE 7 | RB 1] Throughput = 1.01806 Mbps
[UE 7 | RB 1] Throughput = 0.97169 Mbps
[UE 7 | RB 1] Throughput = 1.13991 Mbps
[UE 7 | RB 1] Throughput = 1.03000 Mbps
[UE 7 | RB 1] Throughput = 1.31703 Mbps
[UE 7 | RB 1] Throughput = 1.07719 Mbps
[UE 7 | RB 1] Throughput = 1.01483 Mbps
[UE 7 | RB 1] Throughput = 1.02812 Mbps
[UE 7 | RB 1] Throughput = 1.02828 Mbps
[UE 7 | RB 1] Throughput = 1.02762 Mbps
[UE 7 | RB 1] Throughput = 1.08756 Mbps
[UE 7 | RB 1] Throughput = 0.95719 Mbps
[UE 7 | RB 1] Throughput = 1.01831 Mbps
[UE 7 | RB 1] Throughput = 1.07764 Mbps
[UE 7 | RB 1] Throughput = 1.31238 Mbps
[UE 7 | RB 1] Throughput = 1.07678 Mbps
[UE 7 | RB 1] Throughput = 1.02749 Mbps
[UE 7 | RB 1] Throughput = 1.02831 Mbps
[UE 7 | RB 1] Throughput = 0.95786 Mbps
[UE 7 | RB 1] Throughput = 1.02831 Mbps
[UE 7 | RB 1] Throughput = 1.08456 Mbps
[UE 7 | RB 1] Throughput = 1.01802 Mbps
[UE 7 | RB 1] Throughput = 1.37214 Mbps
[UE 7 | RB 1] Throughput = 0.77820 Mbps
[UE 7 | RB 1] Throughput = 1.07796 Mbps
[UE 7 | RB 1] Throughput = 1.31504 Mbps
[UE 7 | RB 1] Throughput = 1.08553 Mbps
[UE 7 | RB 1] Throughput = 1.03037 Mbps
[UE 7 | RB 1] Throughput = 1.07552 Mbps
[UE 7 | RB 1] Throughput = 1.07718 Mbps
[UE 7 | RB 1] Throughput = 0.97120 Mbps
[UE 7 | RB 1] Throughput = 1.07835 Mbps
[UE 7 | RB 1] Throughput = 1.07838 Mbps
[UE 7 | RB 1] Throughput = 1.02778 Mbps
[UE 7 | RB 1] Throughput = 1.07704 Mbps
[UE 7 | RB 1] Throughput = 1.02616 Mbps
[UE 7 | RB 1] Throughput = 1.03033 Mbps
[UE 7 | RB 1] Throughput = 1.25723 Mbps
[UE 7 | RB 1] Throughput = 1.07347 Mbps
[UE 7 | RB 1] Throughput = 1.03028 Mbps
[UE 7 | RB 1] Throughput = 1.02965 Mbps
[UE 7 | RB 1] Throughput = 1.07817 Mbps
[UE 7 | RB 1] Throughput = 0.91299 Mbps
[UE 7 | RB 1] Throughput = 1.31783 Mbps
[UE 7 | RB 1] Throughput = 0.77777 Mbps
[UE 7 | RB 1] Throughput = 1.31509 Mbps
