UE_ID,RB_ID,Throughput_Mbps
6,1,0.41930
3,1,0.53910
8,1,0.41930
10,1,1.19799
13,1,0.41930
14,1,1.19799
16,1,1.13809
17,1,1.31779
19,1,1.37769
21,1,0.53910
6,1,0.62867
3,1,0.68582
8,1,0.40006
10,1,0.85727
13,1,0.45721
14,1,1.20018
16,1,1.14303
17,1,1.54309
19,1,1.20018
21,1,0.45721
6,1,0.41938
3,1,0.41938
8,1,0.59911
10,1,1.31804
13,1,0.47929
14,1,1.31804
16,1,0.77884
17,1,1.01849
19,1,1.31804
21,1,0.65902
6,1,0.41869
3,1,0.53832
8,1,0.53832
10,1,0.77757
13,1,0.53832
14,1,0.83738
16,1,1.07663
17,1,0.95701
19,1,1.07663
21,1,0.41869
6,1,0.62761
3,1,0.51350
8,1,0.51350
10,1,1.31228
13,1,0.57056
14,1,0.96994
16,1,1.02700
17,1,1.14111
19,1,1.25522
21,1,0.57056
6,1,0.74244
3,1,0.62822
8,1,0.39978
10,1,1.02799
13,1,0.62822
14,1,1.19933
16,1,1.02799
17,1,1.54199
19,1,1.31355
21,1,0.39978
6,1,0.83776
3,1,0.47872
8,1,0.59840
10,1,0.59840
13,1,0.47872
14,1,1.07712
16,1,0.77792
17,1,1.01728
19,1,0.77792
21,1,0.53856
6,1,0.65684
3,1,0.23885
8,1,0.83597
10,1,1.07482
13,1,0.65684
14,1,1.19425
16,1,0.59712
17,1,1.07482
19,1,0.89569
21,1,0.59712
6,1,0.45871
3,1,0.63072
8,1,0.74540
10,1,1.43347
13,1,0.68806
14,1,0.97476
16,1,1.14677
17,1,1.31879
19,1,1.49080
21,1,0.68806
6,1,0.47896
3,1,0.47896
8,1,0.47896
10,1,0.71845
13,1,0.47896
14,1,0.89806
16,1,1.19741
17,1,0.77832
19,1,0.83819
21,1,0.41909
6,1,0.47922
3,1,0.71882
8,1,0.65892
10,1,1.31784
13,1,0.65892
14,1,1.31784
16,1,0.95843
17,1,1.25794
19,1,1.19804
21,1,0.47922
6,1,0.41881
3,1,0.65813
8,1,0.47864
10,1,1.13677
13,1,0.71796
14,1,1.25644
16,1,1.49576
17,1,1.31627
19,1,1.31627
21,1,0.47864
6,1,0.51425
3,1,0.68567
8,1,0.45711
10,1,1.08564
13,1,0.68567
14,1,0.91422
16,1,1.19992
