Time_ms,UE_ID,Mean_Throughput,Std_Throughput
0,3,0.5391,0.0
0,6,0.4193,0.0
0,8,0.4193,0.0
0,10,1.19799,0.0
0,13,0.4193,0.0
0,14,1.19799,0.0
0,16,1.13809,0.0
0,17,1.31779,0.0
0,19,1.37769,0.0
0,21,0.5391,0.0
10,3,0.68582,0.0
10,6,0.62867,0.0
10,8,0.40006,0.0
10,10,0.85727,0.0
10,13,0.45721,0.0
10,14,1.20018,0.0
10,16,1.14303,0.0
10,17,1.54309,0.0
10,19,1.20018,0.0
10,21,0.45721,0.0
20,3,0.41938,0.0
20,6,0.41938,0.0
20,8,0.59911,0.0
20,10,1.31804,0.0
20,13,0.47929,0.0
20,14,1.31804,0.0
20,16,0.77884,0.0
20,17,1.01849,0.0
20,19,1.31804,0.0
20,21,0.65902,0.0
30,3,0.53832,0.0
30,6,0.41869,0.0
30,8,0.53832,0.0
30,10,0.77757,0.0
30,13,0.53832,0.0
30,14,0.83738,0.0
30,16,1.07663,0.0
30,17,0.95701,0.0
30,19,1.07663,0.0
30,21,0.41869,0.0
40,3,0.5135,0.0
40,6,0.62761,0.0
40,8,0.5135,0.0
40,10,1.31228,0.0
40,13,0.57056,0.0
40,14,0.96994,0.0
40,16,1.027,0.0
40,17,1.14111,0.0
40,19,1.25522,0.0
40,21,0.57056,0.0
50,3,0.62822,0.0
50,6,0.74244,0.0
50,8,0.39978,0.0
50,10,1.02799,0.0
50,13,0.62822,0.0
50,14,1.19933,0.0
50,16,1.02799,0.0
50,17,1.54199,0.0
50,19,1.31355,0.0
50,21,0.39978,0.0
60,3,0.47872,0.0
60,6,0.83776,0.0
60,8,0.5984,0.0
60,10,0.5984,0.0
60,13,0.47872,0.0
60,14,1.07712,0.0
60,16,0.77792,0.0
60,17,1.01728,0.0
60,19,0.77792,0.0
60,21,0.53856,0.0
70,3,0.23885,0.0
70,6,0.65684,0.0
70,8,0.83597,0.0
70,10,1.07482,0.0
70,13,0.65684,0.0
70,14,1.19425,0.0
70,16,0.59712,0.0
70,17,1.07482,0.0
70,19,0.89569,0.0
70,21,0.59712,0.0
80,3,0.63072,0.0
80,6,0.45871,0.0
80,8,0.7454,0.0
80,10,1.43347,0.0
80,13,0.68806,0.0
80,14,0.97476,0.0
80,16,1.14677,0.0
80,17,1.31879,0.0
80,19,1.4908,0.0
80,21,0.68806,0.0
90,3,0.47896,0.0
90,6,0.47896,0.0
90,8,0.47896,0.0
90,10,0.71845,0.0
90,13,0.47896,0.0
90,14,0.89806,0.0
90,16,1.19741,0.0
90,17,0.77832,0.0
90,19,0.83819,0.0
90,21,0.41909,0.0
100,3,0.71882,0.0
100,6,0.47922,0.0
100,8,0.65892,0.0
100,10,1.31784,0.0
100,13,0.65892,0.0
100,14,1.31784,0.0
100,16,0.95843,0.0
100,17,1.25794,0.0
100,19,1.19804,0.0
100,21,0.47922,0.0
110,3,0.65813,0.0
110,6,0.41881,0.0
110,8,0.47864,0.0
110,10,1.13677,0.0
110,13,0.71796,0.0
110,14,1.25644,0.0
110,16,1.49576,0.0
110,17,1.31627,0.0
110,19,1.31627,0.0
110,21,0.47864,0.0
120,3,0.68567,0.0
120,6,0.51425,0.0
120,8,0.45711,0.0
120,10,1.08564,0.0
120,13,0.68567,0.0
120,14,0.91422,0.0
120,16,1.19992,0.0
120,17,0.51425,0.0
120,19,0.79995,0.0
120,21,0.68567,0.0
130,3,0.22823,0.0
130,6,0.51351,0.0
130,8,0.39939,0.0
130,10,0.85585,0.0
130,13,0.51351,0.0
130,14,0.57056,0.0
130,16,0.68468,0.0
130,17,1.3123,0.0
130,19,0.9129,0.0
130,21,0.45645,0.0
140,3,0.74299,0.0
140,6,0.74299,0.0
140,8,0.68584,0.0
140,10,1.20022,0.0
140,13,0.51438,0.0
140,14,1.42883,0.0
140,16,1.25737,0.0
140,17,1.31452,0.0
140,19,1.31452,0.0
140,21,0.8573,0.0
150,3,0.77795,0.0
150,6,0.77795,0.0
150,8,0.77795,0.0
150,10,1.19685,0.0
150,13,0.77795,0.0
150,14,0.95748,0.0
150,16,1.37638,0.0
150,17,1.01732,0.0
150,19,1.19685,0.0
150,21,0.53858,0.0
160,3,0.5387,0.0
160,6,0.83797,0.0
160,8,0.5387,0.0
160,10,0.59855,0.0
160,13,0.77812,0.0
160,14,1.19711,0.0
160,16,1.37667,0.0
160,17,0.89783,0.0
160,19,0.83797,0.0
160,21,0.83797,0.0
170,3,0.80072,0.0
170,6,0.74353,0.0
170,8,0.74353,0.0
170,10,1.31547,0.0
170,13,0.51475,0.0
170,14,1.0295,0.0
170,16,0.9723,0.0
170,17,1.14389,0.0
170,19,1.14389,0.0
170,21,0.74353,0.0
180,3,0.51402,0.0
180,6,0.74248,0.0
180,8,0.51402,0.0
180,10,1.14227,0.0
180,13,0.62825,0.0
180,14,1.2565,0.0
180,16,1.37073,0.0
180,17,1.08516,0.0
180,19,0.97093,0.0
180,21,0.74248,0.0
190,3,0.7776,0.0
190,6,0.83741,0.0
190,8,0.53834,0.0
190,10,1.07667,0.0
190,13,0.53834,0.0
190,14,0.71778,0.0
190,16,1.49538,0.0
190,17,1.13649,0.0
190,19,1.25612,0.0
190,21,0.53834,0.0
200,3,0.74291,0.0
200,6,0.8572,0.0
