Time (ms),Throughput (Mbps),UE,Scenario,Num_UEs,Repetition
0,0.4193,6,cb,10,1
0,0.5391,3,cb,10,1
0,0.4193,8,cb,10,1
0,1.19799,10,cb,10,1
0,0.4193,13,cb,10,1
0,1.19799,14,cb,10,1
0,1.13809,16,cb,10,1
0,1.31779,17,cb,10,1
0,1.37769,19,cb,10,1
0,0.5391,21,cb,10,1
10,0.62867,6,cb,10,1
10,0.68582,3,cb,10,1
10,0.40006,8,cb,10,1
10,0.85727,10,cb,10,1
10,0.45721,13,cb,10,1
10,1.20018,14,cb,10,1
10,1.14303,16,cb,10,1
10,1.54309,17,cb,10,1
10,1.20018,19,cb,10,1
10,0.45721,21,cb,10,1
20,0.41938,6,cb,10,1
20,0.41938,3,cb,10,1
20,0.59911,8,cb,10,1
20,1.31804,10,cb,10,1
20,0.47929,13,cb,10,1
20,1.31804,14,cb,10,1
20,0.77884,16,cb,10,1
20,1.01849,17,cb,10,1
20,1.31804,19,cb,10,1
20,0.65902,21,cb,10,1
30,0.41869,6,cb,10,1
30,0.53832,3,cb,10,1
30,0.53832,8,cb,10,1
30,0.77757,10,cb,10,1
30,0.53832,13,cb,10,1
30,0.83738,14,cb,10,1
30,1.07663,16,cb,10,1
30,0.95701,17,cb,10,1
30,1.07663,19,cb,10,1
30,0.41869,21,cb,10,1
40,0.62761,6,cb,10,1
40,0.5135,3,cb,10,1
40,0.5135,8,cb,10,1
40,1.31228,10,cb,10,1
40,0.57056,13,cb,10,1
40,0.96994,14,cb,10,1
40,1.027,16,cb,10,1
40,1.14111,17,cb,10,1
40,1.25522,19,cb,10,1
40,0.57056,21,cb,10,1
50,0.74244,6,cb,10,1
50,0.62822,3,cb,10,1
50,0.39978,8,cb,10,1
50,1.02799,10,cb,10,1
50,0.62822,13,cb,10,1
50,1.19933,14,cb,10,1
50,1.02799,16,cb,10,1
50,1.54199,17,cb,10,1
50,1.31355,19,cb,10,1
50,0.39978,21,cb,10,1
60,0.83776,6,cb,10,1
60,0.47872,3,cb,10,1
60,0.5984,8,cb,10,1
60,0.5984,10,cb,10,1
60,0.47872,13,cb,10,1
60,1.07712,14,cb,10,1
60,0.77792,16,cb,10,1
60,1.01728,17,cb,10,1
60,0.77792,19,cb,10,1
60,0.53856,21,cb,10,1
70,0.65684,6,cb,10,1
70,0.23885,3,cb,10,1
70,0.83597,8,cb,10,1
70,1.07482,10,cb,10,1
70,0.65684,13,cb,10,1
70,1.19425,14,cb,10,1
70,0.59712,16,cb,10,1
70,1.07482,17,cb,10,1
70,0.89569,19,cb,10,1
70,0.59712,21,cb,10,1
80,0.45871,6,cb,10,1
80,0.63072,3,cb,10,1
80,0.7454,8,cb,10,1
80,1.43347,10,cb,10,1
80,0.68806,13,cb,10,1
80,0.97476,14,cb,10,1
80,1.14677,16,cb,10,1
80,1.31879,17,cb,10,1
80,1.4908,19,cb,10,1
