[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.11482 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22964 Mbps
[UE 12 | RB 1] Throughput = 0.17223 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.29811 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17887 Mbps
[UE 12 | RB 1] Throughput = 0.17887 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17192 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17192 Mbps
[UE 12 | RB 1] Throughput = 0.22922 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.23871 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23871 Mbps
[UE 12 | RB 1] Throughput = 0.17903 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17179 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22905 Mbps
[UE 12 | RB 1] Throughput = 0.22905 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.23834 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17876 Mbps
[UE 12 | RB 1] Throughput = 0.17876 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17147 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22863 Mbps
[UE 12 | RB 1] Throughput = 0.17147 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.22809 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22809 Mbps
[UE 12 | RB 1] Throughput = 0.22809 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.22915 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17186 Mbps
[UE 12 | RB 1] Throughput = 0.28644 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.23959 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29948 Mbps
[UE 12 | RB 1] Throughput = 0.17969 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17918 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17918 Mbps
[UE 12 | RB 1] Throughput = 0.29864 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.28517 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28517 Mbps
[UE 12 | RB 1] Throughput = 0.17110 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17121 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17121 Mbps
[UE 12 | RB 1] Throughput = 0.22828 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.22924 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22924 Mbps
[UE 12 | RB 1] Throughput = 0.22924 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.23854 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23854 Mbps
[UE 12 | RB 1] Throughput = 0.29817 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.29784 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23828 Mbps
[UE 12 | RB 1] Throughput = 0.17871 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17292 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23056 Mbps
[UE 12 | RB 1] Throughput = 0.23056 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.23952 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23952 Mbps
[UE 12 | RB 1] Throughput = 0.23952 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17958 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.17958 Mbps
[UE 12 | RB 1] Throughput = 0.17958 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.28626 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22900 Mbps
[UE 12 | RB 1] Throughput = 0.22900 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17964 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23952 Mbps
[UE 12 | RB 1] Throughput = 0.29940 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.29821 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23856 Mbps
[UE 12 | RB 1] Throughput = 0.17892 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.17099 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22799 Mbps
[UE 12 | RB 1] Throughput = 0.22799 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.22808 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22808 Mbps
[UE 12 | RB 1] Throughput = 0.22808 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.22927 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22927 Mbps
[UE 12 | RB 1] Throughput = 0.22927 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.28460 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22768 Mbps
[UE 12 | RB 1] Throughput = 0.22768 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 2 | RB 1] Throughput = 0.00000 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.22845 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
