[UE 2 | RB 1] Throughput = 0.86047 Mbps
[UE 3 | RB 1] Throughput = 1.08993 Mbps
[UE 9 | RB 1] Throughput = 0.40155 Mbps
[UE 12 | RB 1] Throughput = 0.40155 Mbps
[UE 15 | RB 1] Throughput = 0.40155 Mbps
[UE 16 | RB 1] Throughput = 0.40155 Mbps
[UE 17 | RB 1] Throughput = 0.57365 Mbps
[UE 20 | RB 1] Throughput = 0.40155 Mbps
[UE 2 | RB 1] Throughput = 1.19618 Mbps
[UE 3 | RB 1] Throughput = 1.13637 Mbps
[UE 9 | RB 1] Throughput = 0.41866 Mbps
[UE 12 | RB 1] Throughput = 0.41866 Mbps
[UE 15 | RB 1] Throughput = 0.65790 Mbps
[UE 16 | RB 1] Throughput = 0.59809 Mbps
[UE 17 | RB 1] Throughput = 0.41866 Mbps
[UE 20 | RB 1] Throughput = 0.59809 Mbps
[UE 2 | RB 1] Throughput = 1.08888 Mbps
[UE 3 | RB 1] Throughput = 1.08888 Mbps
[UE 9 | RB 1] Throughput = 0.57309 Mbps
[UE 12 | RB 1] Throughput = 0.40116 Mbps
[UE 15 | RB 1] Throughput = 0.40116 Mbps
[UE 16 | RB 1] Throughput = 0.40116 Mbps
[UE 17 | RB 1] Throughput = 0.63040 Mbps
[UE 20 | RB 1] Throughput = 0.40116 Mbps
[UE 2 | RB 1] Throughput = 0.95822 Mbps
[UE 3 | RB 1] Throughput = 0.95822 Mbps
[UE 9 | RB 1] Throughput = 0.41922 Mbps
[UE 12 | RB 1] Throughput = 0.41922 Mbps
[UE 15 | RB 1] Throughput = 0.53900 Mbps
[UE 16 | RB 1] Throughput = 0.65877 Mbps
[UE 17 | RB 1] Throughput = 0.41922 Mbps
[UE 20 | RB 1] Throughput = 0.53900 Mbps
[UE 2 | RB 1] Throughput = 1.19539 Mbps
[UE 3 | RB 1] Throughput = 1.07585 Mbps
[UE 9 | RB 1] Throughput = 0.65746 Mbps
[UE 12 | RB 1] Throughput = 0.41839 Mbps
[UE 15 | RB 1] Throughput = 0.47816 Mbps
[UE 16 | RB 1] Throughput = 0.41839 Mbps
[UE 17 | RB 1] Throughput = 0.41839 Mbps
[UE 20 | RB 1] Throughput = 0.53792 Mbps
[UE 2 | RB 1] Throughput = 0.97109 Mbps
[UE 3 | RB 1] Throughput = 0.97109 Mbps
[UE 9 | RB 1] Throughput = 0.39986 Mbps
[UE 12 | RB 1] Throughput = 0.51411 Mbps
[UE 15 | RB 1] Throughput = 0.62835 Mbps
[UE 16 | RB 1] Throughput = 0.62835 Mbps
[UE 17 | RB 1] Throughput = 0.57123 Mbps
