[UE 7 | RBs:  1 ] Total Throughput = 0.23854 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35781 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23854 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35603 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23735 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23735 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23947 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23947 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35920 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23534 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35301 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23534 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.44928 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22464 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22464 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.11905 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23810 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23810 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32507 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32507 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32507 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32804 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32804 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21870 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22046 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22046 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22046 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23431 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35146 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35146 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.33111 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.22074 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22074 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32027 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21351 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.42702 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22209 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.33314 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22209 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32668 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32668 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32668 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21637 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21637 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21637 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32683 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.43577 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32683 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32874 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21916 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21916 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32493 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21662 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.43325 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21960 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32941 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21960 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35461 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35461 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35461 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.33044 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.33044 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33044 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32800 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32800 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21866 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.11968 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.11968 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23936 Mbps
