Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,1,1,0.02257
4095,1,1,0.30730
5185,1,1,5.93781
5285,1,1,11.97789
5395,1,1,1.08952
5504,1,1,1.09249
6591,1,1,0.06617
6694,1,1,11.81603
6795,1,1,1.31145
6896,1,1,0.11890
7936,1,1,0.04608
8044,1,1,11.74326
8145,1,1,0.71567
8286,1,1,0.93330
8395,1,1,1.65682
8495,1,1,0.71614
9586,1,1,0.04393
9695,1,1,11.36060
9816,1,1,0.59414
12927,1,1,0.02311
17025,1,1,0.47086
17125,1,1,58.29421
20289,1,1,0.04924
21439,1,1,2.90644
21545,1,1,11.99509
21656,1,1,0.65297
21756,1,1,1.30918
22848,1,1,0.10977
22956,1,1,10.56663
23096,1,1,0.93849
26176,1,1,0.01946
26276,1,1,33.16881
26416,1,1,1.02744
26516,1,1,1.43753
27584,1,1,0.04488
27686,1,1,12.28583
30849,1,1,0.00000
30996,1,1,23.70112
31106,1,1,1.31379
31206,1,1,0.59636
36417,1,1,0.02760
41667,1,1,1.05223
41776,1,1,51.84138
41877,1,1,0.71819
41977,1,1,0.71345
42087,1,1,1.31288
42197,1,1,1.30651
46338,1,1,0.03184
46447,1,1,40.45093
46557,1,1,1.20060
46697,1,1,0.51261
47745,1,1,0.05717
47848,1,1,11.89664
47987,1,1,0.85880
48097,1,1,1.64278
48217,1,1,0.59702
49281,1,1,0.05631
49387,1,1,11.34763
49487,1,1,1.19835
50563,1,1,0.05570
50678,1,1,10.41969
50787,1,1,1.31524
53954,1,1,0.02270
54057,1,1,33.41989
54167,1,1,1.09421
54278,1,1,0.43075
54387,1,1,1.54049
54487,1,1,1.19411
54597,1,1,1.08957
59778,1,1,0.00000
63875,1,1,1.36303
63978,1,1,42.74441
69122,1,1,0.01165
69228,1,1,52.77695
69329,1,1,0.59152
74435,1,1,0.00704
74569,1,1,41.29861
77635,1,1,0.01564
77739,1,1,32.62873
77848,1,1,1.09022
79030,1,1,0.10140
79140,1,1,10.75182
80195,1,1,0.06813
80299,1,1,12.00351
80419,1,1,0.59609
81476,1,1,0.06806
82627,1,1,1.09314
82729,1,1,11.87070
85829,1,1,0.00773
85950,1,1,27.88569
87107,1,1,0.13458
