Time_ms,UE_ID,RB_ID,Throughput_Mbps
123,1,1,1.20121
223,1,1,1.31754
333,1,1,1.09003
443,1,1,1.08901
553,1,1,0.87194
663,1,1,0.98068
763,1,1,1.31810
863,1,1,0.71844
973,1,1,1.20254
1073,1,1,0.83582
1183,1,1,1.20214
1283,1,1,1.19418
1383,1,1,0.83808
1483,1,1,1.43524
1593,1,1,0.87383
1703,1,1,1.08825
1813,1,1,0.98405
1913,1,1,1.31595
2013,1,1,0.59890
2123,1,1,1.52632
2223,1,1,0.71619
2333,1,1,1.20246
2433,1,1,1.31627
2543,1,1,0.87199
2643,1,1,0.83768
2753,1,1,1.20264
2853,1,1,0.83387
2963,1,1,1.31554
3084,1,1,0.69236
4088,1,1,0.02386
4193,1,1,11.45030
4303,1,1,1.30243
4413,1,1,0.76342
4513,1,1,1.31544
4623,1,1,0.65645
4723,1,1,1.55140
4823,1,1,0.95796
4933,1,1,1.09195
5033,1,1,1.07621
5143,1,1,1.09039
5253,1,1,1.09544
5353,1,1,1.07503
5453,1,1,1.07516
5563,1,1,0.21828
5673,1,1,1.74576
5773,1,1,1.19424
5883,1,1,1.09190
5993,1,1,1.09198
6093,1,1,1.19529
6203,1,1,0.65337
6303,1,1,1.43608
6403,1,1,1.31704
6513,1,1,0.54546
6623,1,1,1.30708
6733,1,1,1.08910
6843,1,1,0.65496
6953,1,1,1.63375
7053,1,1,0.71743
7164,1,1,1.30466
7273,1,1,0.87324
7383,1,1,1.30710
7493,1,1,1.08977
7603,1,1,0.65451
7703,1,1,1.31813
7803,1,1,0.83725
7913,1,1,1.09170
8013,1,1,1.43782
8113,1,1,0.59863
8223,1,1,1.30546
8333,1,1,0.98064
8433,1,1,1.31817
8533,1,1,0.59883
8644,1,1,1.08810
8753,1,1,1.20112
8863,1,1,1.30623
8973,1,1,0.65627
9073,1,1,1.43289
9173,1,1,0.71881
9283,1,1,1.19796
9393,1,1,1.30717
9503,1,1,0.76446
9604,1,1,1.31296
9713,1,1,1.20099
9813,1,1,0.83847
9913,1,1,0.71899
10013,1,1,1.43746
10123,1,1,1.30849
10234,1,1,0.65225
10344,1,1,1.19926
10453,1,1,1.20153
10553,1,1,0.71811
10663,1,1,1.30790
10763,1,1,1.31708
10873,1,1,0.76303
10974,1,1,1.07664
11074,1,1,1.43782
11184,1,1,0.65345
11293,1,1,1.31305
11393,1,1,0.83565
11494,1,1,1.07583
11603,1,1,1.20292
11713,1,1,1.30763
11823,1,1,1.09166
11924,1,1,0.59647
12024,1,1,1.19777
12133,1,1,1.20135
12234,1,1,0.71625
12344,1,1,1.41828
12444,1,1,1.19295
12553,1,1,0.98598
12663,1,1,0.97984
12773,1,1,1.09232
12873,1,1,1.19635
12973,1,1,0.71830
13074,1,1,1.43574
13183,1,1,1.20041
13284,1,1,0.59880
13393,1,1,1.09235
13504,1,1,1.30202
13604,1,1,0.71353
