Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,2,1,1.07203
110,2,1,1.09239
210,2,1,0.83847
310,2,1,1.31798
420,2,1,0.76148
530,2,1,0.87241
640,2,1,1.41777
740,2,1,1.43211
850,2,1,0.76343
950,2,1,1.07727
1060,2,1,1.09346
1160,2,1,1.19515
1270,2,1,0.98324
1370,2,1,0.83753
1470,2,1,1.31790
1570,2,1,1.07566
1680,2,1,1.09140
1790,2,1,1.08932
1900,2,1,1.09301
2010,2,1,0.76059
2110,2,1,1.31620
2211,2,1,1.31136
2320,2,1,0.65931
2420,2,1,1.43422
2520,2,1,0.71821
2620,2,1,1.31745
2730,2,1,1.09047
2830,2,1,1.19664
2940,2,1,0.87357
3040,2,1,0.83819
3140,2,1,1.31755
3250,2,1,1.19876
3360,2,1,0.65563
3460,2,1,1.43534
3560,2,1,0.71811
3670,2,1,1.41678
3780,2,1,1.19804
3880,2,1,0.83864
3980,2,1,1.19826
4080,2,1,0.71718
4190,2,1,1.09175
4291,2,1,1.43232
4400,2,1,0.98157
4510,2,1,1.19976
4611,2,1,0.71786
4720,2,1,1.20117
4821,2,1,1.19498
4930,2,1,0.98424
5030,2,1,0.95673
5130,2,1,1.07762
5240,2,1,1.08872
5341,2,1,0.83783
5450,2,1,1.20317
5550,2,1,0.71738
5660,2,1,1.30738
5760,2,1,1.43758
5860,2,1,0.71900
5970,2,1,1.52885
6071,2,1,0.71360
6180,2,1,1.20415
6291,2,1,0.65312
6401,2,1,1.30754
6510,2,1,1.30819
6620,2,1,0.65617
6721,2,1,1.43103
6821,2,1,0.71867
6930,2,1,1.30971
7030,2,1,0.83865
7130,2,1,1.31811
7240,2,1,1.19841
7340,2,1,0.83864
7441,2,1,1.31621
7551,2,1,0.76249
7660,2,1,1.09242
7760,2,1,1.43689
7861,2,1,0.71781
7971,2,1,1.30568
8080,2,1,0.65520
8181,2,1,1.31566
8290,2,1,0.65458
8401,2,1,1.74145
8510,2,1,0.54582
8611,2,1,1.31294
8720,2,1,1.31267
8830,2,1,1.09143
