Time_ms,UE_ID,RB_ID,Throughput_Mbps
114,3,1,1.19699
114,5,1,0.35910
114,6,1,0.59849
114,8,1,0.47880
114,11,1,1.43639
114,12,1,1.55608
114,14,1,1.07729
114,17,1,0.59849
114,19,1,0.95759
114,20,1,0.59849
224,3,1,0.21841
224,5,1,0.43683
224,6,1,0.98286
224,8,1,0.76445
224,11,1,1.09207
224,12,1,0.98286
224,14,1,0.54603
224,17,1,1.20127
224,19,1,0.87365
224,20,1,0.76445
324,3,1,1.31472
324,5,1,0.83664
324,6,1,0.59760
324,8,1,0.83664
324,11,1,0.71712
324,12,1,0.47808
324,14,1,0.47808
324,17,1,0.95616
324,19,1,0.95616
324,20,1,0.95616
424,3,1,1.55128
424,5,1,0.35799
424,6,1,0.47732
424,8,1,0.47732
424,11,1,1.07396
424,12,1,1.07396
424,14,1,0.59665
424,17,1,0.47732
424,19,1,0.35799
424,20,1,0.47732
534,3,1,1.31314
534,5,1,0.43771
534,6,1,0.87542
534,8,1,0.43771
534,11,1,0.98485
534,12,1,0.98485
534,14,1,0.87542
534,17,1,0.87542
534,19,1,1.31314
534,20,1,0.43771
645,3,1,0.64747
645,5,1,0.75539
645,6,1,0.97121
645,8,1,0.75539
645,11,1,0.97121
645,12,1,0.97121
645,14,1,0.97121
645,17,1,0.75539
645,19,1,1.18704
645,20,1,0.75539
754,3,1,1.65201
754,5,1,0.77094
754,6,1,0.55067
754,8,1,0.55067
754,11,1,0.99121
754,12,1,0.99121
754,14,1,0.55067
754,17,1,0.88107
754,19,1,1.21147
754,20,1,0.88107
854,3,1,0.00000
854,5,1,1.19440
854,6,1,1.07496
854,8,1,0.83608
854,11,1,0.47776
854,12,1,0.95552
854,14,1,1.07496
854,17,1,1.07496
854,19,1,1.07496
854,20,1,0.95552
965,3,1,1.95006
965,5,1,0.43335
965,6,1,0.43335
965,8,1,0.86669
965,11,1,1.51672
965,12,1,1.51672
965,14,1,0.43335
965,17,1,1.40838
965,19,1,1.40838
965,20,1,0.86669
1074,3,1,1.20699
1074,5,1,0.87781
1074,6,1,0.98754
1074,8,1,0.87781
1074,11,1,0.87781
1074,12,1,0.98754
1074,14,1,0.98754
1074,17,1,0.98754
1074,19,1,0.98754
1074,20,1,0.98754
1174,3,1,0.59876
1174,5,1,0.95802
1174,6,1,0.47901
1174,8,1,0.83827
1174,11,1,1.07777
1174,12,1,1.79629
1174,14,1,0.95802
1174,17,1,1.07777
1174,19,1,1.07777
1174,20,1,1.19753
1284,3,1,1.41507
1284,5,1,0.87081
1284,6,1,0.76196
1284,8,1,0.43541
1284,11,1,0.97966
1284,12,1,1.41507
1284,14,1,0.76196
1284,17,1,1.41507
1284,19,1,1.41507
1284,20,1,0.97966
1394,3,1,1.09273
1394,5,1,0.87419
1394,6,1,0.76491
1394,8,1,0.87419
1394,11,1,1.63910
1394,12,1,1.09273
1394,14,1,1.09273
1394,17,1,0.98346
1394,19,1,0.98346
1394,20,1,1.42055
1494,3,1,1.07656
1494,5,1,0.83732
1494,6,1,0.47847
1494,8,1,0.71771
1494,11,1,0.59809
1494,12,1,1.43541
1494,14,1,0.59809
1494,17,1,1.07656
1494,19,1,0.47847
1494,20,1,1.55503
1603,3,1,1.09413
1603,5,1,0.43765
1603,6,1,1.09413
1603,8,1,0.65648
1603,11,1,1.09413
1603,12,1,1.64119
1603,14,1,1.09413
1603,17,1,0.43765
1603,19,1,1.64119
1603,20,1,1.09413
1704,3,1,0.83331
1704,5,1,0.47617
1704,6,1,1.30948
1704,8,1,0.35713
1704,11,1,1.19044
1704,12,1,1.19044
1704,14,1,1.30948
1704,17,1,1.07139
1704,19,1,1.19044
1704,20,1,1.54757
1814,3,1,1.20139
1814,5,1,0.76452
1814,6,1,0.87374
1814,8,1,0.54609
1814,11,1,1.09218
1814,12,1,0.10922
1814,14,1,1.09218
1814,17,1,1.09218
1814,19,1,0.54609
1814,20,1,1.41983
1914,3,1,0.83797
1914,5,1,0.95769
1914,6,1,0.83797
1914,8,1,1.07740
1914,11,1,1.31682
1914,12,1,1.07740
1914,14,1,0.59855
1914,17,1,0.95769
1914,19,1,1.19711
1914,20,1,0.59855
2024,3,1,1.30989
2024,5,1,0.87326
2024,6,1,0.54579
2024,8,1,0.43663
2024,11,1,1.52821
2024,12,1,1.30989
2024,14,1,0.87326
2024,17,1,0.76410
2024,19,1,1.09158
2024,20,1,0.98242
2134,3,1,0.87138
2134,5,1,1.41599
2134,6,1,0.54461
2134,8,1,0.54461
2134,11,1,1.19815
2134,12,1,1.63384
2134,14,1,0.76246
2134,17,1,1.08923
2134,19,1,1.19815
2134,20,1,0.98030
2234,3,1,0.23908
2234,5,1,1.07585
2234,6,1,1.19539
2234,8,1,1.07585
2234,11,1,0.59769
2234,12,1,0.71723
2234,14,1,1.19539
2234,17,1,0.59769
2234,19,1,1.19539
2234,20,1,1.19539
2334,3,1,1.67520
2334,5,1,0.95726
2334,6,1,0.59828
2334,8,1,0.47863
2334,11,1,1.19657
2334,12,1,0.83760
2334,14,1,0.59828
2334,17,1,0.59828
2334,19,1,1.19657
2334,20,1,1.19657
2434,3,1,0.95689
2434,5,1,0.59806
2434,6,1,0.59806
2434,8,1,1.07650
2434,11,1,1.31573
2434,12,1,1.31573
2434,14,1,1.31573
2434,17,1,0.59806
2434,19,1,1.19612
2434,20,1,1.31573
2544,3,1,1.31171
2544,5,1,0.98378
2544,6,1,1.09309
2544,8,1,0.98378
2544,11,1,0.65585
2544,12,1,1.42102
2544,14,1,1.31171
2544,17,1,1.09309
2544,19,1,1.09309
2544,20,1,1.31171
2644,3,1,1.43746
2644,5,1,1.07810
2644,6,1,0.71873
2644,8,1,0.47915
2644,11,1,1.31767
2644,12,1,0.47915
2644,14,1,0.59894
2644,17,1,0.59894
2644,19,1,2.03640
2644,20,1,1.55725
2754,3,1,1.19699
2754,5,1,0.97935
2754,6,1,0.97935
2754,8,1,0.97935
2754,11,1,1.84989
2754,12,1,1.08817
2754,14,1,1.30580
2754,17,1,1.08817
2754,19,1,1.19699
2754,20,1,0.54408
2864,3,1,0.21768
2864,5,1,0.97956
2864,6,1,0.65304
2864,8,1,0.54420
2864,11,1,0.65304
2864,12,1,0.32652
2864,14,1,0.65304
2864,17,1,0.65304
2864,19,1,1.30607
2864,20,1,1.08840
2973,3,1,1.86470
2973,5,1,0.43875
2973,6,1,1.09688
2973,8,1,0.43875
2973,11,1,1.86470
2973,12,1,1.20657
2973,14,1,1.20657
2973,17,1,1.09688
2973,19,1,1.20657
2973,20,1,1.09688
3073,3,1,0.95854
3073,5,1,0.59909
3073,6,1,0.71890
3073,8,1,0.59909
3073,11,1,0.71890
3073,12,1,1.43781
3073,14,1,1.43781
3073,17,1,0.59909
3073,19,1,1.31799
3073,20,1,0.95854
3174,3,1,0.35663
3174,5,1,0.47550
3174,6,1,1.42651
3174,8,1,1.66426
3174,11,1,1.42651
3174,12,1,1.54539
3174,14,1,0.71326
3174,17,1,1.18876
3174,19,1,1.42651
3174,20,1,1.54539
3284,3,1,1.41364
3284,5,1,0.97868
3284,6,1,0.54371
3284,8,1,1.08742
3284,11,1,1.84861
3284,12,1,0.97868
3284,14,1,1.19616
3284,17,1,1.19616
3284,19,1,0.65245
3284,20,1,1.19616
3394,3,1,1.53564
3394,5,1,0.65813
3394,6,1,0.65813
3394,8,1,1.09688
3394,11,1,1.86470
3394,12,1,1.09688
3394,14,1,1.20657
3394,17,1,1.31626
3394,19,1,1.20657
3394,20,1,0.65813
3494,3,1,0.95324
3494,5,1,1.19155
3494,6,1,0.35746
3494,8,1,1.31070
3494,11,1,1.42986
3494,12,1,1.19155
3494,14,1,1.31070
3494,17,1,0.71493
3494,19,1,1.31070
3494,20,1,1.78732
3603,3,1,0.43880
3603,5,1,1.09700
3603,6,1,0.32910
3603,8,1,1.09700
3603,11,1,2.08431
3603,12,1,1.75521
3603,14,1,0.76790
3603,17,1,1.20670
3603,19,1,1.42611
3603,20,1,1.53581
3705,3,1,1.30419
3705,5,1,0.59282
3705,6,1,0.71138
3705,8,1,1.18563
3705,11,1,1.54132
3705,12,1,0.23713
3705,14,1,1.30419
3705,17,1,0.71138
3705,19,1,2.01557
3705,20,1,1.30419
3814,3,1,1.42552
3814,5,1,0.54828
3814,6,1,1.20621
3814,8,1,0.54828
3814,11,1,0.54828
3814,12,1,1.09655
3814,14,1,0.76759
3814,17,1,1.20621
3814,19,1,1.42552
3814,20,1,1.31586
3924,3,1,0.00000
3924,5,1,1.08721
3924,6,1,1.19593
3924,8,1,1.08721
3924,11,1,1.41337
3924,12,1,1.41337
3924,14,1,1.30465
3924,17,1,0.76105
3924,19,1,1.41337
3924,20,1,1.19593
4034,3,1,2.07234
4034,5,1,0.54535
4034,6,1,0.65442
4034,8,1,1.09070
4034,11,1,0.65442
4034,12,1,0.76349
4034,14,1,1.41792
4034,17,1,1.19977
4034,19,1,1.09070
4034,20,1,1.30884
4144,3,1,1.19810
4144,5,1,1.08918
4144,6,1,0.65351
4144,8,1,0.54459
4144,11,1,1.08918
4144,12,1,0.87134
4144,14,1,0.65351
4144,17,1,1.19810
4144,19,1,0.98026
4144,20,1,1.19810
4254,3,1,0.65380
4254,5,1,1.08966
4254,6,1,0.54483
4254,8,1,1.08966
4254,11,1,1.41656
4254,12,1,1.41656
4254,14,1,0.65380
4254,17,1,1.30760
4254,19,1,1.08966
4254,20,1,1.30760
4354,3,1,1.19787
4354,5,1,1.31766
4354,6,1,1.43745
4354,8,1,1.43745
4354,11,1,1.19787
4354,12,1,0.83851
4354,14,1,0.83851
4354,17,1,0.59894
4354,19,1,0.83851
4354,20,1,1.55723
4454,3,1,1.19653
4454,5,1,1.19653
4454,6,1,0.71792
4454,8,1,2.03411
4454,11,1,0.47861
4454,12,1,1.19653
4454,14,1,1.55549
4454,17,1,1.07688
4454,19,1,0.83757
4454,20,1,2.27341
4564,3,1,1.30988
4564,5,1,0.54578
4564,6,1,1.20073
4564,8,1,0.65494
4564,11,1,0.98241
4564,12,1,0.76410
4564,14,1,0.65494
4564,17,1,0.98241
4564,19,1,1.63735
4564,20,1,1.09157
4664,3,1,0.00000
4664,5,1,1.31598
4664,6,1,1.55524
4664,8,1,1.31598
4664,11,1,0.83744
4664,12,1,1.43561
4664,14,1,1.43561
4664,17,1,0.71781
4664,19,1,0.95707
4664,20,1,1.07671
4774,3,1,1.85658
4774,5,1,0.65526
4774,6,1,1.09211
4774,8,1,1.31053
4774,11,1,1.52895
4774,12,1,1.31053
4774,14,1,1.41974
4774,17,1,0.76447
4774,19,1,1.41974
4774,20,1,1.96579
4874,3,1,0.00000
4874,5,1,1.31546
4874,6,1,1.07629
4874,8,1,1.07629
4874,11,1,0.83711
4874,12,1,0.83711
4874,14,1,0.71753
4874,17,1,1.43505
4874,19,1,1.31546
4874,20,1,1.55464
4984,3,1,2.18596
4984,5,1,0.98368
4984,6,1,0.65579
4984,8,1,0.87439
4984,11,1,0.76509
4984,12,1,1.09298
4984,14,1,1.42088
4984,17,1,0.76509
4984,19,1,0.32789
4984,20,1,1.42088
5084,3,1,0.00000
5084,5,1,1.07112
5084,6,1,0.71408
5084,8,1,1.42815
5084,11,1,2.38026
5084,12,1,0.59506
5084,14,1,0.71408
5084,17,1,1.19013
5084,19,1,0.83309
5084,20,1,1.42815
5194,3,1,2.08351
5194,5,1,1.20624
5194,6,1,1.42556
5194,8,1,0.54829
5194,11,1,0.65795
5194,12,1,1.53522
5194,14,1,1.20624
5194,17,1,0.98692
5194,19,1,1.31590
5194,20,1,0.87727
5294,3,1,0.00000
5294,5,1,0.71529
5294,6,1,0.71529
5294,8,1,0.71529
5294,11,1,0.83451
5294,12,1,1.19215
5294,14,1,1.19215
5294,17,1,0.83451
5294,19,1,1.54980
5294,20,1,1.90744
5404,3,1,1.63344
5404,5,1,1.19786
5404,6,1,0.76227
5404,8,1,1.19786
5404,11,1,1.19786
5404,12,1,1.52454
5404,14,1,0.76227
5404,17,1,1.30675
5404,19,1,0.76227
5404,20,1,1.74234
5514,3,1,1.41799
5514,5,1,0.65446
5514,6,1,1.30892
5514,8,1,0.65446
5514,11,1,1.30892
5514,12,1,0.00000
5514,14,1,0.65446
5514,17,1,1.30892
5514,19,1,1.41799
5514,20,1,0.87261
5624,3,1,0.97885
5624,5,1,0.65256
5624,6,1,0.76132
5624,8,1,1.08761
5624,11,1,1.08761
5624,12,1,0.00000
5624,14,1,1.52265
5624,17,1,0.76132
5624,19,1,0.43504
5624,20,1,1.52265
5734,3,1,0.43600
5734,5,1,1.19899
5734,6,1,1.30799
5734,8,1,0.98099
5734,11,1,0.76299
5734,12,1,2.17998
5734,14,1,1.52599
5734,17,1,0.65399
5734,19,1,1.41699
5734,20,1,0.98099
5844,3,1,1.74460
5844,5,1,0.65423
5844,6,1,1.41749
5844,8,1,0.76326
5844,11,1,0.98134
5844,12,1,1.63556
5844,14,1,0.87230
5844,17,1,1.30845
5844,19,1,0.54519
5844,20,1,1.74460
5954,3,1,0.00000
5954,5,1,1.19754
5954,6,1,1.30641
5954,8,1,1.41527
5954,11,1,1.08867
5954,12,1,0.76207
5954,14,1,1.30641
5954,17,1,1.52414
5954,19,1,1.30641
5954,20,1,1.08867
6055,3,1,2.26913
6055,5,1,0.83600
6055,6,1,0.83600
6055,8,1,1.31371
6055,11,1,1.55256
6055,12,1,0.83600
6055,14,1,1.67199
6055,17,1,0.71657
6055,19,1,1.55256
6055,20,1,0.23886
6164,3,1,1.09353
6164,5,1,0.65612
6164,6,1,1.53094
6164,8,1,1.42159
6164,11,1,0.87482
6164,12,1,1.09353
6164,14,1,1.53094
6164,17,1,0.87482
6164,19,1,1.09353
6164,20,1,1.31224
6264,3,1,0.47906
6264,5,1,1.55695
6264,6,1,0.83836
6264,8,1,1.19766
6264,11,1,1.19766
6264,12,1,1.19766
6264,14,1,0.83836
6264,17,1,1.55695
6264,19,1,1.07789
6264,20,1,1.31742
6374,3,1,1.09286
6374,5,1,1.31143
6374,6,1,1.42072
6374,8,1,1.63929
6374,11,1,0.43714
6374,12,1,1.09286
6374,14,1,1.53001
6374,17,1,1.53001
6374,19,1,0.43714
6374,20,1,1.09286
6484,3,1,1.30099
6484,5,1,0.65050
6484,6,1,0.75891
6484,8,1,1.51783
6484,11,1,1.08416
6484,12,1,0.75891
6484,14,1,0.75891
6484,17,1,1.51783
6484,19,1,1.51783
6484,20,1,1.08416
6594,3,1,1.09485
6594,5,1,1.42330
6594,6,1,1.53279
6594,8,1,1.97073
6594,11,1,1.42330
6594,12,1,1.53279
6594,14,1,1.42330
6594,17,1,1.42330
6594,19,1,0.76639
6594,20,1,1.09485
6694,3,1,1.07563
6694,5,1,0.71709
6694,6,1,1.67321
6694,8,1,1.55369
6694,11,1,0.59757
6694,12,1,0.83660
6694,14,1,0.83660
6694,17,1,1.67321
6694,19,1,1.07563
6694,20,1,0.95612
6804,3,1,0.76590
6804,5,1,0.76590
6804,6,1,0.76590
6804,8,1,1.53181
6804,11,1,1.64122
6804,12,1,1.42239
6804,14,1,1.42239
6804,17,1,1.53181
6804,19,1,1.75064
6804,20,1,1.20356
6904,3,1,1.43555
6904,5,1,0.83741
6904,6,1,1.55518
6904,8,1,1.67481
6904,11,1,1.43555
6904,12,1,1.31592
6904,14,1,0.83741
6904,17,1,1.55518
6904,19,1,1.31592
6904,20,1,0.35889
7004,3,1,1.19539
7004,5,1,1.43447
7004,6,1,0.83677
7004,8,1,1.55400
7004,11,1,0.59769
7004,12,1,0.83677
7004,14,1,1.67354
7004,17,1,1.67354
7004,19,1,0.95631
7004,20,1,1.55400
7104,3,1,1.31673
7104,5,1,1.43643
7104,6,1,0.83792
7104,8,1,0.95762
7104,11,1,1.19702
7104,12,1,0.59851
7104,14,1,0.83792
7104,17,1,0.83792
7104,19,1,0.59851
7104,20,1,1.67583
7204,3,1,0.23955
7204,5,1,0.83843
7204,6,1,0.95820
7204,8,1,0.83843
7204,11,1,0.83843
7204,12,1,0.83843
7204,14,1,1.67685
7204,17,1,0.95820
7204,19,1,0.59888
7204,20,1,0.35933
7314,3,1,1.20009
7314,5,1,1.30919
7314,6,1,1.41829
7314,8,1,1.41829
7314,11,1,0.76369
7314,12,1,1.52739
7314,14,1,1.41829
7314,17,1,1.30919
7314,19,1,1.41829
7314,20,1,1.52739
7415,3,1,1.30324
7415,5,1,1.65867
7415,6,1,1.54019
7415,8,1,1.54019
7415,11,1,1.54019
7415,12,1,1.06629
7415,14,1,0.82933
7415,17,1,0.94781
7415,19,1,1.30324
7415,20,1,0.82933
7524,3,1,1.32218
7524,5,1,0.66109
7524,6,1,0.77127
7524,8,1,1.54254
7524,11,1,0.99163
7524,12,1,0.44073
7524,14,1,1.54254
7524,17,1,1.43236
7524,19,1,0.77127
7524,20,1,0.77127
7634,3,1,0.87026
