[UE 3 | RB 1] Throughput = 0.83868 Mbps
[UE 8 | RB 1] Throughput = 0.83868 Mbps
[UE 6 | RB 1] Throughput = 0.45659 Mbps
[UE 7 | RB 1] Throughput = 0.51367 Mbps
[UE 10 | RB 1] Throughput = 0.85611 Mbps
[UE 3 | RB 1] Throughput = 0.62639 Mbps
[UE 8 | RB 1] Throughput = 0.68333 Mbps
[UE 6 | RB 1] Throughput = 0.74307 Mbps
[UE 7 | RB 1] Throughput = 0.74307 Mbps
[UE 10 | RB 1] Throughput = 0.45727 Mbps
[UE 3 | RB 1] Throughput = 0.68797 Mbps
[UE 8 | RB 1] Throughput = 1.08929 Mbps
[UE 6 | RB 1] Throughput = 0.59856 Mbps
[UE 7 | RB 1] Throughput = 0.59856 Mbps
[UE 10 | RB 1] Throughput = 0.65842 Mbps
[UE 6 | RB 1] Throughput = 0.65896 Mbps
[UE 7 | RB 1] Throughput = 0.71886 Mbps
[UE 10 | RB 1] Throughput = 0.65896 Mbps
[UE 3 | RB 1] Throughput = 0.81321 Mbps
[UE 8 | RB 1] Throughput = 0.43371 Mbps
[UE 6 | RB 1] Throughput = 0.51355 Mbps
[UE 7 | RB 1] Throughput = 0.62767 Mbps
[UE 10 | RB 1] Throughput = 0.62767 Mbps
[UE 3 | RB 1] Throughput = 0.84289 Mbps
[UE 8 | RB 1] Throughput = 0.84289 Mbps
[UE 6 | RB 1] Throughput = 0.65893 Mbps
[UE 7 | RB 1] Throughput = 0.53913 Mbps
[UE 10 | RB 1] Throughput = 0.71884 Mbps
[UE 6 | RB 1] Throughput = 0.79844 Mbps
[UE 7 | RB 1] Throughput = 0.68437 Mbps
[UE 10 | RB 1] Throughput = 0.57031 Mbps
[UE 6 | RB 1] Throughput = 0.80026 Mbps
[UE 7 | RB 1] Throughput = 0.85742 Mbps
[UE 10 | RB 1] Throughput = 0.91459 Mbps
[UE 6 | RB 1] Throughput = 0.59911 Mbps
[UE 7 | RB 1] Throughput = 0.65902 Mbps
[UE 10 | RB 1] Throughput = 0.89867 Mbps
[UE 6 | RB 1] Throughput = 1.01747 Mbps
[UE 7 | RB 1] Throughput = 0.89777 Mbps
[UE 10 | RB 1] Throughput = 0.65836 Mbps
[UE 6 | RB 1] Throughput = 0.83860 Mbps
[UE 7 | RB 1] Throughput = 1.01830 Mbps
[UE 10 | RB 1] Throughput = 1.01830 Mbps
[UE 6 | RB 1] Throughput = 1.03140 Mbps
[UE 7 | RB 1] Throughput = 0.91680 Mbps
[UE 10 | RB 1] Throughput = 0.91680 Mbps
[UE 6 | RB 1] Throughput = 0.77762 Mbps
[UE 7 | RB 1] Throughput = 0.89725 Mbps
[UE 10 | RB 1] Throughput = 0.95707 Mbps
[UE 6 | RB 1] Throughput = 1.02728 Mbps
[UE 7 | RB 1] Throughput = 0.91314 Mbps
[UE 10 | RB 1] Throughput = 0.97021 Mbps
[UE 6 | RB 1] Throughput = 1.25772 Mbps
[UE 7 | RB 1] Throughput = 1.13794 Mbps
