Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
116606adf744,rfsim5g-oai-cuup2,0.01%,6.379MiB,23.44GiB,0.03%,56.7MB,56.9MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,4.45%,1.086GiB,23.44GiB,4.63%,5.32TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.609MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,0.01%,6.379MiB,23.44GiB,0.03%,56.7MB,56.9MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,4.45%,1.086GiB,23.44GiB,4.63%,5.32TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.609MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,28.67%,6.418MiB,23.44GiB,0.03%,57.1MB,57.3MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,185.07%,1.085GiB,23.44GiB,4.63%,5.32TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.20%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.28%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,28.67%,6.418MiB,23.44GiB,0.03%,57.1MB,57.3MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,185.07%,1.085GiB,23.44GiB,4.63%,5.32TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.20%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.28%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.25%,6.383MiB,23.44GiB,0.03%,57.6MB,57.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,177.74%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.87%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.51%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.25%,6.383MiB,23.44GiB,0.03%,57.6MB,57.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,177.74%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.87%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.51%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.82%,6.383MiB,23.44GiB,0.03%,58MB,58.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,196.22%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.63%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,20.76%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.82%,6.383MiB,23.44GiB,0.03%,58MB,58.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,196.22%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.63%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,20.76%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.10%,6.383MiB,23.44GiB,0.03%,58.5MB,58.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,180.79%,1.087GiB,23.44GiB,4.64%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,12.24%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,17.46%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.10%,6.383MiB,23.44GiB,0.03%,58.5MB,58.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,180.79%,1.087GiB,23.44GiB,4.64%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,12.24%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,17.46%,8.578MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.58%,6.383MiB,23.44GiB,0.03%,58.9MB,59.1MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,168.65%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,25.42%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,16.70%,8.59MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.58%,6.383MiB,23.44GiB,0.03%,58.9MB,59.1MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,168.65%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,25.42%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,16.70%,8.59MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.18%,6.609MiB,23.44GiB,0.03%,59.3MB,59.5MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,166.67%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.52%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,29.17%,8.594MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.18%,6.609MiB,23.44GiB,0.03%,59.3MB,59.5MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,166.67%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.52%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,29.17%,8.594MiB,23.44GiB,0.04%,9.66GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,19.37%,6.398MiB,23.44GiB,0.03%,59.8MB,60MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,179.99%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
