Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,2,1,1.07045
0,3,1,0.95151
109,2,1,1.09836
109,3,1,1.09836
210,2,1,1.07676
210,3,1,1.07676
320,2,1,1.09005
320,3,1,1.09005
420,2,1,1.07700
420,3,1,1.07700
520,2,1,1.07639
520,3,1,1.07639
630,2,1,1.09053
630,3,1,1.09053
740,2,1,0.98046
740,3,1,0.98046
850,2,1,1.09153
850,3,1,1.09153
959,2,1,1.09109
959,3,1,1.09109
1026,1,1,11.74315
1026,5,1,11.74315
1026,4,1,11.74315
1060,2,1,1.07415
1060,3,1,1.07415
1170,2,1,1.08875
1170,3,1,1.08875
1270,2,1,1.07751
1270,3,1,1.07751
1380,2,1,0.98145
1380,3,1,1.09050
1490,2,1,1.09214
1490,3,1,0.98292
1590,2,1,1.07669
1590,3,1,1.07669
1690,2,1,1.07472
1690,3,1,1.07472
1790,2,1,1.07627
1790,3,1,1.07627
1900,2,1,1.09770
1900,3,1,1.09770
2010,2,1,1.08912
2010,3,1,1.08912
2076,1,1,0.02283
2076,5,1,0.02283
2076,4,1,0.02283
2119,2,1,0.98213
2119,3,1,0.98213
2177,1,1,11.45833
2177,5,1,11.45833
2177,4,1,11.45833
2220,2,1,1.07404
2220,3,1,1.07404
2287,1,1,1.42625
2287,5,1,1.53596
2287,4,1,1.42625
2330,2,1,1.08766
2330,3,1,1.08766
2417,1,1,0.82614
2417,5,1,0.73435
2417,4,1,0.82614
2440,2,1,1.09238
2440,3,1,1.09238
2527,1,1,1.42438
2527,5,1,1.42438
2527,4,1,1.42438
2540,2,1,1.07647
2540,3,1,1.07647
2628,1,1,0.83034
2628,5,1,0.83034
2628,4,1,0.83034
2650,2,1,1.09144
2650,3,1,1.09144
2750,2,1,1.07732
2750,3,1,1.07732
2757,1,1,1.01589
2757,5,1,1.10824
2757,4,1,1.01589
2859,2,1,0.98385
2859,3,1,0.98385
2866,1,1,1.32170
2866,5,1,1.21156
2866,4,1,1.32170
2960,2,1,1.07421
2960,3,1,1.07421
2967,1,1,1.07507
2967,5,1,1.07507
2967,4,1,1.07507
3060,2,1,1.07628
3060,3,1,1.07628
3076,1,1,1.09186
3076,5,1,1.09186
3076,4,1,1.09186
3170,2,1,1.09093
3170,3,1,1.09093
3270,2,1,1.07845
3270,3,1,1.07845
3380,2,1,1.09214
3380,3,1,1.09214
3480,2,1,1.07539
3480,3,1,1.07539
3580,2,1,1.07769
3580,3,1,1.07769
3690,2,1,0.98440
3690,3,1,0.98440
3799,2,1,1.09056
3799,3,1,1.09056
3900,2,1,1.07412
3900,3,1,1.07412
4010,2,1,1.08777
4010,3,1,1.08777
4120,2,1,1.09152
4120,3,1,1.09152
4125,1,1,0.02284
4125,5,1,0.03427
4125,4,1,0.02284
4227,1,1,11.84763
4227,5,1,11.84763
4227,4,1,11.84763
4230,2,1,1.09075
4230,3,1,1.09075
4336,1,1,1.09357
4336,5,1,0.98421
4336,4,1,1.09357
4340,2,1,0.97904
4340,3,1,0.97904
4440,2,1,1.07756
4440,3,1,1.07756
4540,2,1,1.07524
4540,3,1,1.07524
4650,2,1,1.09411
4650,3,1,1.09411
4750,2,1,1.07626
4750,3,1,1.07626
4850,2,1,1.07793
4850,3,1,1.07793
4960,2,1,1.09100
4960,3,1,1.09100
5070,2,1,0.97843
