Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,2,1,1.08660
109,2,1,1.09107
210,2,1,1.07446
320,2,1,1.08970
429,2,1,1.09380
540,2,1,0.97852
650,2,1,1.08834
759,2,1,1.09266
860,2,1,1.07704
969,2,1,1.09094
1070,2,1,1.07646
1179,2,1,0.98328
1279,2,1,1.07836
1389,2,1,1.08989
1490,2,1,1.07344
1590,2,1,1.07837
1700,2,1,1.09018
1809,2,1,1.09203
1910,2,1,0.95599
2020,2,1,1.08958
2130,2,1,1.08962
2230,2,1,1.07421
2340,2,1,1.09259
2449,2,1,1.09288
2550,2,1,1.07169
2660,2,1,0.98467
2760,2,1,1.07795
2870,2,1,1.09103
2970,2,1,1.07807
3070,2,1,1.07622
3180,2,1,1.08969
3280,2,1,1.07462
3390,2,1,0.98218
3500,2,1,1.09032
3610,2,1,1.08752
3720,2,1,1.09469
3830,2,1,1.08936
3939,2,1,0.98192
4040,2,1,1.07403
4150,2,1,1.08986
4250,2,1,1.07827
4359,2,1,1.09249
4460,2,1,1.07408
4570,2,1,1.09068
4680,2,1,0.97893
4790,2,1,1.09113
4890,2,1,1.07757
4990,2,1,1.07663
5100,2,1,1.08906
5210,2,1,1.08884
5320,2,1,1.09540
5420,2,1,0.95757
5530,2,1,1.08882
5630,2,1,1.07222
5740,2,1,1.09162
5850,2,1,1.09198
5960,2,1,1.09169
6060,2,1,1.07567
6170,2,1,0.97847
6280,2,1,1.09125
6380,2,1,1.07686
6490,2,1,1.09064
6600,2,1,1.09267
6700,2,1,1.07525
6810,2,1,0.97997
6910,2,1,1.07496
7010,2,1,1.07856
7120,2,1,1.09700
7220,2,1,1.07667
7330,2,1,1.09037
7430,2,1,1.07318
7540,2,1,0.98130
7640,2,1,1.07673
7740,2,1,1.07843
7850,2,1,1.09582
7950,2,1,1.07578
8060,2,1,1.09114
8160,2,1,1.07665
8260,2,1,1.07719
8370,2,1,1.09473
8470,2,1,0.95417
8570,2,1,1.07754
8670,2,1,1.07806
8780,2,1,1.08837
8880,2,1,1.07759
8990,2,1,1.09164
9100,2,1,1.09031
9200,2,1,1.07509
9310,2,1,0.98263
9420,2,1,1.08833
9530,2,1,1.08974
9640,2,1,1.08995
9750,2,1,1.08969
9860,2,1,0.97964
9960,2,1,1.07792
10070,2,1,1.09151
10180,2,1,1.08958
10290,2,1,1.08872
10400,2,1,1.08785
10500,2,1,0.95865
10610,2,1,1.09137
10720,2,1,1.08866
10830,2,1,1.09256
10930,2,1,1.07739
11030,2,1,1.07668
11140,2,1,1.09000
11240,2,1,0.95665
11350,2,1,1.09097
11460,2,1,1.08886
11570,2,1,1.08878
11670,2,1,1.07789
11770,2,1,1.07804
11880,2,1,0.98225
11980,2,1,1.07734
12080,2,1,1.07700
12181,2,1,1.07686
12290,2,1,1.09441
12390,2,1,1.07606
12500,2,1,1.09115
12600,2,1,1.07683
12710,2,1,1.08959
12820,2,1,0.98349
12920,2,1,1.07577
13030,2,1,1.08839
13130,2,1,1.07786
13231,2,1,1.07519
13341,2,1,1.09164
13450,2,1,0.98083
13560,2,1,1.09092
13661,2,1,1.07677
13761,2,1,1.07801
13871,2,1,1.08934
13980,2,1,1.09509
14081,2,1,1.07185
14191,2,1,0.98071
14300,2,1,1.09181
14410,2,1,1.08987
14511,2,1,1.07655
14620,2,1,1.09064
14730,2,1,1.09199
14830,2,1,1.07683
14930,2,1,0.95706
15040,2,1,1.09209
15140,2,1,1.07715
15240,2,1,1.07749
15350,2,1,1.08959
15460,2,1,1.08895
15570,2,1,1.09300
15670,2,1,0.95646
15770,2,1,1.07851
15873,2,1,1.04735
15981,2,1,1.11829
16090,2,1,1.09202
16190,2,1,1.07689
16290,2,1,1.07750
16400,2,1,1.08958
16510,2,1,0.98381
16610,2,1,1.07658
16711,2,1,1.07404
16821,2,1,1.09092
16930,2,1,1.09180
17030,2,1,1.07713
17131,2,1,1.07690
17240,2,1,0.98270
17350,2,1,1.09033
17451,2,1,1.07627
17560,2,1,1.09650
17660,2,1,1.07272
17761,2,1,1.07571
17870,2,1,1.09210
17980,2,1,0.98050
18081,2,1,1.07413
18191,2,1,1.08985
18301,2,1,1.09109
18410,2,1,1.09229
18510,2,1,1.07671
18611,2,1,1.07753
18720,2,1,0.98292
18820,2,1,1.07770
18921,2,1,1.07487
19031,2,1,1.09022
19131,2,1,1.07745
19240,2,1,1.09230
19341,2,1,1.07706
19441,2,1,1.07686
19541,2,1,1.07644
19651,2,1,0.98350
19760,2,1,1.09055
19870,2,1,1.08920
19971,2,1,1.07732
20071,2,1,1.07700
20181,2,1,1.09067
20281,2,1,1.07575
20391,2,1,0.98383
20500,2,1,1.09000
20610,2,1,1.09127
20711,2,1,1.07184
20811,2,1,1.07809
20921,2,1,1.09364
21031,2,1,0.97898
21131,2,1,1.07729
21241,2,1,1.09054
21341,2,1,1.07768
21451,2,1,1.09087
21561,2,1,1.09048
21661,2,1,1.07834
21761,2,1,0.95701
21871,2,1,1.08655
21971,2,1,1.07830
22081,2,1,1.08934
22191,2,1,1.08967
22301,2,1,1.09060
22401,2,1,1.07604
22511,2,1,0.98504
22611,2,1,1.07588
22721,2,1,1.08994
22821,2,1,1.07825
22921,2,1,1.07779
23031,2,1,1.09392
23131,2,1,1.07764
23241,2,1,0.98066
23342,2,1,1.06725
23451,2,1,1.09509
23561,2,1,1.09276
23661,2,1,1.07655
23771,2,1,1.08849
23881,2,1,1.09250
23981,2,1,0.95717
24081,2,1,1.07661
24191,2,1,1.09232
24301,2,1,1.08950
24411,2,1,1.08794
24511,2,1,1.07561
24621,2,1,1.09195
24721,2,1,0.95823
24831,2,1,1.09012
24941,2,1,1.09232
25041,2,1,1.07797
25151,2,1,1.08948
25251,2,1,1.07760
25351,2,1,1.07601
25451,2,1,1.07783
25551,2,1,0.95841
25661,2,1,1.09307
25771,2,1,1.08737
25881,2,1,1.09326
25981,2,1,1.07307
26091,2,1,1.08986
26201,2,1,0.98379
26301,2,1,1.07265
26401,2,1,1.07851
26511,2,1,1.09122
26621,2,1,1.09158
26721,2,1,1.07613
26831,2,1,1.08765
26941,2,1,0.98209
27051,2,1,1.09448
27151,2,1,1.07005
27261,2,1,1.09171
27371,2,1,1.08888
27471,2,1,1.07577
27581,2,1,0.98420
27691,2,1,1.09251
27801,2,1,1.09083
27901,2,1,1.07406
28001,2,1,1.07840
28101,2,1,1.07840
28201,2,1,1.07767
28311,2,1,1.08986
28421,2,1,0.98345
28531,2,1,1.09063
28631,2,1,1.07622
28731,2,1,1.07708
28831,2,1,1.07730
28931,2,1,1.07601
29041,2,1,1.09504
29141,2,1,1.07831
29241,2,1,0.95594
29351,2,1,1.08976
29451,2,1,1.07749
29551,2,1,1.07580
29661,2,1,1.09218
29762,2,1,1.07470
29871,2,1,1.09618
29971,2,1,1.07764
30071,2,1,0.95594
30181,2,1,1.08965
30282,2,1,1.07529
30391,2,1,1.09306
30501,2,1,1.08884
30611,2,1,1.08996
30721,2,1,0.98095
30822,2,1,1.07309
30931,2,1,1.09867
31031,2,1,1.07207
31131,2,1,1.07745
31231,2,1,1.07845
31341,2,1,1.09541
31441,2,1,1.07634
31551,2,1,0.98138
31651,2,1,1.07736
31751,2,1,1.07701
31851,2,1,1.07558
31962,2,1,1.08846
32071,2,1,1.09009
32172,2,1,1.07627
32281,2,1,1.09261
32381,2,1,0.95787
32491,2,1,1.09101
32601,2,1,1.08944
32702,2,1,1.07549
32811,2,1,1.09543
32911,2,1,1.07536
33011,2,1,1.07801
33111,2,1,1.07792
33221,2,1,0.98143
33332,2,1,1.08536
33441,2,1,1.09536
33541,2,1,1.07781
33651,2,1,1.08701
33761,2,1,1.09133
33861,2,1,0.95757
33971,2,1,1.09062
34071,2,1,1.07840
34171,2,1,1.07732
34282,2,1,1.08115
34392,2,1,1.09627
34502,2,1,1.08838
34611,2,1,0.98545
34711,2,1,1.07538
34821,2,1,1.09064
34921,2,1,1.07707
35031,2,1,1.08934
35132,2,1,1.07694
35241,2,1,0.98176
35342,2,1,1.07645
35451,2,1,1.09231
35561,2,1,1.09114
35662,2,1,1.07484
35771,2,1,1.09491
35871,2,1,1.07743
35971,2,1,1.07471
36081,2,1,0.98307
36181,2,1,1.07647
36282,2,1,1.07698
36382,2,1,1.07690
36482,2,1,1.07471
36591,2,1,1.09650
36691,2,1,1.07656
36801,2,1,1.09010
36902,2,1,1.06826
37011,2,1,0.98957
37112,2,1,1.07686
37212,2,1,1.07810
37321,2,1,1.09102
37421,2,1,1.07804
37521,2,1,1.07829
37632,2,1,1.08678
37742,2,1,0.98171
37842,2,1,1.07800
37952,2,1,1.08957
38052,2,1,1.07410
38161,2,1,1.09637
38261,2,1,1.07856
38362,2,1,1.07592
38462,2,1,1.07398
38572,2,1,0.98554
38672,2,1,1.07722
38772,2,1,1.07821
38882,2,1,1.08733
38992,2,1,1.08872
39102,2,1,1.09024
39212,2,1,1.09015
39312,2,1,0.95555
39421,2,1,1.09668
39521,2,1,1.07845
39622,2,1,1.07702
39722,2,1,1.07777
39832,2,1,1.08933
39932,2,1,1.07511
40042,2,1,1.09304
40142,2,1,0.95528
40252,2,1,1.09186
40362,2,1,1.08917
40462,2,1,1.07483
40572,2,1,1.09245
40672,2,1,1.07854
40772,2,1,1.07819
40882,2,1,0.98320
40982,2,1,1.07548
41092,2,1,1.09170
41192,2,1,1.07839
41292,2,1,1.07484
41402,2,1,1.09227
41502,2,1,1.07484
41602,2,1,1.07703
41711,2,1,0.98686
41812,2,1,1.07510
41922,2,1,1.09149
42022,2,1,1.07463
42122,2,1,1.07659
42232,2,1,1.09145
42342,2,1,1.09216
42451,2,1,0.98194
42552,2,1,1.07724
42652,2,1,1.07459
42762,2,1,1.08779
42872,2,1,1.09419
42972,2,1,1.07446
43072,2,1,1.07717
43172,2,1,1.07737
43282,2,1,0.98094
43392,2,1,1.09427
43492,2,1,1.07491
43602,2,1,1.08964
43702,2,1,1.07661
43812,2,1,1.09120
43922,2,1,0.98553
44022,2,1,1.07763
44122,2,1,1.07320
44232,2,1,1.08884
44342,2,1,1.09085
44442,2,1,1.07796
44545,2,1,1.05014
44652,2,1,1.12032
44762,2,1,0.98266
44862,2,1,1.07629
44962,2,1,1.07495
45072,2,1,1.09032
45172,2,1,1.07797
45282,2,1,1.09231
45382,2,1,1.07693
45492,2,1,0.98260
45592,2,1,1.07143
45702,2,1,1.09313
45812,2,1,1.09164
45912,2,1,1.07501
46022,2,1,1.08745
46122,2,1,1.07684
46232,2,1,0.98326
46332,2,1,1.07839
46442,2,1,1.08769
46552,2,1,1.09196
46662,2,1,1.09139
46762,2,1,1.07477
46872,2,1,1.09462
46972,2,1,0.95545
47072,2,1,1.07634
47182,2,1,1.09328
47282,2,1,1.07628
47392,2,1,1.08678
47502,2,1,1.08899
47603,2,1,1.07559
47712,2,1,0.98380
47822,2,1,1.08758
47932,2,1,1.09078
48033,2,1,1.07669
48142,2,1,1.09123
48243,2,1,1.07618
48352,2,1,1.09254
48453,2,1,0.95513
48562,2,1,1.09229
48662,2,1,1.07820
48762,2,1,1.07750
48872,2,1,1.09722
48972,2,1,1.07101
49082,2,1,1.09250
49182,2,1,1.07821
49282,2,1,0.95683
49383,2,1,1.07516
49492,2,1,1.09132
49602,2,1,1.09415
49702,2,1,1.07727
49802,2,1,1.07503
49902,2,1,1.07846
50012,2,1,1.09193
50112,2,1,0.95668
50222,2,1,1.09232
50323,2,1,1.07377
50432,2,1,1.09161
50542,2,1,1.09439
50643,2,1,1.07046
50752,2,1,1.09139
50852,2,1,0.95860
50953,2,1,1.07754
51062,2,1,1.09529
51162,2,1,1.07464
51272,2,1,1.09001
51372,2,1,1.07743
51473,2,1,1.07546
51582,2,1,1.09380
51692,2,1,0.98027
51792,2,1,1.07812
51903,2,1,1.08670
52012,2,1,1.09072
52123,2,1,1.08742
52233,2,1,0.98088
52342,2,1,1.09386
52442,2,1,1.07791
52542,2,1,1.07606
52643,2,1,1.07762
52752,2,1,1.09159
52852,2,1,1.07736
52962,2,1,1.09247
53062,2,1,0.95527
53163,2,1,1.07685
53273,2,1,1.08966
53382,2,1,1.09094
53483,2,1,1.07540
53592,2,1,1.09275
53702,2,1,1.09105
53812,2,1,0.97919
53922,2,1,1.09172
54022,2,1,1.07626
54122,2,1,1.07843
