Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,1,1,1.19464
0,2,1,1.07517
0,3,1,1.07517
0,4,1,1.19464
0,5,1,0.95571
110,1,1,1.09465
110,2,1,0.87572
110,3,1,1.09465
110,4,1,0.87572
110,5,1,0.76625
210,1,1,0.83274
210,2,1,1.18963
210,3,1,0.71378
210,4,1,1.18963
210,5,1,1.30860
320,1,1,1.20536
320,2,1,0.98620
320,3,1,1.53409
320,4,1,0.98620
320,5,1,1.20536
420,1,1,1.07825
420,2,1,1.07825
420,3,1,0.71883
420,4,1,1.07825
420,5,1,0.95844
520,1,1,1.31106
520,2,1,0.95349
520,3,1,1.19187
520,4,1,1.31106
520,5,1,0.83431
621,1,1,0.83565
621,2,1,1.19378
621,3,1,1.07440
621,4,1,0.47751
621,5,1,0.95502
730,1,1,0.43689
730,2,1,1.09223
730,3,1,1.09223
730,4,1,1.52913
730,5,1,1.31068
840,1,1,1.85604
840,2,1,0.98261
840,3,1,1.09179
840,4,1,1.09179
840,5,1,1.20097
952,1,1,0.32232
952,2,1,0.85952
952,3,1,0.85952
952,4,1,0.96696
952,5,1,0.64464
1060,1,1,1.76495
1060,2,1,1.32371
1060,3,1,1.21340
1060,4,1,1.32371
1060,5,1,1.43402
1170,1,1,1.20162
1170,2,1,0.76467
1170,3,1,1.09238
1170,4,1,0.87391
1170,5,1,1.09238
1270,1,1,0.83696
1270,2,1,1.55435
1270,3,1,0.71739
1270,4,1,0.95652
1270,5,1,0.83696
1380,1,1,1.19997
1380,2,1,0.98179
1380,3,1,1.63632
1380,4,1,1.09088
1380,5,1,1.30906
1480,1,1,0.83685
1480,2,1,1.07596
1480,3,1,0.00000
1480,4,1,1.07596
1480,5,1,0.83685
1590,1,1,1.09656
1590,2,1,1.20622
1590,3,1,1.86416
1590,4,1,1.20622
1590,5,1,1.31587
1690,1,1,1.07800
1690,2,1,0.83844
1690,3,1,0.83844
1690,4,1,0.83844
1690,5,1,0.83844
1801,1,1,1.18999
1801,2,1,1.18999
1801,3,1,1.40636
1801,4,1,1.29818
1801,5,1,0.10818
1910,1,1,0.65843
1910,2,1,0.76816
1910,3,1,0.98764
1910,4,1,0.87790
1910,5,1,2.41423
2010,1,1,1.55185
2010,2,1,1.31311
2010,3,1,1.07436
2010,4,1,1.19373
2010,5,1,0.83561
2112,1,1,0.82647
2112,2,1,0.94454
2112,3,1,0.94454
2112,4,1,1.06261
2112,5,1,1.06261
2220,1,1,0.77068
2220,2,1,0.99087
2220,3,1,0.99087
2220,4,1,1.10096
2220,5,1,0.88077
2330,1,1,1.53599
2330,2,1,1.42627
2330,3,1,1.42627
2330,4,1,1.09713
2330,5,1,1.42627
2430,1,1,0.95157
2430,2,1,0.83263
2430,3,1,0.83263
2430,4,1,0.83263
2430,5,1,0.71368
2540,1,1,1.31237
2540,2,1,1.09364
2540,3,1,1.09364
2540,4,1,1.31237
2540,5,1,1.64046
2642,1,1,0.82631
2642,2,1,1.06240
2642,3,1,1.29849
2642,4,1,1.29849
2642,5,1,0.35413
2750,1,1,0.99812
2750,2,1,1.21993
2750,3,1,0.55451
2750,4,1,0.11090
2750,5,1,1.10902
2850,1,1,0.95678
2850,2,1,0.71758
2850,3,1,1.43517
2850,4,1,1.79396
2850,5,1,0.95678
2960,1,1,0.00000
2960,2,1,1.30782
2960,3,1,0.76290
2960,4,1,0.98087
2960,5,1,1.19884
3060,1,1,2.14609
3060,2,1,0.95382
3060,3,1,1.07304
3060,4,1,1.43073
3060,5,1,0.95382
3165,1,1,1.37299
3165,2,1,0.91532
3165,3,1,1.71623
3165,4,1,0.57208
3165,5,1,1.14416
3270,1,1,0.68580
3270,2,1,0.00000
3270,3,1,0.22860
3270,4,1,1.37160
3270,5,1,1.37160
3370,1,1,1.55521
3370,2,1,2.63190
3370,3,1,1.31595
3370,4,1,0.83742
3370,5,1,0.95705
3480,1,1,0.87187
3480,2,1,0.76289
3480,3,1,1.30781
3480,4,1,1.08984
3480,5,1,0.87187
3590,1,1,1.30843
3590,2,1,1.30843
3590,3,1,0.43614
3590,4,1,1.30843
3590,5,1,1.30843
3690,1,1,0.71793
3690,2,1,1.07690
3690,3,1,2.03415
3690,4,1,1.07690
3690,5,1,1.19656
3801,1,1,1.29596
3801,2,1,0.75598
3801,3,1,0.21599
3801,4,1,0.21599
3801,5,1,0.86398
3910,1,1,1.21223
3910,2,1,1.54284
3910,3,1,1.32243
3910,4,1,1.54284
3910,5,1,1.21223
4010,1,1,0.83446
4010,2,1,1.07287
4010,3,1,1.43050
4010,4,1,0.95367
4010,5,1,0.59604
4122,1,1,1.18227
4122,2,1,0.96731
4122,3,1,0.85983
4122,4,1,1.07479
4122,5,1,1.18227
4230,1,1,0.66461
4230,2,1,0.99691
4230,3,1,0.99691
4230,4,1,1.66152
4230,5,1,1.32922
4340,1,1,1.19574
4340,2,1,0.65222
4340,3,1,1.41314
4340,4,1,0.00000
4340,5,1,0.97833
4451,1,1,1.30253
4451,2,1,1.30253
4451,3,1,0.00000
4451,4,1,1.73670
4451,5,1,0.75981
4560,1,1,0.65960
4560,2,1,0.98940
4560,3,1,1.86886
4560,4,1,0.98940
4560,5,1,1.64899
4660,1,1,1.42788
4660,2,1,0.83293
4660,3,1,1.54688
4660,4,1,0.95192
4660,5,1,0.71394
4770,1,1,1.09356
4770,2,1,1.74970
4770,3,1,0.87485
4770,4,1,1.64034
4770,5,1,1.09356
4870,1,1,0.71655
4870,2,1,0.71655
4870,3,1,0.83597
4870,4,1,0.00000
4870,5,1,1.07482
4980,1,1,0.00000
4980,2,1,0.87425
4980,3,1,1.09281
4980,4,1,1.63922
4980,5,1,1.09281
5080,1,1,2.75137
5080,2,1,1.07662
5080,3,1,1.07662
5080,4,1,0.11962
5080,5,1,1.07662
5190,1,1,0.87137
5190,2,1,0.87137
5190,3,1,1.08922
5190,4,1,1.85167
5190,5,1,1.08922
5291,1,1,1.31046
5291,2,1,1.19132
5291,3,1,1.31046
5291,4,1,1.66785
5291,5,1,1.42959
5392,1,1,0.70846
5392,2,1,1.53500
5392,3,1,0.11808
5392,4,1,0.00000
5392,5,1,0.70846
5500,1,1,1.22215
5500,2,1,0.66663
5500,3,1,1.22215
5500,4,1,1.66657
5500,5,1,0.55552
5611,1,1,1.29927
5611,2,1,1.08272
5611,3,1,1.08272
5611,4,1,1.08272
5611,5,1,1.84063
5721,1,1,0.76378
5721,2,1,1.20022
5721,3,1,1.52756
5721,4,1,1.52756
5721,5,1,0.00000
5830,1,1,1.41972
5830,2,1,1.41972
5830,3,1,1.09210
5830,4,1,0.00000
5830,5,1,1.74735
5940,1,1,0.65669
5940,2,1,0.87559
5940,3,1,0.00000
5940,4,1,1.64173
5940,5,1,1.20394
6040,1,1,1.43107
6040,2,1,0.59628
6040,3,1,2.02735
6040,4,1,1.43107
6040,5,1,0.71553
6150,1,1,1.09601
6150,2,1,1.42481
6150,3,1,0.76721
6150,4,1,0.10960
6150,5,1,1.53441
6250,1,1,1.07735
6250,2,1,0.95765
6250,3,1,1.19706
6250,4,1,1.67588
6250,5,1,1.19706
6360,1,1,0.76130
6360,2,1,1.30508
6360,3,1,1.41384
6360,4,1,1.41384
6360,5,1,1.08757
6470,1,1,1.08972
6470,2,1,0.76281
6470,3,1,1.19869
6470,4,1,1.30767
6470,5,1,0.98075
6571,1,1,1.18605
6571,2,1,1.42326
6571,3,1,0.00000
6571,4,1,0.00000
6571,5,1,0.94884
6680,1,1,1.10143
6680,2,1,1.10143
6680,3,1,1.87243
6680,4,1,1.76229
6680,5,1,0.77100
6780,1,1,1.19655
6780,2,1,0.71793
6780,3,1,0.00000
6780,4,1,0.00000
6780,5,1,0.59827
6890,1,1,1.09091
6890,2,1,1.41819
6890,3,1,1.85455
6890,4,1,1.96364
6890,5,1,1.85455
6991,1,1,0.95077
6991,2,1,0.95077
6991,3,1,1.54500
6991,4,1,0.00000
6991,5,1,0.71308
7100,1,1,1.20332
7100,2,1,0.98454
7100,3,1,0.43757
7100,4,1,2.07847
7100,5,1,1.20332
7201,1,1,0.71115
7201,2,1,1.06673
7201,3,1,1.54083
7201,4,1,1.54083
7201,5,1,1.06673
7310,1,1,1.10318
7310,2,1,0.99287
7310,3,1,1.10318
7310,4,1,0.00000
7310,5,1,1.21350
7411,1,1,1.30908
7411,2,1,1.42808
7411,3,1,0.47603
7411,4,1,1.66610
7411,5,1,0.83305
7520,1,1,0.87477
7520,2,1,0.76542
7520,3,1,1.20281
7520,4,1,0.76542
7520,5,1,1.09346
7630,1,1,1.19991
7630,2,1,1.09082
7630,3,1,1.52715
7630,4,1,1.41807
7630,5,1,1.09082
7740,1,1,0.87227
7740,2,1,1.09034
7740,3,1,0.65420
7740,4,1,0.87227
7740,5,1,1.09034
7850,1,1,1.20063
7850,2,1,1.20063
7850,3,1,1.52807
7850,4,1,1.09148
7850,5,1,1.09148
7950,1,1,1.07162
7950,2,1,0.83348
7950,3,1,0.95255
7950,4,1,1.54789
7950,5,1,1.42882
8051,1,1,0.71801
8051,2,1,0.71801
8051,3,1,0.47867
8051,4,1,0.35900
8051,5,1,1.07701
8160,1,1,1.20314
8160,2,1,1.64064
8160,3,1,1.20314
8160,4,1,1.75002
8160,5,1,0.43750
8260,1,1,0.83630
8260,2,1,1.07524
8260,3,1,1.19471
8260,4,1,0.00000
8260,5,1,1.19471
8361,1,1,1.31257
8361,2,1,1.07392
8361,3,1,1.31257
8361,4,1,2.14784
8361,5,1,1.78987
8470,1,1,0.66030
8470,2,1,0.66030
8470,3,1,1.10050
