Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,3,1,0.43812
0,4,1,0.32859
0,6,1,0.43812
3,1,1,0.87313
3,2,1,1.20055
110,3,1,0.43511
110,4,1,0.43511
110,6,1,0.43511
113,1,1,1.19632
113,2,1,0.97881
210,3,1,0.47883
210,4,1,0.47883
210,6,1,0.47883
214,1,1,0.94966
214,2,1,0.59354
311,3,1,0.47756
311,4,1,0.47756
311,6,1,0.47756
324,1,1,1.30464
324,2,1,1.52208
421,3,1,0.43573
421,4,1,0.54466
421,6,1,0.43573
433,1,1,0.76869
433,2,1,0.76869
530,3,1,0.43781
530,4,1,0.32836
530,6,1,0.43781
534,1,1,1.30563
534,2,1,1.42432
630,3,1,0.35866
630,4,1,0.59776
630,6,1,0.47821
643,1,1,1.10140
643,2,1,1.10140
730,3,1,0.47929
730,4,1,0.23964
730,6,1,0.35947
743,1,1,0.59911
743,2,1,0.59911
841,3,1,0.32640
841,4,1,0.32640
841,6,1,0.32640
843,1,1,1.43436
843,2,1,1.67343
950,3,1,0.43627
950,4,1,0.54534
950,6,1,0.43627
953,1,1,1.19639
953,2,1,0.87010
1060,3,1,0.43569
1060,4,1,0.32677
1060,6,1,0.54461
1063,1,1,1.09081
1063,2,1,1.30898
1161,3,1,0.47890
1161,4,1,0.59862
1161,6,1,0.35917
1163,1,1,0.83872
1163,2,1,0.95854
1271,3,1,0.32539
1271,4,1,0.21693
1271,6,1,0.43385
1273,1,1,1.19756
1273,2,1,0.97982
1381,3,1,0.43614
1381,4,1,0.54517
1381,6,1,0.32710
1383,1,1,0.54658
1383,2,1,0.98384
1491,3,1,0.43692
1491,4,1,0.32769
1491,6,1,0.43692
1493,1,1,1.30725
1493,2,1,0.98044
1600,3,1,0.43850
1600,4,1,0.43850
1600,6,1,0.43850
1603,1,1,1.30529
1603,2,1,1.08774
1700,3,1,0.35811
1700,4,1,0.35811
1700,6,1,0.35811
1714,1,1,0.86815
1714,2,1,0.75963
1810,3,1,0.54447
1810,4,1,0.54447
1810,6,1,0.43558
1824,1,1,1.19825
1824,2,1,1.41611
1911,3,1,0.23951
1911,4,1,0.35926
1911,6,1,0.47902
1924,1,1,1.31699
1924,2,1,0.95781
2020,3,1,0.54546
2020,4,1,0.43636
2020,6,1,0.43636
2034,1,1,0.76121
2034,2,1,1.19619
2121,3,1,0.47867
2121,4,1,0.47867
2121,6,1,0.47867
2144,1,1,1.30864
2144,2,1,0.98148
2231,3,1,0.54445
2231,4,1,0.54445
2231,6,1,0.43556
2245,1,1,1.07128
2245,2,1,0.95224
2341,3,1,0.32676
2341,4,1,0.43567
2341,6,1,0.54459
2355,1,1,0.97842
2355,2,1,1.30456
2451,3,1,0.54510
2451,4,1,0.32706
2451,6,1,0.32706
2464,1,1,0.66103
2464,2,1,0.99154
2560,3,1,0.32780
2560,4,1,0.54633
2560,6,1,0.43706
2573,1,1,1.20003
2573,2,1,0.98184
2660,3,1,0.47901
2660,4,1,0.35926
2660,6,1,0.47901
2674,1,1,1.31659
2674,2,1,1.55598
2760,3,1,0.47914
2760,4,1,0.47914
2760,6,1,0.47914
2783,1,1,1.09187
2783,2,1,0.76431
2860,3,1,0.23953
2860,4,1,0.35929
2860,6,1,0.35929
2884,1,1,1.07494
2884,2,1,1.43325
2970,3,1,0.54482
2970,4,1,0.43585
2970,6,1,0.43585
2993,1,1,0.76601
2993,2,1,0.54715
3071,3,1,0.23902
3071,4,1,0.23902
3071,6,1,0.23902
3093,1,1,1.43644
3093,2,1,1.43644
3171,3,1,0.47933
3171,4,1,0.59916
3171,6,1,0.35950
3193,1,1,1.31537
3193,2,1,0.35874
3280,3,1,0.32808
3280,4,1,0.32808
3280,6,1,0.54680
3303,1,1,0.43673
3303,2,1,1.31020
3380,3,1,0.47862
3380,4,1,0.23931
3380,6,1,0.23931
3404,1,1,1.54678
3404,2,1,1.30882
3490,3,1,0.32699
3490,4,1,0.54498
3490,6,1,0.54498
3513,1,1,0.98673
3513,2,1,1.20600
3591,3,1,0.47681
3591,4,1,0.35761
3591,6,1,0.23841
3614,1,1,0.83636
3614,2,1,0.71688
3692,3,1,0.35649
3692,4,1,0.47532
3692,6,1,0.59414
3723,1,1,1.09219
3723,2,1,1.20141
3800,3,1,0.55092
3800,4,1,0.33055
3800,6,1,0.33055
3824,1,1,1.07390
3824,2,1,1.19322
3901,3,1,0.35883
3901,4,1,0.59805
3901,6,1,0.47844
3925,1,1,1.06820
3925,2,1,0.83082
4011,3,1,0.43616
4011,4,1,0.43616
4011,6,1,0.43616
4033,1,1,1.32439
4033,2,1,1.43476
4121,3,1,0.43558
4121,4,1,0.32669
4121,6,1,0.43558
4144,1,1,0.00000
4144,2,1,0.10866
4231,3,1,0.54522
4231,4,1,0.43617
4231,6,1,0.54522
4244,1,1,1.54577
4244,2,1,1.78358
4340,3,1,0.43597
4340,4,1,0.32698
4340,6,1,0.43597
4353,1,1,1.32271
4353,2,1,1.32271
4441,3,1,0.35930
4441,4,1,0.47906
4441,6,1,0.35930
4453,1,1,0.00000
4453,2,1,0.95667
4541,3,1,0.35653
4541,4,1,0.47537
4541,6,1,0.23768
4554,1,1,2.38471
4554,2,1,1.07312
4641,3,1,0.59867
4641,4,1,0.23947
4641,6,1,0.11973
4663,1,1,0.54651
