Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,2,1,1.19761
109,2,1,1.31081
210,2,1,0.95790
319,2,1,1.09001
419,2,1,0.59903
520,2,1,1.67359
630,2,1,0.65323
740,2,1,1.30616
840,2,1,0.71780
950,2,1,1.30969
1060,2,1,1.20135
1169,2,1,1.20120
1269,2,1,0.71796
1380,2,1,1.30527
1489,2,1,0.65585
1590,2,1,1.19485
1700,2,1,1.19663
1810,2,1,1.08986
1920,2,1,1.30960
2020,2,1,0.71875
2120,2,1,1.43726
2230,2,1,0.75933
2340,2,1,1.19950
2440,2,1,0.83809
2550,2,1,1.30893
2650,2,1,0.83827
2760,2,1,1.20097
2860,2,1,1.31695
2970,2,1,1.08829
3080,2,1,0.65602
3180,2,1,1.43462
3290,2,1,0.65566
3390,2,1,1.43501
3500,2,1,0.87302
3600,2,1,1.43341
3710,2,1,0.65501
3810,2,1,1.19711
3920,2,1,1.30783
4029,2,1,1.09272
4130,2,1,0.83514
4230,2,1,1.19376
4340,2,1,1.09297
4440,2,1,0.95837
4550,2,1,0.98156
4650,2,1,0.71740
4760,2,1,0.97874
4870,2,1,1.53161
4980,2,1,1.19831
5080,2,1,0.71651
5190,2,1,1.30945
5300,2,1,0.98112
5400,2,1,1.07799
5500,2,1,1.19627
5610,2,1,0.98310
5710,2,1,0.71811
5810,2,1,1.43522
5920,2,1,1.09550
6020,2,1,1.19720
6120,2,1,1.19130
6230,2,1,0.98339
6330,2,1,0.71779
6440,2,1,1.20230
6540,2,1,1.07395
6650,2,1,1.09140
6760,2,1,1.08888
6860,2,1,0.95751
6970,2,1,1.20275
7080,2,1,0.98106
7190,2,1,1.30839
7290,2,1,0.71846
7400,2,1,1.19828
7500,2,1,0.83467
7610,2,1,1.42036
7720,2,1,0.87001
7820,2,1,0.71708
7930,2,1,1.30974
8040,2,1,1.20155
8150,2,1,1.20221
8250,2,1,1.19802
8350,2,1,0.71757
8450,2,1,1.31748
8550,2,1,0.71494
8660,2,1,1.31078
8770,2,1,1.20036
8870,2,1,0.71819
8980,2,1,1.19903
9090,2,1,1.19796
9200,2,1,1.20047
9300,2,1,0.71650
9410,2,1,1.09230
9520,2,1,1.08702
9620,2,1,0.71828
9730,2,1,1.30655
9840,2,1,0.76583
9940,2,1,0.83742
10050,2,1,1.63359
10150,2,1,0.83800
10250,2,1,1.43621
10360,2,1,0.65632
10460,2,1,1.42966
10570,2,1,1.09308
10670,2,1,0.83643
10780,2,1,0.76592
10890,2,1,1.52248
10990,2,1,1.31712
11100,2,1,0.97817
11210,2,1,0.65651
11310,2,1,1.43614
11411,2,1,1.07384
11511,2,1,1.07819
11620,2,1,0.98286
11720,2,1,1.31707
11830,2,1,1.09280
11930,2,1,0.71788
12040,2,1,1.09219
12140,2,1,1.19745
12240,2,1,1.31708
12350,2,1,0.65317
12451,2,1,1.19437
12560,2,1,1.09160
12670,2,1,1.09126
12780,2,1,1.19958
