Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,1,1,0.71683
100,1,1,1.19704
210,1,1,1.08966
310,1,1,1.07853
410,1,1,1.19633
511,1,1,0.95482
620,1,1,1.31610
720,1,1,0.95613
830,1,1,1.19843
940,1,1,0.98333
1040,1,1,0.95603
1150,1,1,1.20134
1250,1,1,0.83773
1350,1,1,1.07584
1451,1,1,1.07760
1560,1,1,1.20282
1670,1,1,0.97800
1771,1,1,1.07083
1881,1,1,1.20363
1990,1,1,1.20021
2091,1,1,0.83589
2200,1,1,0.43730
2301,1,1,1.31347
2410,1,1,1.20291
2520,1,1,1.19850
2621,1,1,1.43595
2731,1,1,0.97940
2841,1,1,1.09022
2950,1,1,0.98142
3061,1,1,0.86903
3161,1,1,1.07832
3270,1,1,1.20359
3381,1,1,0.76030
3481,1,1,1.19816
3591,1,1,1.41864
3701,1,1,0.97864
3810,1,1,0.43832
3910,1,1,1.55720
4010,1,1,1.43392
4111,1,1,0.83625
4211,1,1,1.07735
4321,1,1,0.98147
4430,1,1,1.09263
4531,1,1,1.07528
4641,1,1,0.87192
4751,1,1,1.08869
4860,1,1,1.53153
4960,1,1,0.00000
5061,1,1,1.43531
5161,1,1,1.55230
5271,1,1,1.31184
5371,1,1,0.00000
5481,1,1,1.41908
5581,1,1,1.55507
5690,1,1,0.98392
5791,1,1,0.47775
5901,1,1,1.41790
6011,1,1,1.30293
6121,1,1,1.31083
6231,1,1,0.87087
6340,1,1,0.43746
6441,1,1,1.67572
6541,1,1,0.11937
6641,1,1,1.55588
6741,1,1,1.55478
6851,1,1,1.31206
6951,1,1,0.00000
7051,1,1,1.43802
7161,1,1,1.30827
7261,1,1,1.07724
7371,1,1,1.20190
7481,1,1,1.19609
7591,1,1,0.97836
7701,1,1,1.30712
7811,1,1,0.00000
7921,1,1,1.42106
8021,1,1,1.43252
8131,1,1,1.30786
8231,1,1,1.07771
8331,1,1,0.23963
8441,1,1,1.30666
8550,1,1,1.31395
8651,1,1,1.07521
8751,1,1,0.95642
8860,1,1,0.98520
8961,1,1,1.42913
9071,1,1,1.19942
9181,1,1,0.98435
9281,1,1,0.35898
9381,1,1,1.43422
9481,1,1,1.31540
9591,1,1,0.98494
9701,1,1,1.08793
9801,1,1,0.83796
9901,1,1,1.31799
10001,1,1,1.07682
10101,1,1,1.19651
10211,1,1,0.98457
10321,1,1,1.09176
10421,1,1,1.07783
10521,1,1,0.83699
10621,1,1,1.19602
10731,1,1,0.98148
10841,1,1,1.41618
10941,1,1,0.95833
11041,1,1,0.95787
11151,1,1,1.20055
11261,1,1,0.97990
11361,1,1,0.95844
11461,1,1,1.19759
11571,1,1,0.98240
11681,1,1,1.19608
11791,1,1,1.20092
11891,1,1,0.95793
12001,1,1,0.98021
12111,1,1,0.76371
12211,1,1,1.31561
12321,1,1,1.20149
12421,1,1,1.31657
12521,1,1,0.83800
12631,1,1,1.08963
12731,1,1,0.95659
12841,1,1,1.19892
12951,1,1,0.87106
13061,1,1,1.19992
13171,1,1,0.87328
13271,1,1,1.19526
13371,1,1,0.47936
13471,1,1,1.07558
13581,1,1,1.42223
13681,1,1,1.31721
13781,1,1,1.19644
13891,1,1,0.98524
13991,1,1,0.95691
14091,1,1,1.07680
14191,1,1,1.19745
14291,1,1,1.19806
14391,1,1,0.83849
14501,1,1,1.08840
14611,1,1,0.98253
14721,1,1,1.09294
14821,1,1,1.31198
14921,1,1,1.07784
15031,1,1,1.09160
15131,1,1,1.07702
15241,1,1,0.76321
15351,1,1,1.09152
15461,1,1,0.97787
15561,1,1,1.31695
15671,1,1,0.98343
15781,1,1,1.08861
15891,1,1,1.09031
15991,1,1,1.07806
16091,1,1,1.07590
16201,1,1,1.08960
16301,1,1,0.95775
16411,1,1,1.19982
16521,1,1,0.98172
16621,1,1,0.71670
16721,1,1,1.43736
16832,1,1,1.19684
16941,1,1,1.20059
17051,1,1,0.98109
17161,1,1,0.87091
17271,1,1,1.09227
17371,1,1,0.95871
17481,1,1,1.20287
17581,1,1,1.31321
17681,1,1,0.11957
17791,1,1,1.20264
17891,1,1,1.07724
17991,1,1,1.07742
18101,1,1,0.98394
18201,1,1,1.31732
18301,1,1,1.19423
18401,1,1,1.31741
18502,1,1,0.95410
18611,1,1,0.98801
18712,1,1,1.30847
18821,1,1,0.87368
18931,1,1,1.20138
19031,1,1,0.95534
19141,1,1,1.20312
19241,1,1,0.95736
19341,1,1,1.19826
19451,1,1,1.09021
19551,1,1,0.95578
19661,1,1,0.98489
19761,1,1,0.95607
19861,1,1,0.83787
19971,1,1,0.97939
20072,1,1,1.07540
20181,1,1,1.09440
20292,1,1,1.84797
20401,1,1,0.98223
20502,1,1,1.07220
20611,1,1,0.21886
20712,1,1,1.07355
20821,1,1,1.20286
20932,1,1,1.19812
21032,1,1,1.43656
21141,1,1,1.20318
21251,1,1,1.19657
21361,1,1,0.98328
21461,1,1,0.35862
21571,1,1,1.19719
21672,1,1,1.43111
21782,1,1,1.20185
21892,1,1,1.30527
22001,1,1,0.00000
22101,1,1,1.43748
22202,1,1,1.43132
22312,1,1,1.30805
22421,1,1,1.20455
22522,1,1,0.00000
22622,1,1,1.43487
22732,1,1,1.30701
22842,1,1,1.30937
22952,1,1,1.19649
23061,1,1,0.76599
23161,1,1,0.95860
23262,1,1,1.07667
23362,1,1,1.07607
23472,1,1,1.19942
23581,1,1,0.87679
23681,1,1,1.19639
23792,1,1,1.08465
23902,1,1,1.19934
24012,1,1,0.87206
24121,1,1,1.09149
24222,1,1,1.07669
24322,1,1,1.07603
24432,1,1,1.09133
24541,1,1,0.87319
24642,1,1,1.31503
24742,1,1,1.07731
24842,1,1,1.07784
24942,1,1,0.95831
25052,1,1,1.09167
25152,1,1,1.19828
25261,1,1,0.87403
25371,1,1,1.08973
25471,1,1,1.07829
25572,1,1,1.07513
25672,1,1,1.31820
25781,1,1,0.98552
25882,1,1,0.95287
25992,1,1,1.19890
26092,1,1,1.07757
26201,1,1,0.98307
26302,1,1,1.07831
26402,1,1,0.95597
26512,1,1,1.09000
26612,1,1,0.95712
26721,1,1,0.98482
26822,1,1,1.07308
26922,1,1,1.07820
27032,1,1,0.98213
27132,1,1,0.95579
27242,1,1,1.64121
27342,1,1,0.95702
27452,1,1,0.76257
27552,1,1,1.79647
27661,1,1,0.76569
27762,1,1,1.19468
27862,1,1,0.95776
27972,1,1,1.08866
28082,1,1,0.98025
28192,1,1,1.08875
28302,1,1,0.87218
28412,1,1,1.20158
28512,1,1,0.95611
28612,1,1,0.95678
28722,1,1,1.09025
28832,1,1,0.98178
28942,1,1,0.98262
29042,1,1,1.31495
29152,1,1,0.98382
29252,1,1,1.43458
29352,1,1,1.07526
29462,1,1,0.32718
29572,1,1,1.30399
29682,1,1,1.63774
29792,1,1,1.09066
29892,1,1,0.95578
30002,1,1,1.09455
30102,1,1,1.19710
30202,1,1,0.95791
30302,1,1,0.71848
30402,1,1,1.19766
30502,1,1,1.07718
30602,1,1,0.47932
30702,1,1,1.79620
30812,1,1,1.09133
30922,1,1,1.08909
31032,1,1,0.98095
31132,1,1,0.95825
31242,1,1,0.76319
31342,1,1,1.07676
31452,1,1,0.97816
31562,1,1,1.20402
31662,1,1,1.07590
31772,1,1,1.19881
31882,1,1,1.19764
31992,1,1,1.19944
32102,1,1,0.98069
32202,1,1,1.07430
32312,1,1,0.87343
32422,1,1,1.41585
32532,1,1,0.97915
32642,1,1,1.31037
32742,1,1,1.07785
32852,1,1,0.97917
32962,1,1,0.87652
33062,1,1,1.19383
33162,1,1,0.95800
33262,1,1,1.07809
33363,1,1,0.83584
33472,1,1,1.20352
33572,1,1,1.07755
33682,1,1,1.08970
33782,1,1,1.31782
33882,1,1,0.23951
33992,1,1,1.31004
34102,1,1,1.31084
34202,1,1,1.07524
34312,1,1,1.19953
34412,1,1,1.19677
34512,1,1,0.95601
34622,1,1,0.98424
34722,1,1,1.07746
34832,1,1,1.08994
34932,1,1,1.07489
35043,1,1,1.08807
35152,1,1,0.87362
35252,1,1,1.19724
35352,1,1,1.19808
35463,1,1,0.97725
35572,1,1,0.98505
35682,1,1,1.19808
35792,1,1,1.08920
35902,1,1,0.98020
36012,1,1,1.09036
36112,1,1,0.95701
36222,1,1,0.43596
36332,1,1,1.30889
36432,1,1,1.31755
36533,1,1,1.31316
36633,1,1,1.31582
36743,1,1,0.10894
36852,1,1,1.31340
36953,1,1,1.43384
37063,1,1,1.41634
37172,1,1,0.87344
37273,1,1,0.59884
37382,1,1,1.41984
