Stream_ID,Time_Start,Time_End,KBytes,Kbps,Latency_ms,Lost,Total
6,0.0,1.0,84.7,694.0,13.43,742,801
1,0.0,1.0,84.7,694.0,14.546,115,174
7,0.0,1.0,84.7,694.0,13.344,816,875
2,0.0,1.0,84.7,694.0,15.11,131,190
3,0.0,1.0,97.6,800.0,13.714,798,866
9,0.0,1.0,84.7,694.0,13.654,805,864
5,0.0,1.0,84.7,694.0,14.675,138,197
8,0.0,1.0,84.7,694.0,15.037,125,184
4,0.0,1.0,94.7,776.0,14.22,788,854
10,0.0,1.0,84.7,694.0,15.137,121,180
1,1.0,2.0,76.1,623.0,14.894,0,53
2,1.0,2.0,73.2,600.0,15.258,0,51
3,1.0,2.0,73.2,600.0,14.859,0,51
4,1.0,2.0,76.1,623.0,14.883,0,53
8,1.0,2.0,73.2,600.0,14.536,0,51
6,1.0,2.0,84.7,694.0,14.705,0,59
7,1.0,2.0,84.7,694.0,14.892,0,59
9,1.0,2.0,84.7,694.0,14.81,0,59
5,1.0,2.0,86.1,706.0,13.778,0,60
10,1.0,2.0,84.7,694.0,15.281,0,59
3,2.0,3.0,84.7,694.0,15.125,0,59
4,2.0,3.0,84.7,694.0,14.661,0,59
1,2.0,3.0,84.7,694.0,15.218,0,59
6,2.0,3.0,84.7,694.0,14.821,0,59
2,2.0,3.0,84.7,694.0,15.27,0,59
7,2.0,3.0,84.7,694.0,14.813,0,59
5,2.0,3.0,74.6,612.0,14.978,0,52
9,2.0,3.0,84.7,694.0,14.829,0,59
8,2.0,3.0,84.7,694.0,14.976,0,59
10,2.0,3.0,77.5,635.0,14.245,0,54
4,3.0,4.0,73.2,600.0,16.496,0,51
1,3.0,4.0,73.2,600.0,14.636,0,51
2,3.0,4.0,76.1,623.0,14.608,0,53
7,3.0,4.0,73.2,600.0,15.966,0,51
5,3.0,4.0,73.2,600.0,14.241,0,51
8,3.0,4.0,76.1,623.0,14.153,0,53
3,3.0,4.0,84.7,694.0,16.1,0,59
10,3.0,4.0,73.2,600.0,14.149,0,51
6,3.0,4.0,86.1,706.0,14.65,0,60
9,3.0,4.0,86.1,706.0,14.246,0,60
1,4.0,5.0,74.6,612.0,17.276,0,52
3,4.0,5.0,84.7,694.0,14.21,0,59
4,4.0,5.0,96.2,788.0,13.995,0,67
2,4.0,5.0,73.2,600.0,16.881,0,51
5,4.0,5.0,74.6,612.0,17.027,0,52
6,4.0,5.0,84.7,694.0,13.789,0,59
7,4.0,5.0,96.2,788.0,13.979,0,67
8,4.0,5.0,73.2,600.0,16.952,0,51
10,4.0,5.0,74.6,612.0,16.793,0,52
9,4.0,5.0,84.7,694.0,13.589,0,59
3,5.0,6.0,76.1,623.0,15.011,0,53
2,5.0,6.0,76.1,623.0,16.1,0,53
1,5.0,6.0,73.2,600.0,16.189,0,51
5,5.0,6.0,73.2,600.0,16.403,0,51
4,5.0,6.0,73.2,600.0,15.122,0,51
6,5.0,6.0,74.6,612.0,15.496,0,52
8,5.0,6.0,76.1,623.0,16.525,0,53
7,5.0,6.0,73.2,600.0,15.029,0,51
9,5.0,6.0,74.6,612.0,14.825,0,52
10,5.0,6.0,84.7,694.0,15.242,0,59
1,6.0,7.0,77.5,635.0,15.191,0,54
5,6.0,7.0,76.1,623.0,16.269,0,53
2,6.0,7.0,73.2,600.0,15.575,0,51
3,6.0,7.0,73.2,600.0,17.086,0,51
4,6.0,7.0,76.1,623.0,16.492,0,53
10,6.0,7.0,63.2,517.0,16.18,0,44
8,6.0,7.0,73.2,600.0,15.405,0,51
6,6.0,7.0,73.2,600.0,17.01,0,51
7,6.0,7.0,76.1,623.0,16.266,0,53
9,6.0,7.0,73.2,600.0,16.182,0,51
3,7.0,8.0,76.1,623.0,15.057,0,53
1,7.0,8.0,84.7,694.0,14.384,0,59
4,7.0,8.0,73.2,600.0,14.64,0,51
2,7.0,8.0,84.7,694.0,14.128,0,59
5,7.0,8.0,84.7,694.0,14.905,0,59
6,7.0,8.0,76.1,623.0,15.004,0,53
10,7.0,8.0,86.1,706.0,13.973,0,60
8,7.0,8.0,84.7,694.0,13.896,0,59
9,7.0,8.0,76.1,623.0,14.847,0,53
7,7.0,8.0,73.2,600.0,14.803,0,51
1,8.0,9.0,80.4,659.0,17.858,0,56
3,8.0,9.0,84.7,694.0,14.148,0,59
6,8.0,9.0,86.1,706.0,13.318,0,60
4,8.0,9.0,84.7,694.0,14.146,0,59
2,8.0,9.0,84.7,694.0,14.462,0,59
5,8.0,9.0,84.7,694.0,15.34,0,59
7,8.0,9.0,84.7,694.0,13.575,0,59
9,8.0,9.0,84.7,694.0,14.023,0,59
8,8.0,9.0,84.7,694.0,14.398,0,59
10,8.0,9.0,84.7,694.0,14.696,0,59
3,9.0,10.0,73.2,600.0,14.755,0,51
4,9.0,10.0,74.6,612.0,15.95,0,52
2,9.0,10.0,76.1,623.0,14.405,0,53
