Time_ms,Mean_Latency_us,Std_Latency_us
0,70913865.1724138,49191.6834427668
800,70890625.5,7906.160920446788
1000,70900627.44444445,12676.192911041993
1800,70884790.0,
1900,70895827.0,
2000,70901493.375,11538.695536296385
2100,70894339.66666667,22203.825398643025
2900,70890238.0,7772.51773880253
3100,70900798.25925925,12662.392964361541
3900,70890328.0,7783.831447301515
4100,70900661.4074074,12605.786349189038
4900,70890417.5,8039.096995309858
5100,70900659.44444445,12672.615109673497
5900,70884728.0,
6000,70895873.0,
6100,70899649.04761904,13095.831105646072
6200,70904754.0,11892.06025884323
7000,70890697.5,7599.276577411826
7200,70900786.25925925,12721.787004348384
8000,70890520.5,7897.6756390725495
8200,70900711.5925926,12722.782966190889
9000,70891001.0,8695.999195032162
9200,70900813.4074074,12726.473631633897
10000,70886043.0,
10100,70895947.0,
10200,70900228.88461539,12465.905372098923
10300,70915307.0,
11100,70890400.0,8014.34825796833
11300,70900831.77777778,12733.09906483387
12100,70891120.5,8285.170155162778
12300,70900759.66666667,12679.43329841519
13100,70890608.0,7621.196887628609
13300,70900876.48148148,12696.958416430569
14100,70884778.0,
14200,70895917.0,
14300,70900417.58333333,12619.871503917957
14400,70903716.0,13442.88722708035
15200,70890455.5,7986.771093502054
15400,70900723.48148148,12644.652589345174
16200,70890775.0,7598.569470630639
16400,70900973.1111111,12666.753880603786
17200,70890478.5,7966.972103628831
17400,70900833.81481482,12645.574957388522
18200,70884900.0,
18300,70896329.0,
18400,70899986.6,12697.047819601537
18500,70911133.0,6296.078779685019
19300,70890582.0,7879.997969542886
19500,70900834.44444445,12593.92414964905
20300,70890522.0,7894.140105166616
20500,70900846.14814815,12729.654801359044
21300,70890474.0,7790.902515113381
21500,70900929.62962963,12641.274805324141
22300,70884941.0,
22400,70896234.0,
22500,70900640.76923077,12797.648169278516
22600,70906546.0,
23400,70890546.0,7912.524881477467
23600,70901053.8888889,12658.769463628021
24400,70891105.0,7213.903381665158
24600,70900910.07407407,12639.718844020517
25400,70890692.0,7810.701504986604
25600,70901034.5925926,12774.753082846226
26400,70884992.0,
26500,70896304.0,
26600,70901113.88,12830.846442983086
26700,70898664.5,12754.085012261758
27500,70890620.0,7888.483250917124
27700,70901058.07407407,12695.84617087093
28500,70890605.0,7949.294434099167
28700,70901018.18518518,12551.650008103747
29500,70890909.5,7925.959910320011
29700,70901006.8888889,12697.316922312995
30500,70885130.0,
30600,70896236.0,
30700,70900932.75,13036.52304355464
30800,70903884.0,13647.348900061139
31600,70890545.0,7861.613193232035
31800,70900951.74074075,12576.397174539487
32600,70890855.5,7552.607529853514
32800,70901012.66666667,12680.293748111075
33600,70891298.0,8865.704822516933
33800,70901069.33333333,12637.958236379605
34600,70885254.0,
34700,70896932.0,
34800,70900833.88461539,12951.352004568884
34900,70906547.0,
35700,70890705.5,7872.219794949833
35900,70901062.96296297,12772.34354882797
36700,70890767.0,7676.35121656116
36900,70901125.66666667,12645.372306470845
37700,70890793.0,7751.304535366934
37900,70901112.0,12576.107230653439
38700,70885220.0,
38800,70896362.0,
38900,70900961.38461539,13031.671383441098
39000,70906774.0,
39800,70891048.5,7814.2370388925365
40000,70901152.37037037,12607.386977322845
40800,70890762.0,7882.826396667632
41000,70901197.8888889,12653.170330403223
41800,70890992.0,7580.18469431979
42000,70901092.55555555,12653.046131672016
42800,70885186.0,
42900,70896497.0,
43000,70901074.03703703,12559.967722531208
43900,70890757.5,7875.04822207458
44100,70901213.1111111,12540.467554568759
44900,70891841.5,9132.28407902426
45100,70901086.4074074,12644.755046018836
45900,70890980.0,7956.365501911033
46100,70901118.66666667,12617.161648999041
46900,70885176.0,
47000,70896425.0,
47100,70900908.8076923,12808.176822702408
47200,70906613.0,
48000,70891150.5,7911.81777469628
48200,70901231.18518518,12621.873858316543
49000,70890857.5,7750.597428585747
49200,70901150.07407407,12672.465265983154
50000,70890798.5,7925.959910320011
50200,70901284.77777778,12572.928951139178
51000,70885350.0,
51100,70896485.0,
51200,70901244.96296297,12543.678881534066
52000,70885316.0,
52100,70896363.0,
52200,70890121.0,2900.552016427218
52300,70902161.04,12758.850524508214
53100,70890938.5,7986.771093502054
53300,70901269.8888889,12666.537731459037
54100,70891041.0,7868.684261043901
54300,70901232.96296297,12630.994858437574
55100,70885210.0,
55200,70896716.0,
55300,70901048.88461539,12733.872841604714
55400,70906889.0,
56200,70891337.0,8287.291475506338
56300,70898557.66666667,5668.47901410538
56400,70901669.45833333,13221.24787236639
57200,70891577.5,8307.797572160747
57400,70901359.62962963,12714.511425161683
58200,70891085.5,7903.332493322042
58400,70901445.55555555,12614.854065844343
59200,70885429.0,
59300,70896376.0,
59400,70901135.76923077,12749.522655555453
59500,70909345.0,
60200,70885423.0,
60300,70896305.0,
60400,70901356.33333333,10474.184085962686
60500,70901477.0,13467.698058690836
61300,70891004.0,7707.463914933368
61500,70901511.81481482,12751.383294600462
62300,70890996.5,7797.266476144059
62500,70901432.51851852,12700.164146035211
63300,70885641.0,
63400,70896560.0,
63500,70901279.0,12909.592913804448
63600,70906876.0,
64300,70886312.0,
64400,70896718.0,
64500,70904886.375,10291.5303309842
64600,70899944.5263158,13504.512235087186
65400,70891317.5,7841.107096577625
65600,70901415.37037037,12567.59623044143
66400,70891371.5,8251.229029665823
66600,70901507.51851852,12709.188551744579
67400,70885562.0,
67500,70896517.0,
67600,70902397.48,11628.324166737866
67700,70889370.0,24924.099823263427
68400,70885588.0,
68500,70896606.0,
68600,70904441.5,9552.09795745614
68700,70899767.41176471,14225.282141574578
69500,70891648.5,8200.317341420392
69700,70901485.48148148,12631.077721761716
70500,70891227.5,8067.3812665573205
70700,70901590.25925925,12764.218140489858
71500,70885731.0,
71600,70896695.0,
71700,70902668.96,11771.354851499662
71800,70889543.5,25145.424245774815
72500,70885649.0,
72600,70896698.0,
72700,70905455.63636364,9530.208038364739
72800,70898897.625,13857.367729238798
73600,70891244.0,7758.3756031788
73800,70902045.51851852,12646.951190426082
74600,70891212.5,7892.018784823057
74800,70901448.55555555,12624.160311246562
75600,70885669.0,
75700,70896684.0,
75800,70902449.72,11561.682225208016
75900,70889730.0,24792.57796196273
76600,70885933.0,
76700,70897024.0,
76800,70903872.76923077,10086.399871060437
76900,70899227.78571428,14503.749266888386
77700,70891937.0,8633.773798287746
77900,70901567.18518518,12611.723654645906
78700,70891192.0,7936.56651203781
78900,70901691.77777778,12689.758051683752
79700,70885619.0,
79800,70897071.0,
79900,70902684.61538461,11449.849735529773
80000,70871939.0,
80700,70885784.0,
80800,70896852.0,
80900,70903880.16666667,10610.936415137176
81000,70899887.0,14372.318259168043
81800,70891448.5,7876.462435636953
82000,70901522.18518518,12652.940710294231
82800,70891346.0,7819.186786360842
83000,70901671.4074074,12643.68638204778
83800,70885688.0,
83900,70896630.0,
84000,70901521.4074074,12642.062776726309
84800,70885988.0,
84900,70896852.0,
85000,70905649.0,10482.098290492135
85100,70896479.75,13503.571043682505
85900,70891327.5,7807.165971080672
86100,70901744.77777778,12715.097695659346
86900,70891864.5,7498.867414483337
87100,70901653.62962963,12747.063722665673
87900,70886101.0,
88000,70896845.0,
88100,70901768.48148148,12669.204265497843
88900,70885751.0,
89000,70897077.0,
89100,70904826.47058824,10533.15143438517
89200,70896332.2,14840.945386181074
90000,70891497.5,7764.739564209478
