Time_ms,Now_us,Latency_us
0,1755783877095112,71454386
1069,1755783878164130,71455442
2142,1755783879236970,71453299
3197,1755783880292024,71453312
4232,1755783881326421,71453726
5263,1755783882357597,71453886
6287,1755783883382052,71453381
7355,1755783884449251,71453585
8459,1755783885553474,71453790
9563,1755783886657568,71453876
10660,1755783887754221,71453552
11730,1755783888825173,71453502
12814,1755783889908579,71453902
13893,1755783890988198,71453496
14930,1755783892025097,71454390
15972,1755783893066757,71454034
17016,1755783894110467,71453789
18062,1755783895157125,71453462
19103,1755783896197233,71453421
20142,1755783897236293,71453625
21177,1755783898272147,71453426
22229,1755783899323253,71454484
23266,1755783900360702,71453835
24310,1755783901404839,71454090
25363,1755783902457727,71454006
26406,1755783903500258,71453584
27448,1755783904542422,71453639
28473,1755783905567341,71453601
29500,1755783906594235,71453419
30529,1755783907623312,71453635
31554,1755783908649094,71453431
32589,1755783909684073,71455378
33626,1755783910721212,71453535
34671,1755783911765531,71453864
35710,1755783912804371,71453595
36752,1755783913846564,71453877
37786,1755783914880348,71453671
38837,1755783915932146,71454456
39889,1755783916983263,71454530
40934,1755783918029169,71456506
41968,1755783919062401,71453674
43018,1755783920113004,71454291
44077,1755783921171304,71454587
45118,1755783922212554,71454823
46141,1755783923235458,71453779
47167,1755783924261835,71454088
48193,1755783925287764,71454051
49230,1755783926324865,71454005
50264,1755783927358911,71454195
51318,1755783928413122,71454391
52403,1755783929497342,71454563
53489,1755783930583840,71454124
54568,1755783931662983,71454270
55651,1755783932745873,71454150
56727,1755783933822100,71454362
57799,1755783934893849,71454178
58859,1755783935953831,71454124
59939,1755783937033966,71454297
61014,1755783938108287,71454428
62101,1755783939195718,71454042
63185,1755783940279516,71453844
64289,1755783941383425,71454558
65387,1755783942482203,71454404
66465,1755783943559304,71455619
67540,1755783944634901,71454164
68606,1755783945701150,71454424
69635,1755783946730133,71454399
70664,1755783947759030,71455331
71699,1755783948794055,71454394
72728,1755783949823029,71454293
73758,1755783950853067,71454354
74784,1755783951879011,71454269
75817,1755783952911702,71454957
76851,1755783953946071,71454396
77877,1755783954971994,71454333
78902,1755783955996552,71454877
79926,1755783957021034,71454365
80952,1755783958047163,71454428
81978,1755783959072996,71454216
83003,1755783960097879,71454200
84029,1755783961124057,71454382
85059,1755783962153706,71455012
86096,1755783963190868,71454184
87136,1755783964230606,71455585
88211,1755783965305272,71454572
89294,1755783966389051,71454341
