Time_ms,Now_us,Latency_us
0,1755828242553298,72020929
1028,1755828243581002,72020693
2053,1755828244605756,72020460
3077,1755828245630165,72020807
4102,1755828246654998,72020635
5126,1755828247678959,72020589
6155,1755828248707862,72020554
7179,1755828249731792,72020488
8204,1755828250757274,72020964
9229,1755828251782041,72020739
10256,1755828252808951,72020654
11280,1755828253833008,72020703
12305,1755828254858095,72020779
13330,1755828255883148,72020764
14357,1755828256909970,72020671
15385,1755828257937566,72021161
16408,1755828258960930,72020624
17433,1755828259986291,72020980
18457,1755828261009922,72020623
19482,1755828262035094,72020789
20511,1755828263064101,72020739
21537,1755828264090102,72020799
22565,1755828265118200,72020884
23589,1755828266142126,72020823
24613,1755828267166236,72020896
25646,1755828268199085,72020779
26672,1755828269224972,72020673
27697,1755828270250216,72020918
28721,1755828271274276,72020903
29747,1755828272300393,72020949
30773,1755828273325620,72021284
31799,1755828274352207,72020911
32823,1755828275376263,72020917
33847,1755828276400367,72021063
34871,1755828277424451,72021105
35897,1755828278450460,72021061
36922,1755828279475332,72021005
37948,1755828280501299,72020952
38975,1755828281528286,72020963
40004,1755828282557302,72020981
41032,1755828283584543,72021178
42057,1755828284609504,72021150
43087,1755828285639471,72021095
44112,1755828286664626,72021258
45136,1755828287688567,72021264
46165,1755828288717530,72021226
47188,1755828289741454,72021080
48215,1755828290767614,72021294
49240,1755828291792533,72021184
50266,1755828292818840,72021280
51295,1755828293847655,72021305
52319,1755828294872444,72021142
53344,1755828295896594,72021290
54368,1755828296921388,72021089
55393,1755828297945501,72021196
56417,1755828298969675,72021292
57441,1755828299993502,72021124
58468,1755828301020534,72021212
59492,1755828302044742,72021371
60516,1755828303068745,72021439
61541,1755828304093855,72021513
62565,1755828305117939,72021591
63591,1755828306143915,72021581
64618,1755828307170757,72021455
65644,1755828308196776,72021475
66669,1755828309221706,72021399
67693,1755828310245931,72021627
68717,1755828311269737,72021370
69744,1755828312297085,72021718
70769,1755828313321795,72021496
71794,1755828314347027,72021652
72822,1755828315374952,72021650
73851,1755828316403721,72021369
74879,1755828317431698,72021397
75905,1755828318457745,72021449
76929,1755828319481897,72021601
77954,1755828320506798,72021499
78978,1755828321530821,72021514
80009,1755828322561732,72021427
81033,1755828323585777,72021468
82057,1755828324609932,72021574
83084,1755828325636999,72021696
84111,1755828326664114,72021817
85136,1755828327689048,72021745
86160,1755828328712847,72021546
87185,1755828329738246,72021944
88213,1755828330766001,72021655
89238,1755828331791372,72022058
