Time_ms,UE_ID,RB_ID,Throughput_Mbps
0,33547,-1,0.00000
0,18165,-1,0.00000
0,21150,-1,0.11739
0,15893,-1,0.17860
7,1043,-1,0.39270
7,13806,-1,0.43981
7,25133,-1,0.00000
7,36712,-1,0.00000
7,57972,-1,0.00000
100,33547,-1,0.00000
100,18165,-1,0.00000
100,21150,-1,0.00000
100,15893,-1,0.00000
107,1043,-1,0.00000
107,13806,-1,0.00000
107,25133,-1,0.00000
107,36712,-1,0.00000
107,57972,-1,0.00000
210,33547,-1,0.00000
210,18165,-1,0.00000
210,21150,-1,0.00000
210,15893,-1,0.00000
217,1043,-1,0.00000
217,13806,-1,0.00000
217,25133,-1,0.00000
217,36712,-1,0.00000
217,57972,-1,0.09560
318,1043,-1,0.00000
318,13806,-1,0.00000
318,25133,-1,0.11698
318,36712,-1,0.43717
318,57972,-1,0.00000
320,33547,-1,0.00000
320,18165,-1,0.00000
320,21150,-1,0.00000
320,15893,-1,0.00000
420,33547,-1,0.00000
420,18165,-1,0.00000
420,21150,-1,0.00000
420,15893,-1,0.00000
427,1043,-1,0.00000
427,13806,-1,0.00000
427,25133,-1,0.00000
427,36712,-1,0.00000
427,57972,-1,0.00000
528,1043,-1,0.00000
528,13806,-1,0.00000
528,25133,-1,0.00000
528,36712,-1,0.00000
528,57972,-1,0.10369
530,33547,-1,0.00000
530,18165,-1,0.00000
530,21150,-1,0.10293
530,15893,-1,0.00000
637,1043,-1,0.30934
637,13806,-1,0.00000
637,25133,-1,0.00000
637,36712,-1,0.00000
637,57972,-1,0.44063
640,33547,-1,0.00000
640,18165,-1,0.00000
640,21150,-1,0.00000
640,15893,-1,0.00000
752,33547,-1,0.11471
752,18165,-1,0.03360
752,21150,-1,0.00000
752,15893,-1,0.00000
752,1043,-1,0.00000
752,13806,-1,0.00000
752,25133,-1,0.00000
752,36712,-1,0.00000
752,57972,-1,0.00000
858,1043,-1,0.00000
858,13806,-1,0.10873
858,25133,-1,0.12080
858,36712,-1,0.00000
858,57972,-1,0.00000
860,33547,-1,0.00000
860,18165,-1,0.00000
860,21150,-1,0.00000
860,15893,-1,0.00000
967,1043,-1,0.00000
967,13806,-1,0.48723
967,25133,-1,0.00000
967,36712,-1,0.00000
967,57972,-1,0.00000
970,33547,-1,0.00000
970,18165,-1,0.00000
970,21150,-1,0.00000
970,15893,-1,0.00000
1068,1043,-1,0.00000
1068,13806,-1,0.00000
1068,25133,-1,0.00000
1068,36712,-1,0.00000
1068,57972,-1,0.00000
1070,33547,-1,0.00000
1070,18165,-1,0.00000
1070,21150,-1,0.00000
1070,15893,-1,0.04212
1169,1043,-1,0.00000
1169,13806,-1,0.00000
1169,25133,-1,0.00000
1169,36712,-1,0.52874
1169,57972,-1,0.47361
1180,33547,-1,0.00000
1180,18165,-1,0.00000
1180,21150,-1,0.11656
1180,15893,-1,0.17713
1279,1043,-1,0.00000
1279,13806,-1,0.00000
1279,25133,-1,0.00000
1279,36712,-1,0.00000
1279,57972,-1,0.00000
1281,33547,-1,0.00000
1281,18165,-1,0.00000
1281,21150,-1,0.00000
1281,15893,-1,0.00000
1387,1043,-1,0.07562
1387,13806,-1,0.00000
1387,25133,-1,0.00000
1387,36712,-1,0.00000
1387,57972,-1,0.00000
1390,33547,-1,0.00000
1390,18165,-1,0.14325
1390,21150,-1,0.00000
1390,15893,-1,0.00000
1490,33547,-1,0.00000
1490,18165,-1,0.00000
1490,21150,-1,0.00000
1490,15893,-1,0.00000
1497,1043,-1,0.34408
1497,13806,-1,0.00000
1497,25133,-1,0.11629
1497,36712,-1,0.00000
1497,57972,-1,0.00000
1598,1043,-1,0.00000
1598,13806,-1,0.00000
1598,25133,-1,0.00000
1598,36712,-1,0.00000
1598,57972,-1,0.00000
1600,33547,-1,0.00000
1600,18165,-1,0.00000
1600,21150,-1,0.00000
1600,15893,-1,0.00000
1707,1043,-1,0.00000
1707,13806,-1,0.59321
1707,25133,-1,0.00000
1707,36712,-1,0.35635
1707,57972,-1,0.00000
1711,33547,-1,0.11572
1711,18165,-1,0.00000
1711,21150,-1,0.00000
1711,15893,-1,0.19559
1808,1043,-1,0.00000
1808,13806,-1,0.00000
1808,25133,-1,0.00000
1808,36712,-1,0.00000
1808,57972,-1,0.00000
1820,33547,-1,0.00000
1820,18165,-1,0.00000
1820,21150,-1,0.00000
1820,15893,-1,0.00000
1909,1043,-1,0.00000
1909,13806,-1,0.00000
1909,25133,-1,0.00000
1909,36712,-1,0.00000
1909,57972,-1,0.10375
1920,33547,-1,0.00000
1920,18165,-1,0.00000
1920,21150,-1,0.02792
1920,15893,-1,0.00000
2017,1043,-1,0.00000
2017,13806,-1,0.00000
2017,25133,-1,0.11815
2017,36712,-1,0.00000
2017,57972,-1,0.00000
2030,33547,-1,0.00000
2030,18165,-1,0.00000
2030,21150,-1,0.11656
2030,15893,-1,0.00000
2127,1043,-1,0.00000
2127,13806,-1,0.00000
2127,25133,-1,0.00000
2127,36712,-1,0.00000
2127,57972,-1,0.00000
2130,33547,-1,0.00000
2130,18165,-1,0.00000
2130,21150,-1,0.00000
2130,15893,-1,0.00000
2237,1043,-1,0.41939
2237,13806,-1,0.48491
2237,25133,-1,0.00000
2237,36712,-1,0.00000
2237,57972,-1,0.00000
2239,33547,-1,0.11735
2239,18165,-1,0.03203
2239,21150,-1,0.00000
2239,15893,-1,0.17833
2340,33547,-1,0.00000
2340,18165,-1,0.00000
2340,21150,-1,0.00000
2340,15893,-1,0.00000
2348,1043,-1,0.00000
2348,13806,-1,0.00000
2348,25133,-1,0.00000
2348,36712,-1,0.00000
2348,57972,-1,0.00000
2440,33547,-1,0.00000
2440,18165,-1,0.03728
2440,21150,-1,0.00000
2440,15893,-1,0.00000
2457,1043,-1,0.00000
2457,13806,-1,0.00000
2457,25133,-1,0.00000
2457,36712,-1,0.08873
2457,57972,-1,0.00000
2550,33547,-1,0.00000
2550,18165,-1,0.15934
2550,21150,-1,0.11712
2550,15893,-1,0.00000
2558,1043,-1,0.00000
2558,13806,-1,0.00000
2558,25133,-1,0.00000
2558,36712,-1,0.43796
2558,57972,-1,0.47901
2652,33547,-1,0.00000
2652,18165,-1,0.00000
2652,21150,-1,0.00000
2652,15893,-1,0.00000
2668,1043,-1,0.00000
2668,13806,-1,0.00000
2668,25133,-1,0.00000
2668,36712,-1,0.00000
2668,57972,-1,0.00000
2760,33547,-1,0.10482
2760,18165,-1,0.00000
2760,21150,-1,0.00000
2760,15893,-1,0.00000
2768,1043,-1,0.00000
2768,13806,-1,0.00000
2768,25133,-1,0.15559
2768,36712,-1,0.00000
2768,57972,-1,0.00000
2870,33547,-1,0.00000
2870,18165,-1,0.00000
2870,21150,-1,0.00000
2870,15893,-1,0.00000
2877,1043,-1,0.29876
2877,13806,-1,0.00000
2877,25133,-1,0.00000
2877,36712,-1,0.00000
2877,57972,-1,0.00000
2970,33547,-1,0.00000
2970,18165,-1,0.00000
