Time_ms,UE_ID,RB_ID,Throughput_Mbps
78,12586,-1,0.10283
78,41045,-1,0.00000
200,12586,-1,0.04151
200,41045,-1,0.12123
307,12586,-1,0.00000
307,35620,-1,0.00000
307,41045,-1,0.00000
307,73211,-1,0.34105
416,12586,-1,0.00000
416,30040,-1,0.00000
416,41045,-1,0.22752
416,42234,-1,0.00000
513,35620,-1,0.00000
513,73211,-1,0.1489
607,35620,-1,0.00000
607,73211,-1,0.2203
718,39999,-1,0.00000
718,50104,-1,0.00000
719,39999,-1,0.00000
723,30040,-1,0.18663
723,39999,-1,0.00000
723,42234,-1,0.00000
723,50104,-1,0.29317
829,11372,-1,0.20581
829,19074,-1,0.00000
935,73211,-1,0.00000
1025,35620,-1,0.00000
1025,73211,-1,0.16437
1109,12586,-1,0.00000
1109,41045,-1,0.00000
1213,30040,-1,0.18167
1213,42234,-1,0.13182
1219,12586,-1,0.00000
1328,11372,-1,0.00000
1328,19074,-1,0.07131
1442,35620,-1,0.00000
1442,39999,-1,0.00000
1442,50104,-1,0.06816
1442,73211,-1,0.09249
1550,35620,-1,0.2495
1550,73211,-1,0.06192
1648,39999,-1,0.00000
1648,50104,-1,0.00000
1732,11372,-1,0.05003
1732,19074,-1,0.13083
1732,35620,-1,0.03162
1732,73211,-1,0.1984
1822,30040,-1,0.31486
1822,39999,-1,0.00000
1822,42234,-1,0.30724
1822,50104,-1,0.25589
1932,35620,-1,0.00000
1932,73211,-1,0.00000
2021,39999,-1,0.00000
2021,50104,-1,0.00000
2129,30040,-1,0.0271
2235,12586,-1,0.00000
2235,41045,-1,0.17785
2239,35620,-1,0.24075
2239,39999,-1,0.30964
2239,50104,-1,0.35081
2343,35620,-1,0.00000
2343,73211,-1,0.00000
2345,30040,-1,0.00000
2451,35620,-1,0.09003
2451,39999,-1,0.00000
2451,50104,-1,0.00000
2451,73211,-1,0.00000
2537,39999,-1,0.35063
2627,12586,-1,0.02724
2627,39999,-1,0.33919
2627,41045,-1,0.00000
2627,50104,-1,0.00000
2712,12586,-1,0.00000
2712,41045,-1,0.12005
2815,11372,-1,0.00000
2815,12586,-1,0.00000
2815,19074,-1,0.22856
2927,11372,-1,0.00000
2927,39999,-1,0.27396
2927,50104,-1,0.2366
2932,35620,-1,0.10135
2932,73211,-1,0.00000
2933,12586,-1,0.19139
2933,41045,-1,0.00000
3018,42234,-1,0.06834
3118,35620,-1,0.00000
3118,73211,-1,0.16141
3213,12586,-1,0.14311
3291,11372,-1,0.00000
3291,12586,-1,0.00000
3291,19074,-1,0.00000
3291,41045,-1,0.00000
3396,39999,-1,0.0521
3396,50104,-1,0.09681
3491,35620,-1,0.08909
3491,73211,-1,0.14123
3496,39999,-1,0.30579
3496,50104,-1,0.1331
3497,35620,-1,0.00000
3497,73211,-1,0.00000
3597,12586,-1,0.00000
3597,41045,-1,0.00000
3702,39999,-1,0.00000
3702,42234,-1,0.00000
3702,50104,-1,0.17822
3807,11372,-1,0.00000
3807,19074,-1,0.1397
3899,39999,-1,0.06228
3899,50104,-1,0.00000
4004,12586,-1,0.00000
4004,41045,-1,0.13001
4097,35620,-1,0.33353
4097,73211,-1,0.00000
4193,12586,-1,0.08827
4193,41045,-1,0.2842
4275,50104,-1,0.2722
4372,11372,-1,0.17434
4372,19074,-1,0.00000
4372,39999,-1,0.02697
4372,50104,-1,0.00000
4473,35620,-1,0.35261
4473,73211,-1,0.11808
4580,39999,-1,0.08781
4580,50104,-1,0.00000
4643,11372,-1,0.27511
4643,19074,-1,0.16167
4728,30040,-1,0.12877
4728,42234,-1,0.00000
4824,12586,-1,0.25306
4824,19074,-1,0.00000
4824,41045,-1,0.00000
4930,30040,-1,0.00000
4930,42234,-1,0.00000
5018,11372,-1,0.00000
5018,19074,-1,0.26418
5109,11372,-1,0.00000
5109,19074,-1,0.33169
5213,11372,-1,0.19579
5213,19074,-1,0.00000
5335,30040,-1,0.00000
5335,39999,-1,0.00000
5335,42234,-1,0.00000
5335,50104,-1,0.00000
5429,12586,-1,0.00000
5429,30040,-1,0.00000
5429,41045,-1,0.00000
5429,42234,-1,0.00000
5527,35620,-1,0.23943
5527,73211,-1,0.00000
5609,12586,-1,0.00000
5609,41045,-1,0.00000
5711,11372,-1,0.23366
5711,19074,-1,0.23953
5711,39999,-1,0.06206
5711,50104,-1,0.39778
5715,35620,-1,0.19065
5715,39999,-1,0.2436
5715,50104,-1,0.18859
5715,73211,-1,0.13785
5794,41045,-1,0.19648
5799,12586,-1,0.00000
5799,35620,-1,0.00000
5799,41045,-1,0.00000
5799,73211,-1,0.11928
5908,11372,-1,0.00000
5908,19074,-1,0.00000
5908,42234,-1,0.00000
5980,12586,-1,0.08331
5980,35620,-1,0.18303
5980,73211,-1,0.00000
6071,39999,-1,0.00000
6071,50104,-1,0.00000
6189,30040,-1,0.00000
6189,39999,-1,0.32535
6189,42234,-1,0.00000
6189,50104,-1,0.00000
6191,11372,-1,0.00000
6191,19074,-1,0.00000
6320,35620,-1,0.00000
6320,39999,-1,0.10783
6320,50104,-1,0.00000
6323,11372,-1,0.00000
6323,19074,-1,0.28614
6419,11372,-1,0.00000
6419,19074,-1,0.00000
6419,50104,-1,0.07516
6422,39999,-1,0.09999
6422,50104,-1,0.31214
6423,35620,-1,0.00000
6423,39999,-1,0.00000
6423,50104,-1,0.00000
6423,73211,-1,0.00000
6542,11372,-1,0.00000
6542,19074,-1,0.00000
6542,35620,-1,0.00000
6542,73211,-1,0.00000
6631,30040,-1,0.00000
6631,42234,-1,0.14026
6735,12586,-1,0.00000
6735,35620,-1,0.02147
6735,41045,-1,0.00000
6862,35620,-1,0.18997
6862,50104,-1,0.23343
6974,12586,-1,0.00000
6974,41045,-1,0.07202
7066,11372,-1,0.00000
7066,19074,-1,0.00000
7169,11372,-1,0.34442
7169,19074,-1,0.00000
7300,11372,-1,0.26553
7300,12586,-1,0.02819
7300,19074,-1,0.00000
7382,30040,-1,0.00000
7382,39999,-1,0.00000
7382,42234,-1,0.00000
7382,50104,-1,0.19092
7498,35620,-1,0.04899
7498,42234,-1,0.00000
7498,73211,-1,0.00000
7634,30040,-1,0.00000
7704,41045,-1,0.00000
7797,35620,-1,0.00000
7797,73211,-1,0.00000
7800,11372,-1,0.00000
7800,19074,-1,0.00000
7910,39999,-1,0.2581
7910,50104,-1,0.18904
8024,12586,-1,0.05868
8024,41045,-1,0.15564
8113,12586,-1,0.18665
8113,41045,-1,0.00000
8197,11372,-1,0.06955
8197,19074,-1,0.06198
8201,30040,-1,0.00000
8201,35620,-1,0.00000
8201,42234,-1,0.00000
8201,73211,-1,0.00000
8312,39999,-1,0.00000
8312,50104,-1,0.00000
8406,11372,-1,0.00000
8406,19074,-1,0.00000
8509,11372,-1,0.11822
8509,19074,-1,0.00000
8509,39999,-1,0.00000
8509,50104,-1,0.00000
8598,35620,-1,0.00000
8598,73211,-1,0.00000
8714,39999,-1,0.00000
8714,50104,-1,0.25005
8715,11372,-1,0.00000
8715,19074,-1,0.00000
8715,35620,-1,0.00000
8720,12586,-1,0.00000
8720,39999,-1,0.12232
8720,41045,-1,0.00000
8720,50104,-1,0.09512
8818,11372,-1,0.27188
8818,19074,-1,0.00000
8927,39999,-1,0.00000
8927,50104,-1,0.00000
8928,12586,-1,0.00000
9014,35620,-1,0.00000
9014,73211,-1,0.00000
9015,12586,-1,0.00000
9015,41045,-1,0.00000
9114,12586,-1,0.00000
9114,30040,-1,0.00000
9114,41045,-1,0.00000
9114,42234,-1,0.1973
9231,11372,-1,0.00000
9231,19074,-1,0.00000
9233,41045,-1,0.00000
9335,30040,-1,0.17574
9335,39999,-1,0.00000
9335,42234,-1,0.4461
9335,50104,-1,0.09928
9448,30040,-1,0.10024
9448,39999,-1,0.00000
9448,42234,-1,0.23362
9448,50104,-1,0.00000
9537,11372,-1,0.00000
9537,19074,-1,0.00000
9634,35620,-1,0.00000
9634,73211,-1,0.00000
9638,11372,-1,0.00000
9638,19074,-1,0.00000
9638,35620,-1,0.00000
9638,73211,-1,0.31329
9742,35620,-1,0.00000
9742,73211,-1,0.00000
9845,30040,-1,0.1255
9845,42234,-1,0.33857
9942,11372,-1,0.00000
9942,19074,-1,0.00000
10057,35620,-1,0.19534
10057,73211,-1,0.00000
10165,11372,-1,0.00000
10165,19074,-1,0.00000
10263,39999,-1,0.00000
10332,11372,-1,0.00000
10332,19074,-1,0.12568
10332,30040,-1,0.12748
10447,12586,-1,0.26402
10447,39999,-1,0.00000
10447,41045,-1,0.09895
10447,50104,-1,0.00000
10541,11372,-1,0.00000
10541,19074,-1,0.22161
10667,35620,-1,0.00000
10667,73211,-1,0.00000
10761,11372,-1,0.00000
10761,19074,-1,0.0666
10761,39999,-1,0.00000
10761,50104,-1,0.27284
10860,39999,-1,0.39102
10860,50104,-1,0.00000
10974,12586,-1,0.00000
10974,35620,-1,0.00000
10974,41045,-1,0.14787
10974,73211,-1,0.31186
10976,50104,-1,0.00000
10977,39999,-1,0.05297
10977,50104,-1,0.00000
11076,12586,-1,0.00000
11076,30040,-1,0.00000
11076,41045,-1,0.00000
11076,42234,-1,0.15559
11077,30040,-1,0.34668
11077,42234,-1,0.00000
11203,12586,-1,0.00000
11203,30040,-1,0.25381
11203,41045,-1,0.00000
11203,42234,-1,0.02587
11307,35620,-1,0.04167
11307,73211,-1,0.00000
11417,35620,-1,0.00000
11504,30040,-1,0.00000
11504,42234,-1,0.00000
11583,11372,-1,0.14914
11583,19074,-1,0.00000
11696,39999,-1,0.00000
11696,50104,-1,0.03234
11812,11372,-1,0.00000
11812,12586,-1,0.00000
11812,19074,-1,0.26431
11812,41045,-1,0.10935
11813,41045,-1,0.34654
11813,50104,-1,0.28328
11819,12586,-1,0.12383
11819,41045,-1,0.04172
11949,30040,-1,0.19734
11949,39999,-1,0.00000
11949,42234,-1,0.34013
11949,50104,-1,0.00000
12037,35620,-1,0.00000
12037,73211,-1,0.2949
12134,30040,-1,0.00000
12134,42234,-1,0.16187
12224,35620,-1,0.00000
12227,35620,-1,0.00000
12227,73211,-1,0.00000
12356,12586,-1,0.22909
12356,41045,-1,0.14904
12483,11372,-1,0.19619
12483,19074,-1,0.24118
12582,11372,-1,0.00000
12582,19074,-1,0.28407
12686,19074,-1,0.34097
12686,39999,-1,0.00000
12686,50104,-1,0.00000
12788,11372,-1,0.00000
12788,19074,-1,0.00000
12788,30040,-1,0.00000
12788,42234,-1,0.09435
12889,12586,-1,0.19806
12889,30040,-1,0.00000
12889,42234,-1,0.2312
12962,39999,-1,0.00000
12962,50104,-1,0.00000
12966,12586,-1,0.30619
13078,11372,-1,0.40894
13078,19074,-1,0.21037
13078,35620,-1,0.08714
13078,73211,-1,0.09595
13176,11372,-1,0.00000
13176,19074,-1,0.20971
13299,41045,-1,0.06039
13391,39999,-1,0.00000
13391,50104,-1,0.00000
13486,30040,-1,0.25203
13486,39999,-1,0.00000
13486,42234,-1,0.00000
13597,11372,-1,0.00000
13597,19074,-1,0.17602
13693,30040,-1,0.00000
13787,35620,-1,0.07942
13787,73211,-1,0.2696
13883,11372,-1,0.00000
13883,19074,-1,0.18887
13883,41045,-1,0.04734
13989,11372,-1,0.00000
13989,19074,-1,0.00000
14089,19074,-1,0.00000
14095,35620,-1,0.3402
14095,73211,-1,0.00000
14099,12586,-1,0.27009
14181,12586,-1,0.30302
14181,30040,-1,0.00000
14181,42234,-1,0.08351
14274,30040,-1,0.15773
14408,39999,-1,0.25148
14408,50104,-1,0.29781
14504,30040,-1,0.00000
14504,42234,-1,0.14542
14576,39999,-1,0.00000
14579,11372,-1,0.00000
14579,19074,-1,0.34953
14672,30040,-1,0.00000
14672,42234,-1,0.112
14759,12586,-1,0.22451
14759,35620,-1,0.00000
14759,41045,-1,0.00000
14872,39999,-1,0.08271
14872,50104,-1,0.00000
14976,30040,-1,0.1223
14976,42234,-1,0.00000
15083,30040,-1,0.08834
15083,35620,-1,0.00000
15083,42234,-1,0.3597
15083,73211,-1,0.10801
15203,12586,-1,0.15397
15203,30040,-1,0.25999
15203,41045,-1,0.00000
15203,42234,-1,0.00000
15317,39999,-1,0.14698
15317,50104,-1,0.13302
15408,30040,-1,0.06235
15408,39999,-1,0.15602
15408,42234,-1,0.00000
15408,50104,-1,0.00000
15485,35620,-1,0.00000
15485,73211,-1,0.00000
15579,12586,-1,0.23289
15579,30040,-1,0.11715
15579,41045,-1,0.15795
15579,42234,-1,0.00000
15704,30040,-1,0.00000
15704,42234,-1,0.00000
15800,30040,-1,0.16137
15800,42234,-1,0.00000
15804,11372,-1,0.20524
15804,19074,-1,0.00000
15804,39999,-1,0.00000
15804,50104,-1,0.00000
15910,11372,-1,0.20492
15910,35620,-1,0.00000
15910,73211,-1,0.00000
16016,19074,-1,0.00000
16016,35620,-1,0.00000
16016,73211,-1,0.19751
16126,12586,-1,0.00000
16126,41045,-1,0.34586
16219,39999,-1,0.00000
16220,30040,-1,0.00000
16220,42234,-1,0.30536
16226,30040,-1,0.08925
16226,42234,-1,0.36405
16227,39999,-1,0.00000
16227,50104,-1,0.00000
