[UE 7 | RB 1] Throughput = 0.35614 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23743 Mbps
[UE 12 | RB 1] Throughput = 0.35614 Mbps
[UE 7 | RB 1] Throughput = 0.23048 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.34572 Mbps
[UE 12 | RB 1] Throughput = 0.28810 Mbps
[UE 7 | RB 1] Throughput = 0.29691 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.29691 Mbps
[UE 12 | RB 1] Throughput = 0.29691 Mbps
[UE 7 | RB 1] Throughput = 0.34538 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28782 Mbps
[UE 12 | RB 1] Throughput = 0.28782 Mbps
[UE 7 | RB 1] Throughput = 0.22758 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28448 Mbps
[UE 12 | RB 1] Throughput = 0.34137 Mbps
[UE 7 | RB 1] Throughput = 0.34196 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.28496 Mbps
[UE 12 | RB 1] Throughput = 0.22797 Mbps
[UE 7 | RB 1] Throughput = 0.28624 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22899 Mbps
[UE 12 | RB 1] Throughput = 0.28624 Mbps
[UE 7 | RB 1] Throughput = 0.17971 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.23962 Mbps
[UE 12 | RB 1] Throughput = 0.17971 Mbps
[UE 7 | RB 1] Throughput = 0.17155 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
[UE 11 | RB 1] Throughput = 0.22874 Mbps
[UE 12 | RB 1] Throughput = 0.28592 Mbps
[UE 7 | RB 1] Throughput = 0.28361 Mbps
[UE 8 | RB 1] Throughput = 0.00000 Mbps
