[UE 1 | RB 1] Throughput = 0.22771 Mbps
[UE 7 | RB 1] Throughput = 0.17078 Mbps
[UE 8 | RB 1] Throughput = 0.17078 Mbps
[UE 9 | RB 1] Throughput = 0.22771 Mbps
[UE 10 | RB 1] Throughput = 0.17078 Mbps
[UE 2 | RB 1] Throughput = 0.02158 Mbps
[UE 4 | RB 1] Throughput = 0.01079 Mbps
[UE 6 | RB 1] Throughput = 0.01079 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 5 | RB 1] Throughput = 0.02158 Mbps
[UE 1 | RB 1] Throughput = 0.22907 Mbps
[UE 7 | RB 1] Throughput = 0.22907 Mbps
[UE 8 | RB 1] Throughput = 0.17180 Mbps
[UE 9 | RB 1] Throughput = 0.22907 Mbps
[UE 10 | RB 1] Throughput = 0.22907 Mbps
[UE 1 | RB 1] Throughput = 0.17941 Mbps
[UE 7 | RB 1] Throughput = 0.23921 Mbps
[UE 8 | RB 1] Throughput = 0.23921 Mbps
[UE 9 | RB 1] Throughput = 0.23921 Mbps
[UE 10 | RB 1] Throughput = 0.17941 Mbps
[UE 1 | RB 1] Throughput = 0.17137 Mbps
[UE 7 | RB 1] Throughput = 0.17137 Mbps
[UE 8 | RB 1] Throughput = 0.17137 Mbps
[UE 9 | RB 1] Throughput = 0.11425 Mbps
[UE 10 | RB 1] Throughput = 0.22850 Mbps
[UE 1 | RB 1] Throughput = 0.22840 Mbps
[UE 7 | RB 1] Throughput = 0.11420 Mbps
[UE 8 | RB 1] Throughput = 0.22840 Mbps
[UE 9 | RB 1] Throughput = 0.22840 Mbps
[UE 10 | RB 1] Throughput = 0.17130 Mbps
[UE 1 | RB 1] Throughput = 0.17969 Mbps
[UE 7 | RB 1] Throughput = 0.23959 Mbps
[UE 8 | RB 1] Throughput = 0.17969 Mbps
[UE 9 | RB 1] Throughput = 0.17969 Mbps
[UE 10 | RB 1] Throughput = 0.11979 Mbps
[UE 1 | RB 1] Throughput = 0.23949 Mbps
[UE 7 | RB 1] Throughput = 0.17962 Mbps
[UE 8 | RB 1] Throughput = 0.17962 Mbps
[UE 9 | RB 1] Throughput = 0.17962 Mbps
[UE 10 | RB 1] Throughput = 0.23949 Mbps
[UE 1 | RB 1] Throughput = 0.11983 Mbps
[UE 7 | RB 1] Throughput = 0.11983 Mbps
[UE 8 | RB 1] Throughput = 0.17975 Mbps
[UE 9 | RB 1] Throughput = 0.17975 Mbps
[UE 10 | RB 1] Throughput = 0.17975 Mbps
[UE 1 | RB 1] Throughput = 0.17974 Mbps
[UE 7 | RB 1] Throughput = 0.23966 Mbps
[UE 8 | RB 1] Throughput = 0.17974 Mbps
[UE 9 | RB 1] Throughput = 0.17974 Mbps
[UE 10 | RB 1] Throughput = 0.17974 Mbps
[UE 1 | RB 1] Throughput = 0.17971 Mbps
[UE 7 | RB 1] Throughput = 0.11981 Mbps
[UE 8 | RB 1] Throughput = 0.17971 Mbps
[UE 9 | RB 1] Throughput = 0.11981 Mbps
[UE 10 | RB 1] Throughput = 0.11981 Mbps
