[UE 12 | RBs:  1 ] Total Throughput = 0.95020 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.83142 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.95020 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.83142 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.95020 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.76643 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.20439 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.09490 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.31388 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.76643 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.31717 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.83820 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.95794 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19743 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.43692 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.87199 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19899 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.98099 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.87199 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.87199 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.07384 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.07384 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.19315 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.19315 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.31247 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.31496 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.20538 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.09580 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.43832 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.87664 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.83731 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.07655 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.95693 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.55501 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.19616 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.30848 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.87232 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.30848 Mbps
