Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,1,1,0.95482,0.02502
0,2,1,0.83547,0.02189
0,4,1,0.83547,0.02189
0,8,1,0.00000,0.00000
0,9,1,0.95482,0.02502
6,3,1,0.88059,0.02308
6,5,1,0.00000,0.00000
6,6,1,0.77052,0.02019
6,7,1,0.00000,0.00000
6,10,1,0.00000,0.00000
110,1,1,0.65452,0.01715
110,2,1,0.87269,0.02287
110,4,1,0.00000,0.00000
110,8,1,0.98178,0.02573
110,9,1,0.76360,0.02001
116,3,1,0.00000,0.00000
116,5,1,0.87195,0.02285
116,6,1,0.00000,0.00000
116,7,1,0.87195,0.02285
116,10,1,0.65396,0.01714
216,3,1,0.83800,0.02196
216,5,1,0.00000,0.00000
216,6,1,0.95771,0.02510
216,7,1,0.83800,0.02196
216,10,1,0.00000,0.00000
220,1,1,0.98254,0.02575
220,2,1,0.76420,0.02003
220,4,1,0.87337,0.02289
220,8,1,0.65502,0.01717
220,9,1,0.00000,0.00000
320,1,1,0.71884,0.01884
320,2,1,0.00000,0.00000
320,4,1,0.71884,0.01884
320,8,1,1.07826,0.02826
320,9,1,0.95845,0.02512
325,3,1,0.87374,0.02290
325,5,1,0.76452,0.02003
325,6,1,0.65531,0.01717
325,7,1,0.00000,0.00000
325,10,1,0.87374,0.02290
426,3,1,0.00000,0.00000
426,5,1,0.95583,0.02505
426,6,1,0.00000,0.00000
426,7,1,0.95583,0.02505
426,10,1,0.83635,0.02192
431,1,1,0.00000,0.00000
431,2,1,0.86557,0.02268
431,4,1,0.86557,0.02268
431,8,1,0.64918,0.01701
431,9,1,0.75737,0.01985
535,3,1,0.76586,0.02007
535,5,1,0.00000,0.00000
535,6,1,0.87527,0.02294
535,7,1,0.76586,0.02007
535,10,1,0.00000,0.00000
540,1,1,0.98963,0.02593
540,2,1,0.65975,0.01729
540,4,1,0.76971,0.02017
540,8,1,0.00000,0.00000
540,9,1,0.87967,0.02305
635,3,1,0.95700,0.02508
635,5,1,0.71775,0.01881
635,6,1,0.83737,0.02194
635,7,1,0.00000,0.00000
635,10,1,0.95700,0.02508
641,1,1,0.71350,0.01870
641,2,1,0.95134,0.02493
641,4,1,0.00000,0.00000
641,8,1,1.07025,0.02805
641,9,1,0.00000,0.00000
736,3,1,0.00000,0.00000
736,5,1,0.00000,0.00000
736,6,1,0.00000,0.00000
736,7,1,0.95811,0.02511
736,10,1,0.71858,0.01883
750,1,1,0.98592,0.02584
750,2,1,0.00000,0.00000
750,4,1,0.87638,0.02297
750,8,1,0.65728,0.01722
750,9,1,0.76683,0.02010
836,3,1,0.83798,0.02196
836,5,1,0.95770,0.02510
836,6,1,0.95770,0.02510
836,7,1,0.71827,0.01882
836,10,1,0.00000,0.00000
860,1,1,0.00000,0.00000
860,2,1,0.76378,0.02002
860,4,1,0.76378,0.02002
860,8,1,0.87290,0.02287
860,9,1,0.87290,0.02287
946,3,1,0.00000,0.00000
946,5,1,0.76363,0.02001
946,6,1,0.00000,0.00000
946,7,1,0.00000,0.00000
946,10,1,0.87272,0.02287
970,1,1,0.65217,0.01709
970,2,1,0.86956,0.02279
970,4,1,0.86956,0.02279
970,8,1,0.00000,0.00000
970,9,1,0.65217,0.01709
1046,3,1,0.95309,0.02498
1046,5,1,0.00000,0.00000
1046,6,1,0.83395,0.02185
1046,7,1,0.95309,0.02498
1046,10,1,0.83395,0.02185
1070,1,1,1.07761,0.02824
1070,2,1,0.83814,0.02196
1070,4,1,0.00000,0.00000
1070,8,1,0.83814,0.02196
1070,9,1,0.23947,0.00628
1156,3,1,0.65507,0.01717
1156,5,1,0.87343,0.02289
1156,6,1,0.87343,0.02289
1156,7,1,0.76425,0.02003
1156,10,1,0.00000,0.00000
1170,1,1,0.71809,0.01882
1170,2,1,0.00000,0.00000
1170,4,1,0.83777,0.02195
1170,8,1,0.95746,0.02509
1170,9,1,0.83777,0.02195
1266,3,1,0.87440,0.02291
1266,5,1,0.76510,0.02005
1266,6,1,0.76510,0.02005
1266,7,1,0.00000,0.00000
1266,10,1,0.87440,0.02291
1270,1,1,0.00000,0.00000
1270,2,1,0.95779,0.02510
1270,4,1,0.95779,0.02510
1270,8,1,0.83807,0.02196
1270,9,1,0.71834,0.01882
1366,3,1,0.83226,0.02181
1366,5,1,0.95116,0.02493
1366,6,1,0.00000,0.00000
1366,7,1,0.95116,0.02493
1366,10,1,0.71337,0.01869
1380,1,1,0.87588,0.02295
1380,2,1,0.76639,0.02008
1380,4,1,0.65691,0.01721
1380,8,1,0.00000,0.00000
1380,9,1,0.98536,0.02582
1476,3,1,0.00000,0.00000
1476,5,1,0.76688,0.02010
1476,6,1,0.87643,0.02297
1476,7,1,0.76688,0.02010
1476,10,1,0.87643,0.02297
1490,1,1,0.76272,0.01999
1490,2,1,0.87168,0.02284
1490,4,1,0.00000,0.00000
1490,8,1,0.87168,0.02284
1490,9,1,0.65376,0.01713
1576,3,1,0.95858,0.02512
1576,5,1,0.00000,0.00000
1576,6,1,0.71893,0.01884
1576,7,1,0.95858,0.02512
