Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,1,1,1.19235,0.03125
0,5,1,0.00000,0.00000
0,6,1,0.71541,0.01875
0,18,1,0.11924,0.00312
0,20,1,0.59618,0.01562
110,1,1,1.09116,0.02859
110,5,1,0.00000,0.00000
110,6,1,1.41851,0.03717
110,18,1,1.09116,0.02859
110,20,1,1.52763,0.04003
211,1,1,0.83415,0.02186
211,5,1,1.66830,0.04372
211,6,1,0.95331,0.02498
211,18,1,1.42997,0.03747
211,20,1,0.83415,0.02186
321,1,1,0.32729,0.00858
321,5,1,2.61831,0.06861
321,6,1,0.98187,0.02573
321,18,1,1.09096,0.02859
321,20,1,1.52735,0.04002
431,1,1,2.60588,0.06829
431,5,1,0.00000,0.00000
431,6,1,1.30294,0.03414
431,18,1,1.41152,0.03699
431,20,1,0.76005,0.01992
541,1,1,0.00000,0.00000
541,5,1,0.00000,0.00000
541,6,1,0.87276,0.02287
541,18,1,0.65457,0.01715
541,20,1,0.76367,0.02001
642,1,1,0.00000,0.00000
642,5,1,1.78635,0.04681
642,6,1,0.71454,0.01872
642,18,1,1.54817,0.04057
642,20,1,1.30999,0.03433
750,1,1,1.65784,0.04344
750,5,1,2.65255,0.06951
750,6,1,1.65784,0.04344
750,18,1,0.55261,0.01448
750,20,1,1.10523,0.02896
850,1,1,2.86313,0.07503
850,5,1,0.00000,0.00000
850,6,1,0.00000,0.00000
850,18,1,0.59649,0.01563
850,20,1,0.71578,0.01876
960,1,1,0.00000,0.00000
960,5,1,0.00000,0.00000
960,6,1,1.52783,0.04004
960,18,1,1.52783,0.04004
960,20,1,1.09131,0.02860
1070,1,1,0.00000,0.00000
1070,5,1,0.87126,0.02283
1070,6,1,1.41580,0.03710
1070,18,1,1.08908,0.02854
1070,20,1,1.08908,0.02854
1180,1,1,1.64224,0.04304
1180,5,1,3.39397,0.08894
1180,6,1,1.09483,0.02869
1180,18,1,1.09483,0.02869
1180,20,1,0.98535,0.02582
1280,1,1,2.87102,0.07524
1280,5,1,0.00000,0.00000
1280,6,1,0.95701,0.02508
1280,18,1,0.83738,0.02194
1280,20,1,1.19626,0.03135
1391,1,1,0.00000,0.00000
1391,5,1,0.00000,0.00000
1391,6,1,1.29968,0.03406
1391,18,1,1.62460,0.04257
1391,20,1,1.19137,0.03122
1500,1,1,0.00000,0.00000
1500,5,1,1.64563,0.04312
1500,6,1,0.98738,0.02587
1500,18,1,0.76796,0.02012
1500,20,1,1.09708,0.02875
1600,1,1,1.78548,0.04679
1600,5,1,2.26160,0.05927
1600,6,1,0.95225,0.02495
1600,18,1,1.19032,0.03119
1600,20,1,1.66644,0.04367
1711,1,1,2.05996,0.05398
1711,5,1,0.21684,0.00568
1711,6,1,1.30103,0.03409
1711,18,1,1.08419,0.02841
1711,20,1,0.43368,0.01136
1820,1,1,0.11004,0.00288
1820,5,1,2.09078,0.05479
1820,6,1,0.99037,0.02595
1820,18,1,0.77029,0.02019
1820,20,1,0.99037,0.02595
1921,1,1,2.26275,0.05930
1921,5,1,0.47637,0.01248
1921,6,1,0.59546,0.01560
1921,18,1,1.19092,0.03121
1921,20,1,1.66729,0.04369
2030,1,1,0.32827,0.00860
2030,5,1,0.87540,0.02294
2030,6,1,1.20367,0.03154
2030,18,1,0.98482,0.02581
2030,20,1,0.32827,0.00860
2140,1,1,1.09083,0.02859
2140,5,1,1.09083,0.02859
2140,6,1,1.09083,0.02859
2140,18,1,1.52717,0.04002
2140,20,1,2.07258,0.05431
2240,1,1,1.55545,0.04076
2240,5,1,1.07685,0.02822
2240,6,1,0.95720,0.02508
2240,18,1,0.47860,0.01254
2240,20,1,0.35895,0.00941
2341,1,1,1.19061,0.03120
2341,5,1,1.19061,0.03120
2341,6,1,1.42874,0.03744
2341,18,1,1.54780,0.04056
2341,20,1,1.19061,0.03120
2451,1,1,0.54180,0.01420
2451,5,1,0.75852,0.01988
2451,6,1,0.97524,0.02556
2451,18,1,0.54180,0.01420
2451,20,1,0.65016,0.01704
2561,1,1,1.09143,0.02860
2561,5,1,1.52800,0.04004
2561,6,1,0.43657,0.01144
2561,18,1,1.52800,0.04004
2561,20,1,1.09143,0.02860
2670,1,1,0.98866,0.02591
2670,5,1,0.76896,0.02015
2670,6,1,1.86747,0.04894
2670,18,1,0.65911,0.01727
2670,20,1,1.31821,0.03454
2772,1,1,1.18057,0.03094
2772,5,1,1.53475,0.04022
2772,6,1,0.11806,0.00309
2772,18,1,0.70834,0.01856
