Time_ms,UE_ID,Mean_SNR_dB,Std_SNR_dB,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
0,12169,63.5,0.0,20.778,0.0
0,15599,52.5,0.0,17.179,0.0
0,20945,60.12068965517241,5.135060113039771,19.672310344827586,1.6801543105885133
0,22873,59.03448275862069,14.993409882394259,19.342448275862065,4.810800865806372
0,30556,60.87931034482759,10.584401572608925,19.92851724137931,3.4214096992393728
0,33952,25.96551724137931,27.290739871953285,8.683379310344828,8.79182066880426
0,36997,63.5,0.0,20.778,0.0
0,40252,56.0,0.0,18.324,0.0
0,45898,63.5,0.0,20.778,0.0
0,48787,63.5,0.0,20.778,0.0
100,12169,63.5,0.0,20.778,0.0
100,15599,52.5,0.0,17.179,0.0
100,20945,59.3448275862069,5.418393687042616,19.41844827586207,1.7728667379257101
100,22873,59.03448275862069,14.993409882394259,19.342448275862065,4.810800865806372
100,30556,60.275862068965516,10.675059557291666,19.73106896551724,3.451906698075246
100,33952,25.74137931034483,26.996567470188015,8.610034482758621,8.695665395893514
100,36997,63.5,0.0,20.778,0.0
100,40252,56.0,0.0,18.324,0.0
100,45898,63.5,0.0,20.778,0.0
100,48787,63.5,0.0,20.778,0.0
200,12169,63.5,0.0,20.778,0.0
200,15599,52.5,0.0,17.179,0.0
200,20945,59.39655172413793,5.357536931318659,19.435344827586206,1.7529846237582924
200,22873,59.03448275862069,14.993409882394259,19.342448275862065,4.810800865806372
200,30556,59.96551724137931,10.707916826284217,19.62948275862069,3.4630522418885414
200,33952,25.74137931034483,26.996567470188015,8.610034482758621,8.695665395893514
200,36997,63.5,0.0,20.778,0.0
200,40252,56.0,0.0,18.324,0.0
200,45898,63.5,0.0,20.778,0.0
200,48787,63.5,0.0,20.778,0.0
300,12169,63.5,0.0,20.778,0.0
300,15599,52.5,0.0,17.179,0.0
300,20945,59.793103448275865,5.214192927172277,19.56510344827586,1.7060722925737013
300,22873,59.03448275862069,14.993409882394259,19.342448275862065,4.810800865806372
300,30556,60.224137931034484,10.699287532101438,19.71410344827586,3.4599938619353843
300,33952,24.0,26.532998322843202,8.050137931034483,8.54752997205349
300,36997,63.5,0.0,20.778,0.0
300,40252,56.0,0.0,18.324,0.0
300,45898,63.5,0.0,20.778,0.0
300,48787,63.5,0.0,20.778,0.0
400,12169,63.5,0.0,20.778,0.0
400,15599,52.5,0.0,17.179,0.0
400,20945,59.793103448275865,5.214192927172277,19.56510344827586,1.7060722925737013
400,22873,59.03448275862069,14.993409882394259,19.342448275862065,4.810800865806372
400,30556,60.55172413793103,10.647220317651497,19.821310344827587,3.4424852536612076
400,33952,24.0,26.532998322843202,8.050137931034483,8.54752997205349
400,36997,63.5,0.0,20.778,0.0
400,40252,56.0,0.0,18.324,0.0
400,45898,63.5,0.0,20.778,0.0
400,48787,63.5,0.0,20.778,0.0
500,12169,63.5,0.0,20.778,0.0
500,15599,52.5,0.0,17.179,0.0
500,20945,59.660714285714285,5.260005582711746,19.521785714285716,1.721061867679646
500,22873,58.875,15.243471583793697,19.29117857142857,4.891005085328474
500,30556,60.42857142857143,10.838643387259795,19.781321428571427,3.504430656496212
500,33952,24.625,26.801611684540337,8.251428571428571,8.634098998345312
500,36997,63.5,0.0,20.778,0.0
500,40252,56.0,0.0,18.324,0.0
500,45898,63.5,0.0,20.778,0.0
500,48787,63.5,0.0,20.778,0.0
600,12169,63.5,0.0,20.778,0.0
600,15599,52.5,0.0,17.179,0.0
600,20945,60.354166666666664,5.016232707890469,19.748708333333333,1.6412627026341546
600,22873,58.333333333333336,16.420868659612132,19.118374999999997,5.268633473619874
600,30556,59.916666666666664,11.661593099709336,19.61520833333333,3.7703200530639602
600,33952,27.645833333333332,27.867496715500046,9.224333333333332,8.977671895690255
600,36997,63.5,0.0,20.778,0.0
600,40252,56.0,0.0,18.324,0.0
600,45898,63.5,0.0,20.778,0.0
600,48787,63.5,0.0,20.778,0.0
700,12169,63.5,0.0,20.778,0.0
700,15599,52.5,0.0,17.179,0.0
700,20945,58.34782608695652,5.5194589297747605,19.09221739130435,1.8059433434312924
700,22873,60.391304347826086,12.222331017202533,19.77778260869565,3.9187899101232504
700,30556,61.32608695652174,4.2174116783665,20.066695652173912,1.379937101161518
700,33952,18.91304347826087,24.02775486708172,6.41204347826087,7.741742277938713
700,36997,63.5,0.0,20.778,0.0
700,40252,56.0,0.0,18.324,0.0
700,45898,63.5,0.0,20.778,0.0
700,48787,63.5,0.0,20.778,0.0
800,12169,63.5,0.0,20.778,0.0
800,15599,52.5,0.0,17.179,0.0
800,20945,59.479166666666664,5.319118852058003,19.462374999999998,1.740413214615625
800,22873,58.104166666666664,16.383965628325303,19.043375,5.256779554826649
800,30556,62.25,3.378319623460881,20.369,1.1053861807964
800,33952,20.520833333333332,24.78449689285389,6.928833333333333,7.983636050053268
800,36997,63.5,0.0,20.778,0.0
800,40252,56.0,0.0,18.324,0.0
800,45898,63.5,0.0,20.778,0.0
800,48787,63.5,0.0,20.778,0.0
900,12169,63.5,0.0,20.778,0.0
900,15599,52.5,0.0,17.179,0.0
900,20945,58.76,5.473648996175526,19.227079999999997,1.7909554926537583
900,22873,60.66,11.634825596744745,19.8628,3.737480300951431
900,30556,62.3,3.3166247903553976,20.38536,1.0851996314042869
900,33952,24.52,26.791043279424564,8.21736,8.630594359023021
900,36997,63.5,0.0,20.778,0.0
900,40252,56.0,0.0,18.324,0.0
900,45898,63.5,0.0,20.778,0.0
900,48787,63.5,0.0,20.778,0.0
1000,12169,63.5,0.0,20.778,0.0
1000,15599,52.5,0.0,17.179,0.0
1000,20945,59.76086956521739,5.254585800684854,19.554521739130433,1.7193368930429709
1000,22873,58.19565217391305,16.745921572970033,19.074652173913044,5.3726403666988
1000,30556,61.32608695652174,4.2174116783665,20.066695652173912,1.3799371011615176
1000,33952,28.543478260869566,28.136805822573983,9.514565217391304,9.063588897973167
1000,36997,63.5,0.0,20.778,0.0
1000,40252,56.0,0.0,18.324,0.0
1000,45898,63.5,0.0,20.778,0.0
1000,48787,63.5,0.0,20.778,0.0
1100,12169,63.5,0.0,20.778,0.0
1100,15599,52.5,0.0,17.179,0.0
