Time_ms,UE_ID,SNR_total_linear,Mean_UL_SE_bit_per_s_Hz
0,UE0,631258572.4086252,27.771973044084667
100,UE0,1138160363.2644544,28.57985386355185
200,UE0,1209293638.5951257,28.66294158227407
300,UE0,1138973798.8238182,28.580833043909518
400,UE0,1232881768.1864367,28.68941794344333
500,UE0,1150410623.5973186,28.594526670976467
600,UE0,1246639127.3524065,28.704626916805253
700,UE0,1167670328.0367458,28.614936573071155
800,UE0,1254474651.3373957,28.71321436551082
900,UE0,1173592163.2177265,28.621869797745905
1000,UE0,1250791537.2949834,28.709184507524906
1100,UE0,1167526064.4711413,28.614767232355437
1200,UE0,1240825050.5336795,28.698219944291
1300,UE0,1166225935.1329017,28.613240158506567
1400,UE0,1260540750.0839808,28.71982583211354
1500,UE0,1163048622.1940045,28.609501053021734
1600,UE0,1247758487.9216907,28.705856994349837
1700,UE0,1178069605.4948633,28.627088755737386
1800,UE0,1246964159.6869664,28.70498421214154
1900,UE0,1172147770.3138826,28.620181948401907
2000,UE0,1247861117.9461594,28.70596972037236
2100,UE0,1152242754.7649841,28.596707673791453
2200,UE0,1209076364.6228194,28.662695311373916
2300,UE0,1156502923.0698144,28.601765679253226
2400,UE0,1197665484.9576716,28.649698973019625
2500,UE0,1117865852.2039356,28.555194929144204
2600,UE0,1171810676.2540832,28.619787736861653
2700,UE0,1098800217.322754,28.531617858356352
2800,UE0,1167333233.9769464,28.614540849704994
2900,UE0,1111582479.4850442,28.547469462893343
3000,UE0,1174699462.0617712,28.623162328808387
3100,UE0,1103421923.165495,28.537370534866263
3200,UE0,1161699925.9271746,28.6079107995276
3300,UE0,1094934625.0654578,28.526787709682946
3400,UE0,1161004808.8250628,28.6070904628661
3500,UE0,1100055294.228001,28.533182452975673
3600,UE0,1192131388.040512,28.643351297945937
3700,UE0,1110166044.5549097,28.54572191162259
3800,UE0,1174810942.7353098,28.62329239078538
3900,UE0,1100804570.0297332,28.534115658869123
4000,UE0,1186670301.5300543,28.637058414028047
4100,UE0,1100660306.4641287,28.53393603127991
4200,UE0,1164715880.8411844,28.611464377815867
4300,UE0,1109109389.9148867,28.544416792866915
4400,UE0,1168543258.4492013,28.615960797756614
4500,UE0,1100804570.0297332,28.534115658869123
4600,UE0,1165327730.861025,28.61218417323451
4700,UE0,1082488210.9502833,28.511118959983687
4800,UE0,1150876964.0388713,28.59508214062042
4900,UE0,1084076867.4197319,28.513128915631547
5000,UE0,1155149401.8846283,28.60016069516726
5100,UE0,1080060173.813118,28.508041320011564
5200,UE0,1154515025.6482913,28.599407814455713
5300,UE0,1080204437.3787227,28.508224373433105
5400,UE0,1152276304.5097232,28.59674757968645
5500,UE0,1076521323.3363101,28.503543263910256
5600,UE0,1135737917.8983188,28.576933672528952
5700,UE0,1064821916.5399534,28.488566774763587
5800,UE0,1147293061.129071,28.59080747083446
5900,UE0,1085331944.3249793,28.514714747445996
6000,UE0,1143321419.9554496,28.586054703252515
6100,UE0,1088364993.6982718,28.51853954900545
6200,UE0,1147004533.9978619,28.590462751970723
6300,UE0,1102158858.0675924,28.535800783200116
6400,UE0,1185824083.0786245,28.636080714387578
6500,UE0,1121486819.354073,28.559627244042154
6600,UE0,1175720170.5354292,28.624352705682227
6700,UE0,1104804169.177064,28.53908634806596
6800,UE0,1181209215.0195966,28.630736503206727
6900,UE0,1118236496.0084739,28.555649281946447
7000,UE0,1182003543.2543206,28.63165785467716
7100,UE0,1119248098.2155046,28.556888586038077
7200,UE0,1206196685.081759,28.65942712909453
7300,UE0,1124375605.161761,28.56315306757237
7400,UE0,1192620094.6847444,28.64391303524489
7500,UE0,1128997311.0045023,28.568775159970727
7600,UE0,1207519340.6364946,28.66092919424202
7700,UE0,1140453243.1026425,28.582612147011975
7800,UE0,1204653081.0453026,28.657672061059074
7900,UE0,1137100289.7325747,28.57857673973047
8000,UE0,1211737619.7826316,28.66570868797395
8100,UE0,1143486292.475935,28.586252330476057
8200,UE0,1216208224.276055,28.670755950391623
8300,UE0,1145074948.9453835,28.588155141533125
8400,UE0,1207253339.7217817,28.6606272442534
8500,UE0,1143486292.475935,28.586252330476057
8600,UE0,1219241273.6493478,28.674169676830516
8700,UE0,1136770129.06023,28.578178735424245
8800,UE0,1217002552.5107794,28.67165079664414
8900,UE0,1132581213.9143023,28.57311899244039
9000,UE0,1198875509.4299264,28.651082977410645
9100,UE0,1137734665.9689116,28.57934114762503
9200,UE0,1199064825.4285233,28.65129938729063
9300,UE0,1145165053.8113685,28.58826298538439
9400,UE0,1212397941.1273212,28.66645535433134
9500,UE0,1127688075.399635,28.56718487490989
9600,UE0,1200048469.6618443,28.65242325568127
9700,UE0,1133609910.580616,28.574363274866943
9800,UE0,1200698534.330964,28.653165485362475
9900,UE0,1132959845.9114962,28.573577106392076
10000,UE0,1201492862.5656886,28.654071886721667
10100,UE0,1130721124.7729278,28.570866209116637
10200,UE0,1203948857.6765633,28.656870616374626
10300,UE0,1157947315.9736586,28.603476347106344
10400,UE0,1219475642.080937,28.674433107213886
10500,UE0,1137798825.7265437,28.579418434833695
10600,UE0,1223303019.6889539,28.67872793435503
10700,UE0,1138593153.961268,28.580374926323532
10800,UE0,1200698534.330964,28.653165485362475
10900,UE0,1134404238.81534,28.575323299546387
11000,UE0,1199254141.4271202,28.651515763005147
11100,UE0,1164230688.69255,28.610893316968763
11200,UE0,1219475642.080937,28.674433107213886
11300,UE0,1140037546.8651118,28.58211248547973
11400,UE0,1214348135.1346805,28.66865818804465
11500,UE0,1148198103.184661,28.591888211012073
11600,UE0,1210665021.092268,28.66449496632344
11700,UE0,1146609446.7152123,28.589990579277618
11800,UE0,1212109413.996112,28.666129148820772
11900,UE0,1127444856.3189762,28.56688924141552
12000,UE0,1201159283.0014873,28.653691314854647
12100,UE0,1131470400.5746598,28.57177411429123
12200,UE0,1191493592.9123187,28.6426178464154
12300,UE0,1105465438.960843,28.539906438184147
12400,UE0,1161853673.8836741,28.608092177606256
12500,UE0,1096596925.6834335,28.52886687997752
12600,UE0,1172948068.4439037,28.621117395780868
12700,UE0,1096353072.8609493,28.5285620713899
