Time_ms,UE_ID,Mean_SNR_dB,Mean_UL_SE_bit_per_s_Hz
0,0,180744470.64617354,26.05790746586143
100,0,361537844.8211518,27.00809286387189
200,0,363631935.4518414,27.01600848724087
300,0,361626632.14719427,27.00842940801192
400,0,358490483.19491863,26.996491604326575
500,0,357835756.8958213,26.993986203678773
600,0,359990180.3877307,27.002213201305644
700,0,358935423.55012524,26.998191620042494
800,0,358871326.0838711,26.997946848195763
900,0,360257901.68272334,27.003232095212923
1000,0,360651142.2689607,27.004727318467342
1100,0,344928772.56419414,26.94363707884508
1200,0,320792866.5478046,26.844213483389495
1300,0,318574345.5896411,26.83470211383195
1400,0,321930306.02636814,26.849064501897715
1500,0,315495700.27268445,26.82139285190727
1600,0,324392450.50574267,26.859506757653442
1700,0,324252191.64458066,26.85891403487373
1800,0,341854584.7145363,26.93136716033033
1900,0,341968895.1753024,26.931825376182033
2000,0,339908581.9637543,26.923542973110678
2100,0,337735525.1924274,26.914752767499532
2200,0,337893775.4492749,26.91539481046852
2300,0,336369201.76257014,26.90919686166285
2400,0,336762442.34880745,26.910798212589924
2500,0,343539473.219365,26.938105607779868
2600,0,375653659.59462976,27.060586523922737
2700,0,356412639.8124833,26.988524601397536
2800,0,358662521.6768168,26.997149174227857
2900,0,357894119.4136215,26.994209721941335
3000,0,354118593.74866253,26.979674492624135
3100,0,354118593.7486626,26.979674492624135
3200,0,353262205.6666956,26.976355963005947
3300,0,321630066.98021597,26.847785691829067
3400,0,317561822.9274707,26.83033913436766
3500,0,316220711.51545507,26.824538795349294
3600,0,315014217.7530805,26.819299622511647
3700,0,310401392.9245975,26.799081805603983
3800,0,313529238.705217,26.812823516294497
3900,0,310849137.1523112,26.801057371121047
4000,0,315954852.85530716,26.82338602905174
4100,0,334737837.07246447,26.90253357867268
4200,0,338388561.45824474,26.917400286990237
4300,0,337986503.9630524,26.915770883045035
4400,0,338341099.81485474,26.917208041704384
4500,0,351840657.9144935,26.970829621722466
4600,0,355830194.95489347,26.986283017687626
4700,0,368547562.5290218,27.034411800888716
4800,0,368438555.2460692,27.03400636298347
4900,0,386869630.0517307,27.100908629851666
5000,0,402396674.5571717,27.154840988047752
5100,0,406599897.47220594,27.169082883339282
5200,0,404213693.33125013,27.161015810691243
5300,0,389158945.3827254,27.108995068610806
5400,0,410555069.6249839,27.182350487221758
5500,0,415758758.483232,27.19961284766463
