Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
0,32893,62.00,20.287
0,5794,63.50,20.778
0,64248,63.50,20.778
0,33135,52.50,17.179
0,38070,63.50,20.778
2,16233,59.50,19.469
2,2609,57.00,18.651
2,65104,52.00,17.015
2,17950,56.00,18.324
2,1382,53.50,17.506
10,32893,62.00,20.287
10,5794,63.50,20.778
10,64248,63.50,20.778
10,33135,52.50,17.179
10,38070,63.50,20.778
13,16233,59.50,19.469
13,2609,57.00,18.651
13,65104,52.00,17.015
13,17950,56.00,18.324
13,1382,53.50,17.506
20,32893,62.00,20.287
20,5794,63.50,20.778
20,64248,63.50,20.778
20,33135,52.50,17.179
20,38070,63.50,20.778
24,16233,59.50,19.469
24,2609,57.00,18.651
24,65104,52.00,17.015
24,17950,56.00,18.324
24,1382,53.50,17.506
30,32893,62.00,20.287
30,5794,63.50,20.778
30,64248,63.50,20.778
30,33135,52.50,17.179
30,38070,63.50,20.778
32,16233,59.50,19.469
32,2609,57.00,18.651
32,65104,52.00,17.015
32,17950,56.00,18.324
32,1382,53.50,17.506
40,32893,62.00,20.287
40,5794,63.50,20.778
40,64248,63.50,20.778
40,33135,52.50,17.179
40,38070,63.50,20.778
43,16233,59.50,19.469
43,2609,57.00,18.651
43,65104,52.00,17.015
43,17950,56.00,18.324
43,1382,53.50,17.506
50,32893,62.00,20.287
50,5794,63.50,20.778
50,64248,63.50,20.778
50,33135,52.50,17.179
50,38070,63.50,20.778
52,16233,59.50,19.469
52,2609,57.00,18.651
52,65104,52.00,17.015
52,17950,56.00,18.324
52,1382,53.50,17.506
62,32893,62.00,20.287
62,5794,63.50,20.778
62,64248,63.50,20.778
62,33135,52.50,17.179
62,38070,63.50,20.778
62,16233,59.50,19.469
62,2609,57.00,18.651
62,65104,52.00,17.015
62,17950,56.00,18.324
62,1382,53.50,17.506
71,32893,62.00,20.287
71,5794,63.50,20.778
71,64248,63.50,20.778
71,33135,52.50,17.179
71,38070,63.50,20.778
73,16233,59.50,19.469
73,2609,57.00,18.651
73,65104,52.00,17.015
73,17950,56.00,18.324
73,1382,53.50,17.506
81,32893,62.00,20.287
81,5794,63.50,20.778
81,64248,63.50,20.778
81,33135,52.50,17.179
81,38070,63.50,20.778
84,16233,59.50,19.469
84,2609,57.00,18.651
84,65104,52.00,17.015
84,17950,56.00,18.324
84,1382,53.50,17.506
91,32893,62.00,20.287
91,5794,63.50,20.778
91,64248,63.50,20.778
91,33135,52.50,17.179
91,38070,63.50,20.778
93,16233,59.50,19.469
93,2609,57.00,18.651
93,65104,52.00,17.015
93,17950,56.00,18.324
93,1382,53.50,17.506
100,32893,62.00,20.287
100,5794,63.50,20.778
100,64248,63.50,20.778
100,33135,52.50,17.179
100,38070,63.50,20.778
102,16233,59.50,19.469
102,2609,57.00,18.651
102,65104,52.00,17.015
102,17950,56.00,18.324
102,1382,53.50,17.506
111,32893,62.00,20.287
111,5794,63.50,20.778
111,64248,63.50,20.778
111,33135,52.50,17.179
111,38070,63.50,20.778
113,16233,59.50,19.469
113,2609,57.00,18.651
113,65104,52.00,17.015
113,17950,56.00,18.324
113,1382,53.50,17.506
123,16233,59.50,19.469
123,2609,57.00,18.651
123,65104,52.00,17.015
123,17950,56.00,18.324
123,1382,53.50,17.506
124,32893,62.00,20.287
124,5794,63.50,20.778
124,64248,63.50,20.778
124,33135,52.50,17.179
124,38070,63.50,20.778
130,32893,62.00,20.287
130,5794,63.50,20.778
130,64248,63.50,20.778
130,33135,52.50,17.179
130,38070,63.50,20.778
134,16233,59.50,19.469
134,2609,57.00,18.651
134,65104,52.00,17.015
134,17950,56.00,18.324
134,1382,53.50,17.506
140,32893,62.00,20.287
140,5794,63.50,20.778
140,64248,63.50,20.778
140,33135,52.50,17.179
140,38070,63.50,20.778
142,16233,59.50,19.469
142,2609,57.00,18.651
142,65104,52.00,17.015
142,17950,56.00,18.324
142,1382,53.50,17.506
150,32893,62.00,20.287
150,5794,63.50,20.778
150,64248,63.50,20.778
150,33135,52.50,17.179
150,38070,63.50,20.778
152,16233,59.50,19.469
152,2609,57.00,18.651
152,65104,52.00,17.015
152,17950,56.00,18.324
152,1382,53.50,17.506
160,32893,62.00,20.287
160,5794,63.50,20.778
160,64248,63.50,20.778
160,33135,52.50,17.179
160,38070,63.50,20.778
163,16233,59.50,19.469
163,2609,57.00,18.651
163,65104,52.00,17.015
163,17950,56.00,18.324
163,1382,53.50,17.506
170,32893,62.00,20.287
170,5794,63.50,20.778
170,64248,63.50,20.778
170,33135,52.50,17.179
170,38070,63.50,20.778
173,16233,59.50,19.469
173,2609,57.00,18.651
173,65104,52.00,17.015
173,17950,56.00,18.324
173,1382,53.50,17.506
180,32893,62.00,20.287
180,5794,63.50,20.778
180,64248,63.50,20.778
180,33135,52.50,17.179
180,38070,63.50,20.778
182,16233,59.50,19.469
182,2609,57.00,18.651
182,65104,52.00,17.015
182,17950,56.00,18.324
182,1382,53.50,17.506
190,32893,62.00,20.287
190,5794,63.50,20.778
190,64248,63.50,20.778
190,33135,52.50,17.179
190,38070,63.50,20.778
193,16233,59.50,19.469
193,2609,57.00,18.651
193,65104,52.00,17.015
193,17950,56.00,18.324
193,1382,53.50,17.506
200,32893,62.00,20.287
200,5794,63.50,20.778
200,64248,63.50,20.778
200,33135,52.50,17.179
200,38070,63.50,20.778
202,16233,59.50,19.469
202,2609,57.00,18.651
202,65104,52.00,17.015
202,17950,56.00,18.324
202,1382,53.50,17.506
210,32893,62.00,20.287
210,5794,63.50,20.778
210,64248,63.50,20.778
210,33135,52.50,17.179
210,38070,63.50,20.778
213,16233,59.50,19.469
213,2609,57.00,18.651
213,65104,52.00,17.015
213,17950,56.00,18.324
213,1382,53.50,17.506
221,32893,62.00,20.287
221,5794,63.50,20.778
221,64248,63.50,20.778
221,33135,52.50,17.179
221,38070,63.50,20.778
222,16233,59.50,19.469
222,2609,57.00,18.651
222,65104,52.00,17.015
222,17950,56.00,18.324
222,1382,53.50,17.506
230,32893,62.00,20.287
230,5794,63.50,20.778
230,64248,63.50,20.778
230,33135,52.50,17.179
230,38070,63.50,20.778
233,16233,59.50,19.469
233,2609,57.00,18.651
233,65104,52.00,17.015
233,17950,56.00,18.324
233,1382,53.50,17.506
241,32893,62.00,20.287
241,5794,63.50,20.778
241,64248,63.50,20.778
241,33135,52.50,17.179
241,38070,63.50,20.778
243,16233,59.50,19.469
243,2609,57.00,18.651
243,65104,52.00,17.015
243,17950,56.00,18.324
243,1382,53.50,17.506
250,32893,62.00,20.287
250,5794,63.50,20.778
250,64248,63.50,20.778
250,33135,52.50,17.179
250,38070,63.50,20.778
252,16233,59.50,19.469
252,2609,57.00,18.651
252,65104,52.00,17.015
252,17950,56.00,18.324
252,1382,53.50,17.506
260,32893,62.00,20.287
260,5794,63.50,20.778
260,64248,63.50,20.778
260,33135,52.50,17.179
260,38070,63.50,20.778
263,16233,59.50,19.469
263,2609,57.00,18.651
263,65104,52.00,17.015
263,17950,56.00,18.324
263,1382,53.50,17.506
271,32893,62.00,20.287
271,5794,63.50,20.778
271,64248,63.50,20.778
271,33135,52.50,17.179
271,38070,63.50,20.778
273,16233,59.50,19.469
273,2609,57.00,18.651
273,65104,52.00,17.015
273,17950,56.00,18.324
273,1382,53.50,17.506
281,32893,62.00,20.287
281,5794,63.50,20.778
281,64248,63.50,20.778
281,33135,52.50,17.179
281,38070,63.50,20.778
283,16233,59.50,19.469
283,2609,57.00,18.651
283,65104,52.00,17.015
283,17950,56.00,18.324
283,1382,53.50,17.506
291,32893,62.00,20.287
