Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,5,1,1.07566,0.02819
110,5,1,1.09002,0.02856
210,5,1,1.07838,0.02826
320,5,1,1.09005,0.02857
420,5,1,1.07603,0.02820
530,5,1,0.87213,0.02285
630,5,1,1.31617,0.03449
740,5,1,0.98288,0.02576
840,5,1,1.07772,0.02824
949,5,1,1.20166,0.03149
1050,5,1,0.59641,0.01563
1160,5,1,1.41989,0.03721
1270,5,1,0.76183,0.01996
1380,5,1,1.19703,0.03137
1490,5,1,1.09045,0.02858
1600,5,1,1.19708,0.03137
1710,5,1,1.08945,0.02855
1820,5,1,0.98101,0.02571
1930,5,1,1.08862,0.02853
2040,5,1,1.09002,0.02856
2140,5,1,1.07839,0.02826
2250,5,1,0.76316,0.02000
2360,5,1,1.41632,0.03712
2460,5,1,0.59905,0.01570
2570,5,1,1.52686,0.04001
2670,5,1,1.07826,0.02826
2770,5,1,1.07799,0.02825
2880,5,1,0.76244,0.01998
2990,5,1,1.20053,0.03146
3099,5,1,0.87294,0.02288
3200,5,1,1.43329,0.03756
3300,5,1,1.19692,0.03137
3410,5,1,0.65475,0.01716
3520,5,1,1.30712,0.03425
3620,5,1,0.71880,0.01884
3720,5,1,1.19773,0.03139
3820,5,1,0.71843,0.01883
3930,5,1,1.41861,0.03718
4040,5,1,1.30839,0.03429
4140,5,1,0.83726,0.02194
4250,5,1,1.09111,0.02859
4360,5,1,1.19874,0.03141
4460,5,1,1.07626,0.02820
4569,5,1,1.09302,0.02864
4670,5,1,0.59893,0.01570
4780,5,1,1.19728,0.03138
4880,5,1,1.31632,0.03449
4980,5,1,1.07815,0.02825
5080,5,1,1.07777,0.02824
5190,5,1,1.08952,0.02855
5300,5,1,1.20122,0.03148
5410,5,1,0.87033,0.02281
5520,5,1,0.87209,0.02285
5620,5,1,1.55559,0.04076
5720,5,1,0.83880,0.02198
5830,5,1,1.09073,0.02858
5940,5,1,0.98163,0.02572
6050,5,1,0.97956,0.02567
6160,5,1,1.19825,0.03140
6270,5,1,1.19786,0.03139
6370,5,1,0.95847,0.02512
6470,5,1,1.19772,0.03139
6570,5,1,0.71783,0.01881
6680,5,1,1.31201,0.03438
6780,5,1,1.07551,0.02818
6890,5,1,1.19657,0.03136
7000,5,1,0.98339,0.02577
7100,5,1,0.83855,0.02197
7210,5,1,1.19687,0.03136
7320,5,1,1.09211,0.02862
7420,5,1,0.95767,0.02510
7520,5,1,1.31642,0.03450
7630,5,1,1.09199,0.02862
7730,5,1,0.59842,0.01568
7830,5,1,1.19595,0.03134
7940,5,1,1.20218,0.03150
8040,5,1,1.07769,0.02824
8150,5,1,0.87274,0.02287
8250,5,1,1.07668,0.02821
8350,5,1,1.07834,0.02826
8450,5,1,1.19745,0.03138
8550,5,1,1.19447,0.03130
8660,5,1,0.98547,0.02582
8770,5,1,1.09042,0.02857
8870,5,1,0.95580,0.02505
8980,5,1,1.19874,0.03141
9090,5,1,0.87092,0.02282
9190,5,1,1.19724,0.03137
9300,5,1,1.09103,0.02859
