Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
0,1,1,0.76237,0.01998
100,1,1,1.43595,0.03763
210,1,1,0.76404,0.02002
310,1,1,1.31606,0.03449
420,1,1,1.08761,0.02850
530,1,1,0.98059,0.02570
640,1,1,1.09094,0.02859
750,1,1,1.19626,0.03135
860,1,1,0.65489,0.01716
960,1,1,1.31624,0.03449
1070,1,1,1.30745,0.03426
1180,1,1,0.65459,0.01715
1280,1,1,1.43804,0.03768
1380,1,1,0.71874,0.01883
1480,1,1,1.43745,0.03767
1580,1,1,0.71877,0.01884
1690,1,1,1.30846,0.03429
1790,1,1,1.07587,0.02819
1900,1,1,0.87494,0.02293
2000,1,1,1.31550,0.03447
2100,1,1,1.07531,0.02818
2210,1,1,0.87099,0.02282
2320,1,1,1.19983,0.03144
2430,1,1,0.87190,0.02285
2540,1,1,1.19854,0.03141
2650,1,1,1.09223,0.02862
2750,1,1,0.71795,0.01881
2860,1,1,1.20032,0.03145
2970,1,1,1.19630,0.03135
3080,1,1,0.76350,0.02001
3180,1,1,1.31752,0.03453
3280,1,1,0.83794,0.02196
3390,1,1,1.31042,0.03434
3490,1,1,0.71796,0.01881
3600,1,1,1.31092,0.03435
3700,1,1,1.31383,0.03443
3810,1,1,1.19740,0.03138
3920,1,1,0.87207,0.02285
4020,1,1,0.95687,0.02508
4121,1,1,0.83430,0.02186
4230,1,1,1.20684,0.03163
4331,1,1,0.71494,0.01874
4440,1,1,1.53317,0.04018
4540,1,1,0.71847,0.01883
4651,1,1,1.19093,0.03121
4760,1,1,1.31675,0.03451
4870,1,1,1.19791,0.03139
4980,1,1,0.76349,0.02001
5080,1,1,1.07688,0.02822
5190,1,1,1.30802,0.03428
5300,1,1,0.76206,0.01997
5410,1,1,1.52725,0.04002
5510,1,1,0.83737,0.02194
5611,1,1,0.71198,0.01866
5720,1,1,1.31855,0.03455
5820,1,1,1.19721,0.03137
5930,1,1,1.20025,0.03145
6040,1,1,0.76276,0.01999
6150,1,1,1.30717,0.03425
6260,1,1,0.98004,0.02568
6370,1,1,0.76415,0.02002
6480,1,1,1.19841,0.03140
6580,1,1,1.43538,0.03761
6690,1,1,0.65457,0.01715
6790,1,1,1.19783,0.03139
6900,1,1,1.09132,0.02860
7010,1,1,1.20010,0.03145
7110,1,1,0.71873,0.01883
7210,1,1,1.43663,0.03765
7310,1,1,0.83727,0.02194
7420,1,1,1.19715,0.03137
7530,1,1,1.30982,0.03432
7631,1,1,0.71430,0.01872
7740,1,1,1.09618,0.02873
7840,1,1,1.19549,0.03133
7940,1,1,0.71808,0.01882
8050,1,1,1.30980,0.03432
8150,1,1,0.83695,0.02193
8260,1,1,1.20053,0.03146
8360,1,1,1.43805,0.03768
8470,1,1,0.65440,0.01715
8580,1,1,1.30805,0.03428
8680,1,1,0.95755,0.02509
8790,1,1,1.30739,0.03426
8900,1,1,0.65384,0.01713
9000,1,1,1.31807,0.03454
9110,1,1,0.98285,0.02576
9210,1,1,1.31482,0.03446
9320,1,1,0.65370,0.01713
9420,1,1,1.43555,0.03762
9520,1,1,0.95834,0.02511
9630,1,1,1.30948,0.03432
9730,1,1,0.59790,0.01567
9840,1,1,1.31276,0.03440
9940,1,1,1.07788,0.02825
10040,1,1,1.07809,0.02825
10140,1,1,0.83811,0.02196
10240,1,1,1.43651,0.03764
10340,1,1,0.83854,0.02197
10440,1,1,0.71850,0.01883
10550,1,1,1.20016,0.03145
10650,1,1,1.31591,0.03448
10750,1,1,0.83876,0.02198
10860,1,1,1.19767,0.03139
10970,1,1,1.31121,0.03436
11070,1,1,0.95831,0.02511
11170,1,1,0.71724,0.01880
11280,1,1,1.30939,0.03431
11380,1,1,0.71816,0.01882
11490,1,1,1.52822,0.04005
11590,1,1,0.71833,0.01882
11690,1,1,0.83720,0.02194
11800,1,1,1.41874,0.03718
11901,1,1,0.71605,0.01876
12010,1,1,1.42313,0.03729
12110,1,1,0.95706,0.02508
12220,1,1,0.98280,0.02575
12320,1,1,1.43475,0.03760
12430,1,1,0.65482,0.01716
12530,1,1,1.43607,0.03763
12640,1,1,0.98298,0.02576
12740,1,1,1.31427,0.03444
12850,1,1,0.65484,0.01716
12960,1,1,1.19922,0.03143
13060,1,1,1.43435,0.03759
13160,1,1,0.71795,0.01881
13270,1,1,0.76494,0.02005
13371,1,1,1.42024,0.03722
13480,1,1,1.31910,0.03457
13590,1,1,0.76410,0.02002
13700,1,1,1.30762,0.03427
13810,1,1,0.65452,0.01715
13910,1,1,1.43686,0.03765
14010,1,1,0.71800,0.01882
14120,1,1,1.30679,0.03424
14220,1,1,1.31755,0.03453
14330,1,1,0.65423,0.01714
14440,1,1,1.30789,0.03427
14540,1,1,0.95632,0.02506
14650,1,1,1.19899,0.03142
14760,1,1,1.20017,0.03145
14870,1,1,0.65381,0.01713
14970,1,1,1.43673,0.03765
15070,1,1,0.71864,0.01883
15180,1,1,1.30824,0.03428
15280,1,1,1.31649,0.03450
15390,1,1,0.54561,0.01430
15500,1,1,1.30667,0.03424
15600,1,1,0.71810,0.01882
15710,1,1,1.30938,0.03431
15820,1,1,1.30961,0.03432
15920,1,1,0.71853,0.01883
16020,1,1,1.43679,0.03765
16130,1,1,0.65308,0.01711
16240,1,1,1.19958,0.03144
16340,1,1,1.43475,0.03760
16450,1,1,0.65405,0.01714
16560,1,1,1.41611,0.03711
16670,1,1,0.65551,0.01718
16770,1,1,1.43557,0.03762
16880,1,1,1.19579,0.03134
16990,1,1,0.65693,0.01722
17090,1,1,1.43575,0.03762
17200,1,1,0.65221,0.01709
17300,1,1,1.31691,0.03451
17410,1,1,1.20153,0.03149
17511,1,1,1.19257,0.03125
17620,1,1,0.76572,0.02007
17730,1,1,1.30562,0.03421
17840,1,1,0.65527,0.01717
17940,1,1,1.43495,0.03760
18041,1,1,1.07500,0.02817
18141,1,1,1.19818,0.03140
18250,1,1,1.09379,0.02866
18360,1,1,1.19670,0.03136
18461,1,1,0.59765,0.01566
18570,1,1,1.20171,0.03149
18680,1,1,1.30817,0.03428
18780,1,1,0.71827,0.01882
18880,1,1,1.43722,0.03766
18990,1,1,0.65448,0.01715
19100,1,1,1.41585,0.03710
19210,1,1,0.65464,0.01716
19310,1,1,1.43689,0.03765
19420,1,1,1.08847,0.02852
19530,1,1,1.09109,0.02859
19630,1,1,0.71702,0.01879
19741,1,1,1.30449,0.03418
19850,1,1,0.65581,0.01719
19960,1,1,1.41722,0.03714
20060,1,1,1.31717,0.03452
20161,1,1,0.59703,0.01565
20261,1,1,1.31604,0.03449
20370,1,1,1.09603,0.02872
20470,1,1,1.19684,0.03136
20580,1,1,0.98170,0.02573
20680,1,1,1.07637,0.02821
20781,1,1,0.95644,0.02506
20890,1,1,0.98419,0.02579
21000,1,1,1.30465,0.03419
21101,1,1,1.07628,0.02820
21201,1,1,1.07796,0.02825
21310,1,1,0.54691,0.01433
21420,1,1,1.31069,0.03435
21520,1,1,1.43653,0.03764
21630,1,1,0.65395,0.01714
21730,1,1,1.43454,0.03759
21840,1,1,0.98243,0.02575
21940,1,1,1.19448,0.03130
22051,1,1,0.86797,0.02275
22160,1,1,1.20395,0.03155
22271,1,1,0.75810,0.01987
22380,1,1,1.20426,0.03156
22490,1,1,0.76570,0.02007
22590,1,1,1.43404,0.03758
22691,1,1,0.83666,0.02193
22801,1,1,1.41542,0.03709
22910,1,1,1.09297,0.02864
23020,1,1,0.98189,0.02573
23130,1,1,0.65189,0.01708
23240,1,1,1.30763,0.03427
23340,1,1,0.59898,0.01570
23450,1,1,1.63707,0.04290
23550,1,1,0.71776,0.01881
23660,1,1,1.31032,0.03434
23770,1,1,1.30868,0.03429
23870,1,1,0.83849,0.02197
23980,1,1,1.19947,0.03143
24080,1,1,0.71698,0.01879
24190,1,1,1.30806,0.03428
24290,1,1,1.19699,0.03137
24400,1,1,0.87200,0.02285
24510,1,1,0.98259,0.02575
24610,1,1,1.43534,0.03761
24710,1,1,0.83752,0.02195
24811,1,1,1.43154,0.03751
24920,1,1,0.87597,0.02296
25020,1,1,0.83866,0.02198
25130,1,1,1.30849,0.03429
25240,1,1,0.65356,0.01713
25341,1,1,1.67186,0.04381
25450,1,1,0.65645,0.01720
25550,1,1,1.43791,0.03768
25650,1,1,0.71850,0.01883
25750,1,1,0.95856,0.02512
25851,1,1,1.43411,0.03758
25960,1,1,0.65445,0.01715
26070,1,1,1.41776,0.03715
26171,1,1,1.30957,0.03432
26281,1,1,0.76276,0.01999
26390,1,1,1.31454,0.03445
26501,1,1,0.65246,0.01710
26610,1,1,1.09133,0.02860
26721,1,1,1.30483,0.03419
26821,1,1,0.83831,0.02197
26930,1,1,1.31011,0.03433
27041,1,1,0.86911,0.02278
27150,1,1,1.31311,0.03441
27260,1,1,1.19920,0.03143
27370,1,1,0.76202,0.01997
27470,1,1,1.43510,0.03761
27580,1,1,0.65480,0.01716
27690,1,1,1.30756,0.03427
27790,1,1,1.07802,0.02825
27891,1,1,0.83719,0.02194
28000,1,1,1.09199,0.02862
28110,1,1,1.30852,0.03429
28210,1,1,0.95805,0.02511
28310,1,1,1.19736,0.03138
28420,1,1,0.87126,0.02283
28530,1,1,0.98084,0.02570
28630,1,1,1.31727,0.03452
28741,1,1,0.65127,0.01707
28850,1,1,1.42204,0.03727
28960,1,1,0.87325,0.02288
29060,1,1,1.43451,0.03759
29170,1,1,0.76456,0.02004
29270,1,1,1.43346,0.03756
29380,1,1,0.65411,0.01714
29480,1,1,1.43742,0.03767
29590,1,1,1.08969,0.02856
29700,1,1,1.09083,0.02859
29800,1,1,0.95783,0.02510
29900,1,1,0.95840,0.02512
30010,1,1,1.09083,0.02859
30111,1,1,0.71681,0.01878
30221,1,1,1.30685,0.03425
30330,1,1,1.42070,0.03723
30440,1,1,0.65401,0.01714
30540,1,1,1.31704,0.03451
30640,1,1,0.71811,0.01882
30750,1,1,1.30944,0.03431
30860,1,1,1.30667,0.03424
30970,1,1,0.65289,0.01711
31071,1,1,1.43577,0.03762
31171,1,1,0.95819,0.02511
31280,1,1,1.19984,0.03144
31390,1,1,0.65392,0.01714
31491,1,1,1.19738,0.03138
31600,1,1,1.30912,0.03431
31700,1,1,0.71895,0.01884
31810,1,1,1.30760,0.03427
31911,1,1,1.07633,0.02821
32020,1,1,0.76459,0.02004
32130,1,1,1.19747,0.03138
32231,1,1,1.43442,0.03759
32340,1,1,0.54579,0.01430
32451,1,1,1.30535,0.03421
32561,1,1,1.30717,0.03425
32670,1,1,0.65516,0.01717
32771,1,1,1.43464,0.03760
32871,1,1,1.19799,0.03139
32980,1,1,0.65630,0.01720
33080,1,1,1.43565,0.03762
33191,1,1,1.08662,0.02848
33291,1,1,0.83860,0.02198
33400,1,1,1.31081,0.03435
33501,1,1,0.83719,0.02194
33610,1,1,1.20012,0.03145
33710,1,1,0.71875,0.01884
33821,1,1,1.19342,0.03127
33930,1,1,1.42234,0.03727
34040,1,1,0.65396,0.01714
34141,1,1,1.19665,0.03136
34250,1,1,0.65499,0.01716
34360,1,1,1.63387,0.04282
34460,1,1,0.71903,0.01884
34570,1,1,1.30730,0.03426
34680,1,1,0.98046,0.02569
34790,1,1,1.30879,0.03430
34890,1,1,0.71855,0.01883
35001,1,1,1.29961,0.03406
35111,1,1,1.20343,0.03154
35221,1,1,0.76155,0.01996
35330,1,1,1.31000,0.03433
35431,1,1,0.71801,0.01882
35541,1,1,1.30814,0.03428
35650,1,1,0.65429,0.01715
35751,1,1,1.43469,0.03760
35861,1,1,0.65012,0.01704
35971,1,1,1.53336,0.04018
36072,1,1,1.30525,0.03420
36182,1,1,0.87075,0.02282
36290,1,1,0.99326,0.02603
36391,1,1,1.31324,0.03441
36500,1,1,0.65582,0.01719
36601,1,1,1.43495,0.03760
36710,1,1,1.20086,0.03147
36810,1,1,0.59850,0.01568
36911,1,1,1.31316,0.03441
