timestamp,event,frame,slot,line,timestamp_us,delta_us
22:50:09.683687406,tx_func,,,22:50:09.683687406: LEGACY_NR_PHY_DEBUG log 326.18 running tx_func,1900-01-01 22:50:09.683687406,44.752
22:50:09.683696005,Calling scheduler,,,22:50:09.683696005: LEGACY_NR_MAC_DEBUG log Calling scheduler for 326.18,1900-01-01 22:50:09.683696005,1.706
22:50:09.683711363,cannot schedule DCI0,,,"22:50:09.683711363: LEGACY_NR_MAC_DEBUG log Current slot 18 is NOT DL slot, cannot schedule DCI0 for UL data",1900-01-01 22:50:09.683711363,6.488
22:50:09.683741806,tx_func,,,22:50:09.683741806: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 326.18,1900-01-01 22:50:09.683741806,21.543
22:50:09.684876513,tx_func,,,22:50:09.684876513: LEGACY_NR_PHY_DEBUG log 326.19 running tx_func,1900-01-01 22:50:09.684876513,1.607
22:50:09.684881280,Calling scheduler,,,22:50:09.684881280: LEGACY_NR_MAC_DEBUG log Calling scheduler for 326.19,1900-01-01 22:50:09.684881280,1.451
22:50:09.684891443,cannot schedule DCI0,,,"22:50:09.684891443: LEGACY_NR_MAC_DEBUG log Current slot 19 is NOT DL slot, cannot schedule DCI0 for UL data",1900-01-01 22:50:09.684891443,5.512
22:50:09.684921168,tx_func,,,22:50:09.684921168: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 326.19,1900-01-01 22:50:09.684921168,20.653
22:50:09.686087250,tx_func,,,22:50:09.686087250: LEGACY_NR_PHY_DEBUG log 327.0 running tx_func,1900-01-01 22:50:09.686087250,28.680999999999997
22:50:09.686092059,Calling scheduler,,,22:50:09.686092059: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.0,1900-01-01 22:50:09.686092059,1.466
22:50:09.686787984,tx_func,,,22:50:09.686787984: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.0,1900-01-01 22:50:09.686787984,1.3230000000000002
22:50:09.687326587,tx_func,,,22:50:09.687326587: LEGACY_NR_PHY_DEBUG log 327.1 running tx_func,1900-01-01 22:50:09.687326587,35.436
22:50:09.687330077,Calling scheduler,,,22:50:09.687330077: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.1,1900-01-01 22:50:09.687330077,1.285
22:50:09.687960509,tx_func,,,22:50:09.687960509: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.1,1900-01-01 22:50:09.687960509,1.42
22:50:09.688576025,tx_func,,,22:50:09.688576025: LEGACY_NR_PHY_DEBUG log 327.2 running tx_func,1900-01-01 22:50:09.688576025,32.092
22:50:09.688579244,Calling scheduler,,,22:50:09.688579244: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.2,1900-01-01 22:50:09.688579244,1.186
22:50:09.689209138,tx_func,,,22:50:09.689209138: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.2,1900-01-01 22:50:09.689209138,1.466
22:50:09.690093492,tx_func,,,22:50:09.690093492: LEGACY_NR_PHY_DEBUG log 327.3 running tx_func,1900-01-01 22:50:09.690093492,34.555
22:50:09.690096863,Calling scheduler,,,22:50:09.690096863: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.3,1900-01-01 22:50:09.690096863,1.2610000000000001
22:50:09.690846649,tx_func,,,22:50:09.690846649: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.3,1900-01-01 22:50:09.690846649,2.071
22:50:09.691622556,tx_func,,,22:50:09.691622556: LEGACY_NR_PHY_DEBUG log 327.4 running tx_func,1900-01-01 22:50:09.691622556,18.479
22:50:09.691625800,Calling scheduler,,,22:50:09.691625800: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.4,1900-01-01 22:50:09.691625800,0.978
22:50:09.692225329,tx_func,,,22:50:09.692225329: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.4,1900-01-01 22:50:09.692225329,2.13
22:50:09.693104130,tx_func,,,22:50:09.693104130: LEGACY_NR_PHY_DEBUG log 327.5 running tx_func,1900-01-01 22:50:09.693104130,2.605
22:50:09.693109932,Calling scheduler,,,22:50:09.693109932: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.5,1900-01-01 22:50:09.693109932,1.647
22:50:09.693727024,tx_func,,,22:50:09.693727024: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.5,1900-01-01 22:50:09.693727024,2.1189999999999998
22:50:09.694285775,tx_func,,,22:50:09.694285775: LEGACY_NR_PHY_DEBUG log 327.6 running tx_func,1900-01-01 22:50:09.694285775,35.223
22:50:09.694289786,Calling scheduler,,,22:50:09.694289786: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.6,1900-01-01 22:50:09.694289786,1.737
22:50:09.694941270,tx_func,,,22:50:09.694941270: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.6,1900-01-01 22:50:09.694941270,1.905
22:50:09.695453585,tx_func,,,22:50:09.695453585: LEGACY_NR_PHY_DEBUG log 327.7 running tx_func,1900-01-01 22:50:09.695453585,4.726
22:50:09.695457666,Calling scheduler,,,22:50:09.695457666: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.7,1900-01-01 22:50:09.695457666,1.354
22:50:09.696014538,tx_func,,,22:50:09.696014538: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.7,1900-01-01 22:50:09.696014538,1.894
22:50:09.696641001,tx_func,,,22:50:09.696641001: LEGACY_NR_PHY_DEBUG log 327.8 running tx_func,1900-01-01 22:50:09.696641001,2.319
22:50:09.696680728,Calling scheduler,,,22:50:09.696680728: LEGACY_NR_MAC_DEBUG log Calling scheduler for 327.8,1900-01-01 22:50:09.696680728,36.213
22:50:09.696705378,cannot schedule DCI0,,,"22:50:09.696705378: LEGACY_NR_MAC_DEBUG log Current slot 8 is NOT DL slot, cannot schedule DCI0 for UL data",1900-01-01 22:50:09.696705378,1.5510000000000002
22:50:09.696720043,tx_func,,,22:50:09.696720043: LEGACY_NR_PHY_DEBUG log Calling deref_sched_response for id 0 (tx_func) in 327.8,1900-01-01 22:50:09.696720043,2.824
22:50:09.697829163,tx_func,,,22:50:09.697829163: LEGACY_NR_PHY_DEBUG log 327.9 running tx_func,1900-01-01 22:50:09.697829163,2.612
